MALLA,ID POZO,DIAMETRO PLG,CARGA FONDO DISENO ,KG FONDO DISENO ,AIRE FONDO DISENO ,CARGA COLUMNA  DISENO,KG COLUMNA DISENO,AIRE INTERMEDIO DISENO ,GRAVILLA INTERMEDIO DISENO ,AIRE SUPERIOR DISENO,TACO GRAVILLA DISENO ,SECUENCIA DETONACION DISENO,PROFUNDIDAD REAL,CARGA FONDO REAL ,KG FONDO REAL ,AIRE FONDO REAL ,CARGA COLUMNA REAL,KG COLUMNA REAL,AIRE INTERMEDIO REAL ,GRAVILLA INTERMEDIO REAL ,AIRE SUPERIOR REAL,TACO GRAVILLA REAL ,SECUENCIA DETONACION REAL,AGUA
MAF11-W-3620-04,164,10.625,BLENDEX 930,229,,,,8.0,,,4.0,,,,,,,,,,,,,
MAF11-W-3620-04,165,10.625,BLENDEX 930,229,,,,8.0,,,4.0,,,,,,,,,,,,,
MAF11-W-3620-04,166,10.625,BLENDEX 930,229,,,,8.0,,,4.0,,,,,,,,,,,,,
MAF11-W-3620-04,167,10.625,BLENDEX 930,229,,,,8.0,,,4.0,,,,,,,,,,,,,
MAF11-W-3620-04,168,10.625,BLENDEX 930,229,,,,8.0,,,4.0,,,,,,,,,,,,,
MAF11-W-3620-04,169,10.625,BLENDEX 930,229,,,,8.0,,,4.0,,,,,,,,,,,,,
MAF11-W-3620-04,170,10.625,BLENDEX 930,229,,,,8.0,,,4.0,,,,,,,,,,,,,
MAF11-W-3620-04,171,10.625,BLENDEX 930,229,,,,8.0,,,4.0,,,,,,,,,,,,,
MAF11-W-3620-04,172,10.625,BLENDEX 930,229,,,,8.0,,,4.0,,,,,,,,,,,,,
MAF11-W-3620-04,173,10.625,BLENDEX 930,229,,,,8.0,,,4.0,,,,,,,,,,,,,
MAF11-W-3620-04,174,10.625,BLENDEX 930,229,,,,8.0,,,4.0,,,,,,,,,,,,,
MAF11-W-3620-04,175,10.625,BLENDEX 930,229,,,,8.0,,,4.0,,,,,,,,,,,,,
MAF11-W-3620-04,176,10.625,BLENDEX 930,229,,,,8.0,,,4.0,,,,,,,,,,,,,
MAF11-W-3620-04,177,10.625,BLENDEX 930,229,,,,8.0,,,4.0,,,,,,,,,,,,,
MAF11-W-3620-04,178,10.625,BLENDEX 930,229,,,,8.0,,,4.0,,,,,,,,,,,,,
MAF11-W-3620-04,179,10.625,BLENDEX 930,229,,,,8.0,,,4.0,,,,,,,,,,,,,
MAF11-W-3620-04,180,10.625,BLENDEX 930,229,,,,8.0,,,4.0,,,,,,,,,,,,,
MAF11-W-3620-04,181,10.625,BLENDEX 930,229,,,,8.0,,,4.0,,,,,,,,,,,,,
MAF11-W-3620-04,182,10.625,BLENDEX 930,229,,,,8.0,,,4.0,,,,,,,,,,,,,
MAF11-W-3620-04,183,10.625,BLENDEX 930,229,,,,8.0,,,4.0,,,,,,,,,,,,,
MAF11-W-3620-04,184,10.625,BLENDEX 930,229,,,,8.0,,,4.0,,,,,,,,,,,,,
MAF11-W-3620-04,185,10.625,BLENDEX 930,229,,,,8.0,,,4.0,,,,,,,,,,,,,
MAF11-W-3620-04,248,10.625,BLENDEX 930,343,,,,5.0,,,4.0,,,,,,,,,,,,,
MAF11-W-3620-04,249,10.625,BLENDEX 930,343,,,,5.0,,,4.0,,,,,,,,,,,,,
MAF11-W-3620-04,250,10.625,BLENDEX 930,343,,,,5.0,,,4.0,,,,,,,,,,,,,
MAF11-W-3620-04,251,10.625,BLENDEX 930,343,,,,5.0,,,4.0,,,,,,,,,,,,,
MAF11-W-3620-04,252,10.625,BLENDEX 930,343,,,,5.0,,,4.0,,,,,,,,,,,,,
MAF11-W-3620-04,253,10.625,BLENDEX 930,343,,,,5.0,,,4.0,,,,,,,,,,,,,
MAF11-W-3620-04,254,10.625,BLENDEX 930,343,,,,5.0,,,4.0,,,,,,,,,,,,,
MAF11-W-3620-04,255,10.625,BLENDEX 930,343,,,,5.0,,,4.0,,,,,,,,,,,,,
MAF11-W-3620-04,256,10.625,BLENDEX 930,343,,,,5.0,,,4.0,,,,,,,,,,,,,
MAF11-W-3620-04,257,10.625,BLENDEX 930,343,,,,5.0,,,4.0,,,,,,,,,,,,,
MAF11-W-3620-04,258,10.625,BLENDEX 930,343,,,,5.0,,,4.0,,,,,,,,,,,,,
MAF11-W-3620-04,259,10.625,BLENDEX 930,343,,,,5.0,,,4.0,,,,,,,,,,,,,
MAF11-W-3620-04,260,10.625,BLENDEX 930,343,,,,5.0,,,4.0,,,,,,,,,,,,,
MAF11-W-3620-04,261,10.625,BLENDEX 930,343,,,,5.0,,,4.0,,,,,,,,,,,,,
MAF11-W-3620-04,262,10.625,BLENDEX 930,343,,,,5.0,,,4.0,,,,,,,,,,,,,
MAF11-W-3620-04,263,10.625,BLENDEX 930,343,,,,5.0,,,4.0,,,,,,,,,,,,,
MAF11-W-3620-04,264,10.625,BLENDEX 930,343,,,,5.0,,,4.0,,,,,,,,,,,,,
MAF11-W-3620-04,339,10.625,BLENDEX 930,458,,,,1.0,,,5.0,,,,,,,,,,,,,
MAF11-W-3620-04,340,10.625,BLENDEX 930,458,,,,1.0,,,5.0,,,,,,,,,,,,,
MAF11-W-3620-04,341,10.625,BLENDEX 930,458,,,,1.0,,,5.0,,,,,,,,,,,,,
MAF11-W-3620-04,342,10.625,BLENDEX 930,458,,,,1.0,,,5.0,,,,,,,,,,,,,
MAF11-W-3620-04,343,10.625,BLENDEX 930,458,,,,1.0,,,5.0,,,,,,,,,,,,,
MAF11-W-3620-04,344,10.625,BLENDEX 930,458,,,,1.0,,,5.0,,,,,,,,,,,,,
MAF11-W-3620-04,345,10.625,BLENDEX 930,458,,,,1.0,,,5.0,,,,,,,,,,,,,
MAF11-W-3620-04,346,10.625,BLENDEX 930,458,,,,1.0,,,5.0,,,,,,,,,,,,,
MAF11-W-3620-04,347,10.625,BLENDEX 930,458,,,,1.0,,,5.0,,,,,,,,,,,,,
MAF11-W-3620-04,348,10.625,BLENDEX 930,458,,,,1.0,,,5.0,,,,,,,,,,,,,
MAF11-W-3620-04,349,10.625,BLENDEX 930,458,,,,1.0,,,5.0,,,,,,,,,,,,,
MAF11-W-3620-04,350,10.625,BLENDEX 930,458,,,,1.0,,,5.0,,,,,,,,,,,,,
MAF11-W-3620-04,351,10.625,BLENDEX 930,458,,,,1.0,,,5.0,,,,,,,,,,,,,
MAF11-W-3620-04,430,12.25,VERTEX 50,803,,,,0.0,,,6.0,,,,,,,,,,,,,
MAF11-W-3620-04,431,12.25,VERTEX 50,803,,,,0.0,,,6.0,,,,,,,,,,,,,
MAF11-W-3620-04,432,12.25,VERTEX 50,803,,,,0.0,,,6.0,,,,,,,,,,,,,
MAF11-W-3620-04,433,12.25,VERTEX 50,945,,,,0.0,,,6.0,,,,,,,,,,,,,
MAF11-W-3620-04,434,12.25,VERTEX 50,876,,,,0.0,,,6.0,,,,,,,,,,,,,
MAF11-W-3620-04,435,12.25,VERTEX 50,821,,,,0.0,,,6.0,,,,,,,,,,,,,
MAF11-W-3620-04,528,12.25,VERTEX 50,904,,,,0.0,,,7.0,,,,,,,,,,,,,
MAF11-W-3620-04,529,12.25,VERTEX 50,904,,,,0.0,,,7.0,,,,,,,,,,,,,
MAF11-W-3620-04,530,12.25,VERTEX 50,904,,,,0.0,,,7.0,,,,,,,,,,,,,
MAF11-W-3620-04,531,12.25,VERTEX 50,904,,,,0.0,,,7.0,,,,,,,,,,,,,
MAF11-W-3620-04,532,12.25,VERTEX 50,1023,,,,0.0,,,7.0,,,,,,,,,,,,,
MAF11-W-3620-04,533,12.25,VERTEX 50,957,,,,0.0,,,7.0,,,,,,,,,,,,,
MAF11-W-3620-04,626,12.25,VERTEX 50,904,,,,0.0,,,7.0,,,,,,,,,,,,,
MAF11-W-3620-04,627,12.25,VERTEX 50,904,,,,0.0,,,7.0,,,,,,,,,,,,,
MAF11-W-3620-04,628,12.25,VERTEX 50,904,,,,0.0,,,7.0,,,,,,,,,,,,,
MAF11-W-3620-04,629,12.25,VERTEX 50,897,,,,0.0,,,7.0,,,,,,,,,,,,,
MAF11-W-3620-04,630,12.25,VERTEX 50,990,,,,0.0,,,7.0,,,,,,,,,,,,,
MAF11-W-3620-04,631,12.25,VERTEX 50,878,,,,0.0,,,7.0,,,,,,,,,,,,,
MAF11-W-3620-04,726,12.25,VERTEX 50,904,,,,0.0,,,7.0,,,,,,,,,,,,,
MAF11-W-3620-04,727,12.25,VERTEX 50,904,,,,0.0,,,7.0,,,,,,,,,,,,,
MAF11-W-3620-04,728,12.25,VERTEX 50,904,,,,0.0,,,7.0,,,,,,,,,,,,,
MAF11-W-3620-04,729,12.25,VERTEX 50,941,,,,0.0,,,7.0,,,,,,,,,,,,,
MAF11-W-3620-04,730,12.25,VERTEX 50,927,,,,0.0,,,7.0,,,,,,,,,,,,,
MAF11-W-3620-04,731,12.25,VERTEX 50,930,,,,0.0,,,7.0,,,,,,,,,,,,,
MAF11-W-3620-04,826,12.25,VERTEX 50,904,,,,0.0,,,7.0,,,,,,,,,,,,,
MAF11-W-3620-04,827,12.25,VERTEX 50,904,,,,0.0,,,7.0,,,,,,,,,,,,,
MAF11-W-3620-04,828,12.25,VERTEX 50,912,,,,0.0,,,7.0,,,,,,,,,,,,,
MAF11-W-3620-04,829,12.25,VERTEX 50,943,,,,0.0,,,7.0,,,,,,,,,,,,,
MAF11-W-3620-04,830,12.25,VERTEX 50,914,,,,0.0,,,7.0,,,,,,,,,,,,,
MAF11-W-3620-04,831,12.25,VERTEX 50,943,,,,0.0,,,7.0,,,,,,,,,,,,,
MAF11-W-3620-05,101,10.625,BLENDEX 930,229,,,,8.0,,,4.0,,,,,,,,,,,,,
MAF11-W-3620-05,102,10.625,BLENDEX 930,229,,,,8.0,,,4.0,,,,,,,,,,,,,
