MALLA,ID POZO,DIAMETRO PLG,CARGA COLUMNA  DISENO,KG COLUMNA DISENO,CARGA COLUMNA REAL,KG COLUMNA REAL
MAF9-SE-3320-02,102,10.625,BLENDEX 950,149.0,BLENDEX 950,149.0
MAF9-SE-3320-02,103,10.625,BLENDEX 950,149.0,BLENDEX 950,149.0
MAF9-SE-3320-02,104,10.625,BLENDEX 950,149.0,BLENDEX 950,149.0
MAF9-SE-3320-02,105,10.625,BLENDEX 950,149.0,BLENDEX 950,149.0
MAF9-SE-3320-02,106,10.625,BLENDEX 950,149.0,BLENDEX 950,149.0
MAF9-SE-3320-02,107,10.625,BLENDEX 950,149.0,BLENDEX 950,149.0
MAF9-SE-3320-02,108,10.625,BLENDEX 950,149.0,BLENDEX 950,149.0
MAF9-SE-3320-02,109,10.625,BLENDEX 950,149.0,BLENDEX 950,149.0
MAF9-SE-3320-02,110,10.625,BLENDEX 950,149.0,BLENDEX 950,149.0
MAF9-SE-3320-02,111,10.625,BLENDEX 950,149.0,BLENDEX 950,149.0
MAF9-SE-3320-02,112,10.625,BLENDEX 950,149.0,BLENDEX 950,149.0
MAF9-SE-3320-02,113,10.625,BLENDEX 950,149.0,BLENDEX 950,149.0
MAF9-SE-3320-02,114,10.625,BLENDEX 950,149.0,BLENDEX 950,149.0
MAF9-SE-3320-02,115,10.625,BLENDEX 950,149.0,BLENDEX 950,149.0
MAF9-SE-3320-02,116,10.625,BLENDEX 950,149.0,BLENDEX 950,149.0
MAF9-SE-3320-02,117,10.625,BLENDEX 950,149.0,BLENDEX 950,149.0
MAF9-SE-3320-02,118,10.625,BLENDEX 950,149.0,BLENDEX 950,149.0
MAF9-SE-3320-02,119,10.625,BLENDEX 950,149.0,BLENDEX 950,149.0
MAF9-SE-3320-02,120,10.625,BLENDEX 950,149.0,BLENDEX 950,149.0
MAF9-SE-3320-02,121,10.625,BLENDEX 950,149.0,BLENDEX 950,149.0
MAF9-SE-3320-02,122,10.625,BLENDEX 950,149.0,BLENDEX 950,149.0
MAF9-SE-3320-02,123,10.625,BLENDEX 950,149.0,BLENDEX 950,149.0
MAF9-SE-3320-02,124,10.625,BLENDEX 950,149.0,BLENDEX 950,149.0
MAF9-SE-3320-02,501,12.25,VERTEX 50,50.0,VERTEX 50,50.0
MAF9-SE-3320-02,602,12.25,VERTEX 50,50.0,VERTEX 50,50.0
MAF9-SE-3320-02,603,12.25,VERTEX 50,50.0,VERTEX 50,50.0
MAF9-SE-3320-02,701,12.25,VERTEX 50,50.0,VERTEX 50,50.0
MAF9-SE-3320-02,702,12.25,VERTEX 50,50.0,VERTEX 50,50.0
MAF9-SE-3320-02,703,12.25,VERTEX 50,50.0,VERTEX 50,50.0
MAF9-SE-3320-02,704,12.25,VERTEX 50,50.0,VERTEX 50,50.0
MAF9-SE-3320-02,802,12.25,VERTEX 50,50.0,VERTEX 50,50.0
MAF9-SE-3320-02,803,12.25,VERTEX 50,50.0,VERTEX 50,50.0
MAF9-SE-3320-02,804,12.25,VERTEX 50,50.0,VERTEX 50,50.0
MAF9-SE-3320-02,805,12.25,VERTEX 50,50.0,VERTEX 50,50.0
MAF9-SE-3320-02,806,12.25,VERTEX 50,50.0,VERTEX 50,50.0
MAF9-SE-3320-02,807,12.25,VERTEX 50,50.0,VERTEX 50,50.0
MAF9-SE-3320-02,808,12.25,VERTEX 50,50.0,VERTEX 50,50.0
MAF9-SE-3320-02,809,12.25,VERTEX 50,50.0,VERTEX 50,50.0
MAF9-SE-3320-02,810,12.25,VERTEX 50,50.0,VERTEX 50,50.0
MAF9-SE-3320-02,811,12.25,VERTEX 50,50.0,VERTEX 50,50.0
MAF9-SE-3320-02,812,12.25,VERTEX 50,50.0,VERTEX 50,50.0
MAF9-SE-3320-02,813,12.25,VERTEX 50,50.0,VERTEX 50,50.0
MAF9-SE-3320-02,814,12.25,VERTEX 50,50.0,VERTEX 50,50.0
MAF9-SE-3320-02,815,12.25,VERTEX 50,50.0,VERTEX 50,50.0
MAF9-SE-3320-02,901,12.25,VERTEX 50,50.0,VERTEX 50,50.0
MAF9-SE-3320-02,902,12.25,VERTEX 50,50.0,VERTEX 50,50.0
MAF9-SE-3320-02,903,12.25,VERTEX 50,50.0,VERTEX 50,50.0
MAF9-SE-3320-02,904,12.25,VERTEX 50,50.0,VERTEX 50,50.0
MAF9-SE-3320-02,905,12.25,VERTEX 50,50.0,VERTEX 50,50.0
MAF9-SE-3320-02,906,12.25,VERTEX 50,50.0,VERTEX 50,50.0
MAF9-SE-3320-02,907,12.25,VERTEX 50,50.0,VERTEX 50,50.0
MAF9-SE-3320-02,908,12.25,VERTEX 50,50.0,VERTEX 50,50.0
MAF9-SE-3320-02,909,12.25,VERTEX 50,50.0,VERTEX 50,50.0
MAF9-SE-3320-02,910,12.25,VERTEX 50,50.0,VERTEX 50,50.0
MAF9-SE-3320-02,911,12.25,VERTEX 50,50.0,VERTEX 50,50.0
MAF9-SE-3320-02,912,12.25,VERTEX 50,50.0,VERTEX 50,50.0
MAF9-SE-3320-02,913,12.25,VERTEX 50,50.0,VERTEX 50,50.0
MAF9-SE-3320-02,914,12.25,VERTEX 50,50.0,VERTEX 50,50.0
MAF9-SE-3320-02,915,12.25,VERTEX 50,50.0,VERTEX 50,50.0
MAF9-SE-3320-02,1002,12.25,VERTEX 50,50.0,VERTEX 50,50.0
MAF9-SE-3320-02,1003,12.25,VERTEX 50,50.0,VERTEX 50,50.0
MAF9-SE-3320-02,1004,12.25,VERTEX 50,50.0,VERTEX 50,50.0
MAF9-SE-3320-02,1005,12.25,VERTEX 50,50.0,VERTEX 50,50.0
MAF9-SE-3320-02,1006,12.25,VERTEX 50,50.0,VERTEX 50,50.0
MAF9-SE-3320-02,1007,12.25,VERTEX 50,50.0,VERTEX 50,50.0
MAF9-SE-3320-02,1008,12.25,VERTEX 50,50.0,VERTEX 50,50.0
MAF9-SE-3320-02,1009,12.25,VERTEX 50,50.0,VERTEX 50,50.0
MAF9-SE-3320-02,1010,12.25,VERTEX 50,50.0,VERTEX 50,50.0
MAF9-SE-3320-02,1011,12.25,VERTEX 50,50.0,VERTEX 50,50.0
MAF9-SE-3320-02,1012,12.25,VERTEX 50,50.0,VERTEX 50,50.0
MAF9-SE-3320-02,1013,12.25,VERTEX 50,50.0,VERTEX 50,50.0
MAF9-SE-3320-02,1014,12.25,VERTEX 50,50.0,VERTEX 50,50.0
MAF9-SE-3320-02,1015,12.25,VERTEX 50,50.0,VERTEX 50,50.0
MAF9-SE-3320-02,1016,12.25,VERTEX 50,50.0,VERTEX 50,50.0
MAF9-SE-3320-02,1101,12.25,VERTEX 50,50.0,VERTEX 50,50.0
MAF9-SE-3320-02,1102,12.25,VERTEX 50,50.0,VERTEX 50,50.0
MAF9-SE-3320-02,1103,12.25,VERTEX 50,50.0,VERTEX 50,50.0
MAF9-SE-3320-02,1104,12.25,VERTEX 50,50.0,VERTEX 50,50.0
MAF9-SE-3320-02,1105,12.25,VERTEX 50,50.0,VERTEX 50,50.0
MAF9-SE-3320-02,1106,12.25,VERTEX 50,50.0,VERTEX 50,50.0
MAF9-SE-3320-02,1107,12.25,VERTEX 50,50.0,VERTEX 50,50.0
MAF9-SE-3320-02,1108,12.25,VERTEX 50,50.0,VERTEX 50,50.0
MAF9-SE-3320-02,1109,12.25,VERTEX 50,50.0,VERTEX 50,50.0
