MALLA,ID POZO,DIAMETRO PLG,CARGA COLUMNA  DISENO,KG COLUMNA DISENO,CARGA COLUMNA REAL,KG COLUMNA REAL
MAF9-SE-3320-01,1108,12.25,,,,
MAF9-SE-3320-01,1109,12.25,,,,
MAF9-SE-3320-01,3008,12.25,,,,
MAF9-SE-3320-01,3009,12.25,,,,
MAF9-SE-3320-01,1001,12.25,,,,
MAF9-SE-3320-01,1002,12.25,,,,
MAF9-SE-3320-01,1003,12.25,,,,
MAF9-SE-3320-01,401,12.25,,,,
MAF9-SE-3320-01,402,12.25,,,,
MAF9-SE-3320-01,403,12.25,,,,
MAF9-SE-3320-01,404,12.25,,,,
MAF9-SE-3320-01,405,12.25,,,,
MAF9-SE-3320-01,406,12.25,,,,
MAF9-SE-3320-01,407,12.25,,,,
MAF9-SE-3320-01,408,12.25,,,,
MAF9-SE-3320-01,409,12.25,,,,
MAF9-SE-3320-01,410,12.25,,,,
MAF9-SE-3320-01,411,12.25,,,,
MAF9-SE-3320-01,412,12.25,,,,
MAF9-SE-3320-01,413,12.25,,,,
MAF9-SE-3320-01,414,12.25,,,,
MAF9-SE-3320-01,415,12.25,,,,
MAF9-SE-3320-01,416,12.25,,,,
MAF9-SE-3320-02,102,10.625,BLENDEX 950,149.0,BLENDEX 950,149.0
MAF9-SE-3320-02,103,10.625,BLENDEX 950,149.0,BLENDEX 950,149.0
MAF9-SE-3320-02,104,10.625,BLENDEX 950,149.0,BLENDEX 950,149.0
MAF9-SE-3320-02,105,10.625,BLENDEX 950,149.0,BLENDEX 950,149.0
MAF9-SE-3320-02,106,10.625,BLENDEX 950,149.0,BLENDEX 950,149.0
MAF9-SE-3320-02,107,10.625,BLENDEX 950,149.0,BLENDEX 950,149.0
MAF9-SE-3320-02,108,10.625,BLENDEX 950,149.0,BLENDEX 950,149.0
MAF9-SE-3320-02,109,10.625,BLENDEX 950,149.0,BLENDEX 950,149.0
MAF9-SE-3320-02,110,10.625,BLENDEX 950,149.0,BLENDEX 950,149.0
MAF9-SE-3320-02,111,10.625,BLENDEX 950,149.0,BLENDEX 950,149.0
MAF9-SE-3320-02,112,10.625,BLENDEX 950,149.0,BLENDEX 950,149.0
MAF9-SE-3320-02,113,10.625,BLENDEX 950,149.0,BLENDEX 950,149.0
MAF9-SE-3320-02,114,10.625,BLENDEX 950,149.0,BLENDEX 950,149.0
