MALLA,ID POZO,DIAMETRO PLG,CARGA FONDO DISENO ,KG FONDO DISENO ,AIRE FONDO DISENO ,CARGA COLUMNA  DISENO,KG COLUMNA DISENO,AIRE INTERMEDIO DISENO ,GRAVILLA INTERMEDIO DISENO ,AIRE SUPERIOR DISENO,TACO GRAVILLA DISENO ,SECUENCIA DETONACION DISENO,PROFUNDIDAD REAL,CARGA FONDO REAL ,KG FONDO REAL ,AIRE FONDO REAL ,CARGA COLUMNA REAL,KG COLUMNA REAL,AIRE INTERMEDIO REAL ,GRAVILLA INTERMEDIO REAL ,AIRE SUPERIOR REAL,TACO GRAVILLA REAL ,SECUENCIA DETONACION REAL,AGUA
MAF9-SE-3320-01,1108,12.25,VERTEX 50,1051,,,,1.0,,,6.0,,16.7,VERTEX 50,1051.0,,,,1.0,,,5.5,,
MAF9-SE-3320-01,1001,12.25,VERTEX 50,1187,,,,1.0,,,6.0,,17.3,VERTEX 50,1034.0,,,,1.0,,,6.0,,
MAF9-SE-3320-01,1002,12.25,VERTEX 50,1165,,,,1.0,,,6.0,,17.3,VERTEX 50,1034.0,,,,1.0,,,6.0,,
MAF9-SE-3320-01,1003,12.25,VERTEX 50,1146,,,,1.0,,,6.0,,17.3,VERTEX 50,1034.0,,,,1.0,,,6.0,,
MAF9-SE-3320-01,401,12.25,VERTEX 50,974,,,,1.5,,,6.0,,15.6,VERTEX 50,803.0,,,,1.5,,,6.0,,
MAF9-SE-3320-01,402,12.25,VERTEX 50,1020,,,,1.5,,,6.0,,17.4,VERTEX 50,992.0,,,,1.5,,,6.0,,
MAF9-SE-3320-01,403,12.25,VERTEX 50,1024,,,,1.5,,,6.0,,16.2,VERTEX 50,873.0,,,,1.5,,,6.0,,
MAF9-SE-3320-01,404,12.25,VERTEX 50,992,,,,1.5,,,6.0,,17.0,VERTEX 50,954.0,,,,1.5,,,6.0,,
MAF9-SE-3320-01,405,12.25,VERTEX 50,1014,,,,1.5,,,6.0,,16.8,VERTEX 50,937.0,,,,1.5,,,6.0,,
MAF9-SE-3320-01,406,12.25,VERTEX 50,1063,,,,1.5,,,6.0,,16.8,VERTEX 50,937.0,,,,1.5,,,6.0,,
