MALLA,ID POZO,DIAMETRO PLG,CARGA FONDO DISENO ,KG FONDO DISENO ,AIRE FONDO DISENO ,CARGA COLUMNA  DISENO,KG COLUMNA DISENO,AIRE INTERMEDIO DISENO ,GRAVILLA INTERMEDIO DISENO ,AIRE SUPERIOR DISENO,TACO GRAVILLA DISENO ,SECUENCIA DETONACION DISENO,PROFUNDIDAD REAL,CARGA FONDO REAL ,KG FONDO REAL ,AIRE FONDO REAL ,CARGA COLUMNA REAL,KG COLUMNA REAL,AIRE INTERMEDIO REAL ,GRAVILLA INTERMEDIO REAL ,AIRE SUPERIOR REAL,TACO GRAVILLA REAL ,SECUENCIA DETONACION REAL,AGUA
MAF9-SE-3320-01,1109,12.25,VERTEX 50,1095,,,,1.0,,,6.0,,,,,,,,,,,,,
MAF9-SE-3320-01,3008,12.25,VERTEX 50,1078,,,,0.0,,,7.0,,,,,,,,,,,,,
MAF9-SE-3320-01,3009,12.25,VERTEX 50,1022,,,,0.0,,,7.0,,,,,,,,,,,,,
MAF9-SE-3320-02,207,10.625,BLENDEX 950,521,,,,3.2,,,4.5,,,,,,,,,,,,,
MAF9-SE-3320-02,222,10.625,BLENDEX 950,521,,,,2.8,,,4.5,,,,,,,,,,,,,
MAF9-SE-3320-02,4062,12.25,VERTEX 50,904,,,,0.0,,,7.0,,,,,,,,,,,,,
MAF9-SE-3320-02,4063,12.25,VERTEX 50,904,,,,0.0,,,7.0,,,,,,,,,,,,,
MAF9-SE-3320-02,4064,12.25,VERTEX 50,904,,,,0.0,,,7.0,,,,,,,,,,,,,
MAF9-SE-3320-02,4065,12.25,VERTEX 50,904,,,,0.0,,,7.0,,,,,,,,,,,,,
MAF9-SE-3320-02,4066,12.25,VERTEX 50,904,,,,0.0,,,7.0,,,,,,,,,,,,,
