MALLA,ID POZO,DIAMETRO PLG,CARGA FONDO DISENO ,KG FONDO DISENO ,AIRE FONDO DISENO ,CARGA COLUMNA  DISENO,KG COLUMNA DISENO,AIRE INTERMEDIO DISENO ,GRAVILLA INTERMEDIO DISENO ,AIRE SUPERIOR DISENO,TACO GRAVILLA DISENO ,SECUENCIA DETONACION DISENO,PROFUNDIDAD REAL,CARGA FONDO REAL ,KG FONDO REAL ,AIRE FONDO REAL ,CARGA COLUMNA REAL,KG COLUMNA REAL,AIRE INTERMEDIO REAL ,GRAVILLA INTERMEDIO REAL ,AIRE SUPERIOR REAL,TACO GRAVILLA REAL ,SECUENCIA DETONACION REAL,AGUA
MAF10-N-3305-15_vm,1809,12.25,VERTEX 50,703,,,,3.5,,,5.5,,16,VERTEX 50,700,,,,3.5,,,5.5,,
MAF10-N-3305-15_vm,3010,12.25,VERTEX 50,703,,,,3.5,,,5.5,,16,VERTEX 50,700,,,,3.5,,,5.5,,
MAF10-N-3305-15_vm,3011,12.25,VERTEX 50,854,,,,2,,,5.5,,16,VERTEX 50,850,,,,2,,,5.5,,
MAF10-N-3305-20_vm,101,10.625,BLENDEX 930,200,,,,9.8,,,0,,13.4,BLENDEX 930,200,,,,9.8,,,0,,
MAF10-N-3305-20_vm,102,10.625,BLENDEX 930,200,,,,9.8,,,0,,13.3,BLENDEX 930,200,,,,9.8,,,0,,
MAF10-N-3305-20_vm,103,10.625,BLENDEX 930,200,,,,9.9,,,0,,13.4,BLENDEX 930,200,,,,9.9,,,0,,
MAF10-N-3305-20_vm,104,10.625,BLENDEX 930,200,,,,10,,,0,,13.5,BLENDEX 930,200,,,,10,,,0,,
MAF10-N-3305-20_vm,105,10.625,BLENDEX 930,200,,,,11.1,,,0,,14.6,BLENDEX 930,200,,,,11.1,,,0,,
MAF10-N-3305-20_vm,106,10.625,BLENDEX 930,200,,,,11.2,,,0,,14.7,BLENDEX 930,200,,,,11.2,,,0,,
MAF10-N-3305-20_vm,107,10.625,BLENDEX 930,200,,,,11.3,,,0,,14.8,BLENDEX 930,200,,,,11.3,,,0,,
MAF10-N-3305-20_vm,108,10.625,BLENDEX 930,200,,,,10.5,,,0,,14,BLENDEX 930,200,,,,10.5,,,0,,
MAF10-N-3305-20_vm,109,10.625,BLENDEX 930,200,,,,11.1,,,0,,14.6,BLENDEX 930,200,,,,11.1,,,0,,
