MALLA,ID POZO,DIAMETRO PLG,CARGA FONDO DISENO ,KG FONDO DISENO ,AIRE FONDO DISENO ,CARGA COLUMNA  DISENO,KG COLUMNA DISENO,AIRE INTERMEDIO DISENO ,GRAVILLA INTERMEDIO DISENO ,AIRE SUPERIOR DISENO,TACO GRAVILLA DISENO ,SECUENCIA DETONACION DISENO,PROFUNDIDAD REAL,CARGA FONDO REAL ,KG FONDO REAL ,AIRE FONDO REAL ,CARGA COLUMNA REAL,KG COLUMNA REAL,AIRE INTERMEDIO REAL ,GRAVILLA INTERMEDIO REAL ,AIRE SUPERIOR REAL,TACO GRAVILLA REAL ,SECUENCIA DETONACION REAL,AGUA
MAF10-N-3275-14,1514,12.25,VERTEX 50,1054,,,,,,,5.5,,16,VERTEX 50,1050,,,,,,,5.5,,
MAF10-N-3275-14,1515,12.25,VERTEX 50,1088,,,,,,,5.5,,16,VERTEX 50,1050,,,,,,,5.5,,
MAF10-N-3275-14,1611,12.25,VERTEX 50,1055,,,,,,,5.5,,16,VERTEX 50,1055,,,,,,,5.5,,
MAF10-N-3275-14,1612,12.25,VERTEX 50,1052,,,,,,,5.5,,16,VERTEX 50,1052,,,,,,,5.5,,
MAF10-N-3275-14,1613,12.25,VERTEX 50,1062,,,,,,,5.5,,16.1,VERTEX 50,1062,,,,,,,5.5,,
MAF10-N-3275-14,1614,12.25,VERTEX 50,1054,,,,,,,5.5,,16,VERTEX 50,1050,,,,,,,5.5,,
MAF10-N-3275-14,1615,12.25,VERTEX 50,1089,,,,,,,5.5,,16.3,VERTEX 50,1089,,,,,,,5.5,,
MAF10-N-3275-14,1709,12.25,VERTEX 50,1023,,,,,,,5.5,,15.7,VERTEX 50,1029,,,,,,,5.5,,
MAF10-N-3275-14,1710,12.25,VERTEX 50,1035,,,,,,,5.5,,15.8,VERTEX 50,1035,,,,,,,5.5,,
MAF10-N-3275-14,1711,12.25,VERTEX 50,1054,,,,,,,5.5,,16,VERTEX 50,1054,,,,,,,5.5,,
MAF10-N-3275-14,1712,12.25,VERTEX 50,1054,,,,,,,5.5,,16,VERTEX 50,1054,,,,,,,5.5,,
MAF10-N-3275-14,1713,12.25,VERTEX 50,1054,,,,,,,5.5,,16,VERTEX 50,1054,,,,,,,5.5,,
MAF10-N-3275-14,1714,12.25,VERTEX 50,1054,,,,,,,5.5,,16,VERTEX 50,1054,,,,,,,5.5,,
MAF10-N-3275-14,1715,12.25,VERTEX 50,1054,,,,,,,5.5,,16,VERTEX 50,1050,,,,,,,5.5,,
MAF10-N-3275-14,1716,12.25,VERTEX 50,1092,,,,,,,5.5,,16.4,VERTEX 50,1092,,,,,,,5.5,,
MAF10-N-3275-14,1807,12.25,VERTEX 50,1004,,,,,,,5.5,,15.5,VERTEX 50,1004,,,,,,,5.5,,
MAF10-N-3275-14,1808,12.25,VERTEX 50,995,,,,,,,5.5,,15.4,VERTEX 50,995,,,,,,,5.5,,
MAF10-N-3275-14,1809,12.25,VERTEX 50,1012,,,,,,,5.5,,16,VERTEX 50,1054,,,,,,,5.5,,
