MALLA,ID POZO,DIAMETRO PLG,CARGA FONDO DISENO ,KG FONDO DISENO ,AIRE FONDO DISENO ,CARGA COLUMNA  DISENO,KG COLUMNA DISENO,AIRE INTERMEDIO DISENO ,GRAVILLA INTERMEDIO DISENO ,AIRE SUPERIOR DISENO,TACO GRAVILLA DISENO ,SECUENCIA DETONACION DISENO,PROFUNDIDAD REAL,CARGA FONDO REAL ,KG FONDO REAL ,AIRE FONDO REAL ,CARGA COLUMNA REAL,KG COLUMNA REAL,AIRE INTERMEDIO REAL ,GRAVILLA INTERMEDIO REAL ,AIRE SUPERIOR REAL,TACO GRAVILLA REAL ,SECUENCIA DETONACION REAL,AGUA
MAF7-R1-2750-05,122,7.875,EMULTEX BN,125,,,,2.0,,,4.0,,,,,,,,,,,,,
MAF7-R1-2750-05,123,7.875,EMULTEX BN,125,,,,2.0,,,4.0,,9,EMULTEX BN,125,,,,2,,,4,,
MAF7-R1-2750-05,124,7.875,EMULTEX BN,125,,,,2.0,,,4.0,,9,EMULTEX BN,125,,,,2,,,4,,
MAF7-R1-2750-05,125,7.875,EMULTEX BN,125,,,,2.0,,,4.0,,9,EMULTEX BN,125,,,,2,,,4,,
MAF7-R1-2750-05,126,7.875,EMULTEX BN,125,,,,2.0,,,4.0,,9,EMULTEX BN,125,,,,2,,,4,,
MAF7-R1-2750-05,127,7.875,EMULTEX BN,125,,,,2.0,,,4.0,,9,EMULTEX BN,125,,,,2,,,4,,
MAF7-R1-2750-05,127-D,7.875,EMULTEX BN,125,,,,2.0,,,4.0,,9,EMULTEX BN,125,,,,2,,,4,,
MAF7-R1-2750-05,128,7.875,EMULTEX BN,125,,,,2.0,,,4.0,,9,EMULTEX BN,125,,,,2,,,4,,
MAF7-R1-2750-05,129,7.875,EMULTEX BN,145,,,,1.5,,,4.0,,9,EMULTEX BN,145,,,,1.5,,,4,,
MAF7-R1-2750-05,130,7.875,EMULTEX BN,145,,,,1.5,,,4.0,,9,EMULTEX BN,145,,,,1.5,,,4,,
MAF7-R1-2750-05,131,7.875,EMULTEX BN,145,,,,1.5,,,4.0,,9,EMULTEX BN,145,,,,1.5,,,4,,
MAF7-R1-2750-05,132,7.875,EMULTEX BN,145,,,,1.5,,,4.0,,9,EMULTEX BN,145,,,,1.5,,,4,,
MAF7-R1-2750-05,133,7.875,EMULTEX BN,145,,,,1.5,,,4.0,,9,EMULTEX BN,145,,,,1.5,,,4,,
MAF7-R1-2750-05,134,7.875,EMULTEX BN,145,,,,1.5,,,4.0,,9,EMULTEX BN,145,,,,1.5,,,4,,
MAF7-R1-2750-05,135,7.875,EMULTEX BN,145,,,,1.5,,,4.0,,9,EMULTEX BN,145,,,,1.5,,,4,,
MAF7-R1-2750-05,136,7.875,EMULTEX BN,145,,,,1.5,,,4.0,,9,EMULTEX BN,145,,,,1.5,,,4,,
MAF7-R1-2750-05,137,7.875,EMULTEX BN,145,,,,1.5,,,4.0,,9,EMULTEX BN,145,,,,1.5,,,4,,
MAF7-R1-2750-05,138,7.875,EMULTEX BN,145,,,,1.5,,,4.0,,9,EMULTEX BN,145,,,,1.5,,,4,,
MAF7-R1-2750-05,139,7.875,EMULTEX BN,145,,,,1.5,,,4.0,,9,EMULTEX BN,145,,,,1.5,,,4,,
MAF7-R1-2750-05,140,7.875,EMULTEX BN,145,,,,1.5,,,4.0,,9,EMULTEX BN,145,,,,1.5,,,4,,
MAF7-R1-2750-05,141,7.875,EMULTEX BN,145,,,,1.5,,,4.0,,9,EMULTEX BN,145,,,,1.5,,,4,,
MAF7-R1-2750-05,142,7.875,EMULTEX BN,145,,,,1.5,,,4.0,,9,EMULTEX BN,145,,,,1.5,,,4,,
MAF7-R1-2750-05,143,7.875,EMULTEX BN,145,,,,1.5,,,4.0,,9,EMULTEX BN,145,,,,1.5,,,4,,
MAF7-R1-2750-05,144,7.875,EMULTEX BN,145,,,,1.5,,,4.0,,9,EMULTEX BN,145,,,,1.5,,,4,,
MAF7-R1-2750-05,145,7.875,EMULTEX BN,145,,,,1.5,,,4.0,,,,,,,,,,,,,
MAF7-R1-2750-05,146,7.875,EMULTEX BN,145,,,,1.5,,,4.0,,9,EMULTEX BN,145,,,,1.5,,,4,,
MAF7-R1-2750-05,147,7.875,EMULTEX BN,145,,,,1.5,,,4.0,,9,EMULTEX BN,145,,,,1.5,,,4,,
MAF7-R1-2750-05,148,7.875,EMULTEX BN,145,,,,1.5,,,4.0,,9,EMULTEX BN,145,,,,1.5,,,4,,
MAF7-R1-2750-05,149,7.875,EMULTEX BN,145,,,,1.5,,,4.0,,9,EMULTEX BN,145,,,,1.5,,,4,,
MAF7-R1-2750-05,150,7.875,EMULTEX BN,145,,,,1.5,,,4.0,,9,EMULTEX BN,145,,,,1.5,,,4,,
MAF7-R1-2750-05,151,7.875,EMULTEX BN,145,,,,1.5,,,4.0,,9,EMULTEX BN,145,,,,1.5,,,4,,
MAF7-R1-2750-05,152,7.875,EMULTEX BN,145,,,,1.5,,,4.0,,9,EMULTEX BN,145,,,,1.5,,,4,,
MAF7-R1-2750-05,153,7.875,EMULTEX BN,145,,,,1.5,,,4.0,,9,EMULTEX BN,145,,,,1.5,,,4,,
MAF7-R1-2750-05,154,7.875,EMULTEX BN,145,,,,1.5,,,4.0,,9,EMULTEX BN,145,,,,1.5,,,4,,
MAF7-R1-2750-05,220,10.625,EMULTEX BN,264,,,,1.0,,,4.0,,8.5,EMULTEX BN,265,,,,1,,,4,,
MAF7-R1-2750-05,221,10.625,EMULTEX BN,264,,,,1.0,,,4.0,,8.5,EMULTEX BN,265,,,,1,,,4,,
MAF7-R1-2750-05,222,10.625,EMULTEX BN,264,,,,1.0,,,4.0,,8.5,EMULTEX BN,265,,,,1,,,4,,
MAF7-R1-2750-05,223,10.625,EMULTEX BN,264,,,,1.0,,,4.0,,8.5,EMULTEX BN,265,,,,1,,,4,,
MAF7-R1-2750-05,224,10.625,EMULTEX BN,264,,,,1.0,,,4.0,,8.5,EMULTEX BN,265,,,,1,,,4,,
MAF7-R1-2750-05,225,10.625,EMULTEX BN,264,,,,1.0,,,4.0,,8.5,EMULTEX BN,265,,,,1,,,4,,
MAF7-R1-2750-05,227,10.625,EMULTEX BN,264,,,,1.0,,,4.0,,8.5,EMULTEX BN,265,,,,1,,,4,,
MAF7-R1-2750-05,228,10.625,EMULTEX BN,264,,,,1.0,,,4.0,,8.5,EMULTEX BN,265,,,,1,,,4,,
MAF7-R1-2750-05,229,10.625,EMULTEX BN,189,,,,,,,4.0,,6.5,EMULTEX BN,190,,,,,,,4,,
MAF7-R1-2750-05,230,10.625,EMULTEX BN,189,,,,,,,4.0,,6.5,EMULTEX BN,190,,,,,,,4,,
MAF7-R1-2750-05,231,10.625,EMULTEX BN,189,,,,,,,4.0,,6.5,EMULTEX BN,190,,,,,,,4,,
MAF7-R1-2750-05,232,10.625,EMULTEX BN,189,,,,,,,4.0,,6.5,EMULTEX BN,190,,,,,,,4,,
MAF7-R1-2750-05,233,10.625,EMULTEX BN,189,,,,,,,4.0,,6.5,EMULTEX BN,190,,,,,,,4,,
MAF7-R1-2750-05,234,10.625,EMULTEX BN,189,,,,,,,4.0,,6.5,EMULTEX BN,190,,,,,,,4,,
MAF7-R1-2750-05,235,10.625,EMULTEX BN,189,,,,,,,4.0,,6.5,EMULTEX BN,190,,,,,,,4,,
MAF7-R1-2750-05,236,10.625,EMULTEX BN,189,,,,,,,4.0,,6.5,EMULTEX BN,190,,,,,,,4,,
MAF7-R1-2750-05,237,10.625,EMULTEX BN,189,,,,,,,4.0,,6.5,EMULTEX BN,190,,,,,,,4,,
MAF7-R1-2750-05,238,10.625,EMULTEX BN,189,,,,,,,4.0,,6.5,EMULTEX BN,190,,,,,,,4,,
MAF7-R1-2750-05,239,10.625,EMULTEX BN,189,,,,,,,4.0,,6.5,EMULTEX BN,190,,,,,,,4,,
