MALLA,ID POZO,DIAMETRO PLG,CARGA FONDO DISENO ,KG FONDO DISENO ,AIRE FONDO DISENO ,CARGA COLUMNA  DISENO,KG COLUMNA DISENO,AIRE INTERMEDIO DISENO ,GRAVILLA INTERMEDIO DISENO ,AIRE SUPERIOR DISENO,TACO GRAVILLA DISENO ,SECUENCIA DETONACION DISENO,PROFUNDIDAD REAL,CARGA FONDO REAL ,KG FONDO REAL ,AIRE FONDO REAL ,CARGA COLUMNA REAL,KG COLUMNA REAL,AIRE INTERMEDIO REAL ,GRAVILLA INTERMEDIO REAL ,AIRE SUPERIOR REAL,TACO GRAVILLA REAL ,SECUENCIA DETONACION REAL,AGUA
MAF10-N-3245-03,101,6.5,VERTEX 30,171,,,,3.0,,,5.0,,16,VERTEX 30,171,,,,3,,,5,,
MAF10-N-3245-03,102,6.5,VERTEX 30,171,,,,3.0,,,5.0,,16,VERTEX 30,171,,,,3,,,5,,
MAF10-N-3245-03,103,6.5,VERTEX 30,171,,,,3.0,,,5.0,,16,VERTEX 30,171,,,,3,,,5,,
MAF10-N-3245-03,104,6.5,VERTEX 30,171,,,,3.0,,,5.0,,16,VERTEX 30,171,,,,3,,,5,,
MAF10-N-3245-03,105,6.5,VERTEX 30,171,,,,3.0,,,5.0,,16,VERTEX 30,171,,,,3,,,5,,
MAF10-N-3245-03,106,6.5,VERTEX 30,171,,,,3.0,,,5.0,,16,VERTEX 30,171,,,,3,,,5,,
MAF10-N-3245-03,107,6.5,VERTEX 30,171,,,,3.0,,,5.0,,16,VERTEX 30,171,,,,3,,,5,,
MAF10-N-3245-03,108,6.5,VERTEX 30,171,,,,3.0,,,5.0,,16,VERTEX 30,171,,,,3,,,5,,
MAF10-N-3245-03,109,6.5,VERTEX 30,171,,,,3.0,,,5.0,,16,VERTEX 30,171,,,,3,,,5,,
MAF10-N-3245-03,110,6.5,VERTEX 30,171,,,,3.0,,,5.0,,16,VERTEX 30,171,,,,3,,,5,,
MAF10-N-3245-03,156,7.875,VERTEX 30,110,,,,6.5,,,6.0,,16,VERTEX 30,110,,,,6.5,,,6,,
MAF10-N-3245-03,157,7.875,VERTEX 30,110,,,,6.5,,,6.0,,16,VERTEX 30,110,,,,6.5,,,6,,
MAF10-N-3245-03,158,7.875,VERTEX 30,110,,,,6.5,,,6.0,,16,VERTEX 30,110,,,,6.5,,,6,,
MAF10-N-3245-03,159,7.875,VERTEX 30,110,,,,6.5,,,6.0,,16,VERTEX 30,110,,,,6.5,,,6,,
MAF10-N-3245-03,160,7.875,VERTEX 30,110,,,,6.5,,,6.0,,16,VERTEX 30,110,,,,6.5,,,6,,
MAF10-N-3245-03,161,7.875,VERTEX 30,110,,,,6.5,,,6.0,,16,VERTEX 30,110,,,,6.5,,,6,,
MAF10-N-3245-03,162,7.875,VERTEX 30,110,,,,6.5,,,6.0,,16,VERTEX 30,110,,,,6.5,,,6,,
MAF10-N-3245-03,163,7.875,VERTEX 30,110,,,,6.5,,,6.0,,16,VERTEX 30,110,,,,6.5,,,6,,
MAF10-N-3245-03,164,7.875,VERTEX 30,110,,,,6.5,,,6.0,,16,VERTEX 30,110,,,,6.5,,,6,,
MAF10-N-3245-03,165,7.875,VERTEX 30,110,,,,6.5,,,6.0,,16,VERTEX 30,110,,,,6.5,,,6,,
MAF10-N-3245-03,166,7.875,VERTEX 30,110,,,,6.5,,,6.0,,16,VERTEX 30,110,,,,6.5,,,6,,
MAF10-N-3245-03,173,7.875,VERTEX 30,141,,,,5.5,,,6.0,,16,VERTEX 30,141,,,,5.5,,,6,,
MAF10-N-3245-03,174,7.875,VERTEX 30,141,,,,5.5,,,6.0,,16,VERTEX 30,141,,,,5.5,,,6,,
MAF10-N-3245-03,175,7.875,VERTEX 30,141,,,,5.5,,,6.0,,16,VERTEX 30,141,,,,5.5,,,6,,
MAF10-N-3245-03,176,7.875,VERTEX 30,141,,,,5.5,,,6.0,,16,VERTEX 30,141,,,,5.5,,,6,,
MAF10-N-3245-03,201,6.5,VERTEX 50,283,,,,0.0,,,7.0,,17,VERTEX 50,283,,,,0,,,7,,
MAF10-N-3245-03,202,6.5,VERTEX 50,283,,,,0.0,,,7.0,,17,VERTEX 50,283,,,,0,,,7,,
MAF10-N-3245-03,203,6.5,VERTEX 50,283,,,,0.0,,,7.0,,17,VERTEX 50,283,,,,0,,,7,,
MAF10-N-3245-03,204,6.5,VERTEX 50,283,,,,0.0,,,7.0,,17,VERTEX 50,283,,,,0,,,7,,
MAF10-N-3245-03,205,6.5,VERTEX 50,283,,,,0.0,,,7.0,,15.6,VERTEX 50,283,,,,0,,,6,,
MAF10-N-3245-03,206,6.5,VERTEX 50,283,,,,0.0,,,7.0,,16.5,VERTEX 50,283,,,,0,,,6,,
MAF10-N-3245-03,207,6.5,VERTEX 50,283,,,,0.0,,,7.0,,15,VERTEX 50,283,,,,0,,,5.4,,
MAF10-N-3245-03,208,6.5,VERTEX 50,283,,,,0.0,,,7.0,,17,VERTEX 50,283,,,,0,,,7,,
MAF10-N-3245-03,245,7.875,VERTEX 30,173,,,,0.0,,,11.5,,17,VERTEX 30,173,,,,0,,,11.5,,
MAF10-N-3245-03,246,7.875,VERTEX 30,173,,,,0.0,,,11.5,,17,VERTEX 30,173,,,,0,,,11.5,,
MAF10-N-3245-03,247,7.875,VERTEX 30,173,,,,0.0,,,11.5,,17,VERTEX 30,173,,,,0,,,11.5,,
MAF10-N-3245-03,248,7.875,VERTEX 30,173,,,,0.0,,,11.5,,17,VERTEX 30,173,,,,0,,,11.5,,
MAF10-N-3245-03,249,7.875,VERTEX 30,173,,,,0.0,,,11.5,,17,VERTEX 30,173,,,,0,,,11.5,,
MAF10-N-3245-03,250,7.875,VERTEX 30,173,,,,0.0,,,11.5,,17,VERTEX 30,173,,,,0,,,11.5,,
MAF10-N-3245-03,251,7.875,VERTEX 30,173,,,,0.0,,,11.5,,17,VERTEX 30,173,,,,0,,,11.5,,
MAF10-N-3245-03,252,7.875,VERTEX 30,173,,,,0.0,,,11.5,,17,VERTEX 30,173,,,,0,,,11.5,,
MAF10-N-3245-03,253,7.875,VERTEX 30,173,,,,0.0,,,11.5,,17,VERTEX 30,173,,,,0,,,11.5,,
MAF10-N-3245-03,258,7.875,VERTEX 30,252,,,,0.0,,,9.0,,17,VERTEX 30,252,,,,0,,,9,,
MAF10-N-3245-03,259,7.875,VERTEX 30,252,,,,0.0,,,9.0,,17,VERTEX 30,252,,,,0,,,9,,
MAF10-N-3245-03,260,7.875,VERTEX 30,252,,,,0.0,,,9.0,,17,VERTEX 30,252,,,,0,,,9,,
MAF10-N-3245-03,301,7.875,VERTEX 50,477,,,,0.0,,,5.5,,17,VERTEX 50,477,,,,0,,,5.5,,
MAF10-N-3245-03,302,7.875,VERTEX 50,477,,,,0.0,,,5.5,,17,VERTEX 50,477,,,,0,,,5.5,,
MAF10-N-3245-03,303,7.875,VERTEX 50,477,,,,0.0,,,5.5,,17,VERTEX 50,477,,,,0,,,5.5,,
MAF10-N-3245-03,304,7.875,VERTEX 50,477,,,,0.0,,,5.5,,17,VERTEX 50,477,,,,0,,,5.5,,
MAF10-N-3245-03,305,7.875,VERTEX 50,477,,,,0.0,,,5.5,,17.5,VERTEX 50,498,,,,0,,,5.5,,
MAF10-N-3245-03,306,7.875,VERTEX 50,477,,,,0.0,,,5.5,,17.5,VERTEX 50,498,,,,0,,,5.5,,
MAF10-N-3245-03,307,7.875,VERTEX 50,477,,,,0.0,,,5.5,,15,VERTEX 50,395,,,,0,,,5.5,,
MAF10-N-3245-03,335,7.875,VERTEX 50,336,,,,3.5,,,5.5,,17,VERTEX 50,336,,,,3.5,,,5.5,,
MAF10-N-3245-03,336,7.875,VERTEX 50,362,,,,3.5,,,5.5,,18,VERTEX 50,370,,,,3.5,,,5.5,,
