MALLA,ID POZO,DIAMETRO PLG,CARGA FONDO DISENO ,KG FONDO DISENO ,AIRE FONDO DISENO ,CARGA COLUMNA  DISENO,KG COLUMNA DISENO,AIRE INTERMEDIO DISENO ,GRAVILLA INTERMEDIO DISENO ,AIRE SUPERIOR DISENO,TACO GRAVILLA DISENO ,SECUENCIA DETONACION DISENO,PROFUNDIDAD REAL,CARGA FONDO REAL ,KG FONDO REAL ,AIRE FONDO REAL ,CARGA COLUMNA REAL,KG COLUMNA REAL,AIRE INTERMEDIO REAL ,GRAVILLA INTERMEDIO REAL ,AIRE SUPERIOR REAL,TACO GRAVILLA REAL ,SECUENCIA DETONACION REAL,AGUA
MAF10-N-3305-01,131,10.625,BLENDEX 930,286,,,,6.0,,,4.0,,15,BLENDEX 930,286,,,,6,,,4,,
MAF10-N-3305-01,132,10.625,BLENDEX 930,286,,,,6.0,,,4.0,,15,BLENDEX 930,286,,,,6,,,4,,
MAF10-N-3305-01,133,10.625,BLENDEX 930,286,,,,6.0,,,4.0,,15,BLENDEX 930,286,,,,6,,,4,,
MAF10-N-3305-01,134,10.625,BLENDEX 930,286,,,,6.0,,,4.0,,15,BLENDEX 930,286,,,,6,,,4,,
MAF10-N-3305-01,135,10.625,BLENDEX 930,286,,,,6.0,,,4.0,,15,BLENDEX 930,286,,,,6,,,4,,
MAF10-N-3305-01,136,10.625,BLENDEX 930,286,,,,6.0,,,4.0,,15,BLENDEX 930,286,,,,6,,,4,,
MAF10-N-3305-01,137,10.625,BLENDEX 930,286,,,,6.0,,,4.0,,15,BLENDEX 930,286,,,,6,,,4,,
MAF10-N-3305-01,138,10.625,BLENDEX 930,286,,,,6.0,,,4.0,,15,BLENDEX 930,286,,,,6,,,4,,
MAF10-N-3305-01,139,10.625,BLENDEX 930,286,,,,6.0,,,4.0,,15,BLENDEX 930,286,,,,6,,,4,,
MAF10-N-3305-01,140,10.625,BLENDEX 930,286,,,,6.0,,,4.0,,15,BLENDEX 930,286,,,,6,,,4,,
MAF10-N-3305-01,141,10.625,BLENDEX 930,286,,,,6.0,,,4.0,,15,BLENDEX 930,286,,,,6,,,4,,
MAF10-N-3305-01,142,10.625,BLENDEX 930,286,,,,6.0,,,4.0,,15,BLENDEX 930,286,,,,6,,,4,,
MAF10-N-3305-01,143,10.625,BLENDEX 930,286,,,,6.0,,,4.0,,15,BLENDEX 930,286,,,,6,,,4,,
