MALLA,ID POZO,DIAMETRO PLG,CARGA FONDO DISENO ,KG FONDO DISENO ,AIRE FONDO DISENO ,CARGA COLUMNA  DISENO,KG COLUMNA DISENO,AIRE INTERMEDIO DISENO ,GRAVILLA INTERMEDIO DISENO ,AIRE SUPERIOR DISENO,TACO GRAVILLA DISENO ,SECUENCIA DETONACION DISENO,PROFUNDIDAD REAL,CARGA FONDO REAL ,KG FONDO REAL ,AIRE FONDO REAL ,CARGA COLUMNA REAL,KG COLUMNA REAL,AIRE INTERMEDIO REAL ,GRAVILLA INTERMEDIO REAL ,AIRE SUPERIOR REAL,TACO GRAVILLA REAL ,SECUENCIA DETONACION REAL,AGUA
MAF7-R1-2780-2P-02,101,7.875,EMULTEX BN,141,,,,,,,5.1,,6,EMULTEX BN,90,,,,0,,,5.1,,
MAF7-R1-2780-2P-02,102,7.875,EMULTEX BN,99,,,,,,,3.6,,6,EMULTEX BN,90,,,,0,,,3.588,,
MAF7-R1-2780-2P-02,103,7.875,EMULTEX BN,99,,,,,,,3.6,,6,EMULTEX BN,90,,,,0,,,3.588,,
MAF7-R1-2780-2P-02,104,7.875,EMULTEX BN,141,,,,,,,5.1,,6,EMULTEX BN,90,,,,0,,,5.1,,
MAF7-R1-2780-2P-02,105,7.875,EMULTEX BN,141,,,,,,,5.1,,6,EMULTEX BN,90,,,,0,,,5.1,,
MAF7-R1-2780-2P-02,106,7.875,EMULTEX BN,105,,,,,,,3.8,,7,EMULTEX BN,117,,,,0,,,4.2,,
MAF7-R1-2780-2P-02,107,7.875,EMULTEX BN,141,,,,,,,5.1,,7,EMULTEX BN,117,,,,0,,,4.2,,
MAF7-R1-2780-2P-02,108,7.875,EMULTEX BN,108,,,,,,,3.9,,7,EMULTEX BN,117,,,,0,,,4.2,,
MAF7-R1-2780-2P-02,109,7.875,EMULTEX BN,110,,,,,,,4.0,,7,EMULTEX BN,117,,,,0,,,4.2,,
MAF7-R1-2780-2P-02,110,7.875,EMULTEX BN,112,,,,,,,4.1,,7,EMULTEX BN,117,,,,0,,,4.2,,
MAF7-R1-2780-2P-02,111,7.875,EMULTEX BN,112,,,,,,,4.0,,7.5,EMULTEX BN,125,,,,0,,,4.5,,
MAF7-R1-2780-2P-02,112,7.875,EMULTEX BN,113,,,,,,,4.1,,7.5,EMULTEX BN,125,,,,0,,,4.5,,
MAF7-R1-2780-2P-02,113,7.875,EMULTEX BN,141,,,,,,,5.1,,7.5,EMULTEX BN,125,,,,0,,,4.5,,
MAF7-R1-2780-2P-02,114,7.875,EMULTEX BN,96,,,,,,,3.5,,7.5,EMULTEX BN,125,,,,0,,,4.5,,
MAF7-R1-2780-2P-02,115,7.875,EMULTEX BN,108,,,,,,,3.9,,7.5,EMULTEX BN,125,,,,0,,,4.5,,
MAF7-R1-2780-2P-02,116,7.875,EMULTEX BN,80,,,,,,,2.9,,6.5,EMULTEX BN,108,,,,0,,,3.9,,
MAF7-R1-2780-2P-02,117,7.875,EMULTEX BN,90,,,,,,,3.3,,6.5,EMULTEX BN,108,,,,0,,,3.9,,
MAF7-R1-2780-2P-02,118,7.875,EMULTEX BN,115,,,,,,,4.2,,8,EMULTEX BN,124,,,,0,,,5,,
MAF7-R1-2780-2P-02,119,7.875,EMULTEX BN,115,,,,,,,4.2,,8.8,EMULTEX BN,141,,,,0,,,5.1,,
MAF7-R1-2780-2P-02,120,7.875,EMULTEX BN,118,,,,,,,4.2,,7.5,EMULTEX BN,125,,,,0,,,4.5,,
MAF7-R1-2780-2P-02,121,7.875,EMULTEX BN,117,,,,,,,4.2,,7.5,EMULTEX BN,125,,,,0,,,4.5,,
MAF7-R1-2780-2P-02,122,7.875,EMULTEX BN,117,,,,,,,4.2,,7.5,EMULTEX BN,125,,,,0,,,4.5,,
MAF7-R1-2780-2P-02,123,7.875,EMULTEX BN,141,,,,,,,5.1,,7.5,EMULTEX BN,125,,,,0,,,4.5,,
MAF7-R1-2780-2P-02,124,7.875,EMULTEX BN,111,,,,,,,4.0,,7.5,EMULTEX BN,125,,,,0,,,4.5,,
MAF7-R1-2780-2P-02,125,7.875,EMULTEX BN,109,,,,,,,3.9,,7,EMULTEX BN,85,,,,0,,,5,,
MAF7-R1-2780-2P-02,126,7.875,EMULTEX BN,108,,,,,,,3.9,,7,EMULTEX BN,85,,,,0,,,5,,
