MALLA,ID POZO,DIAMETRO PLG,CARGA FONDO DISENO ,KG FONDO DISENO ,AIRE FONDO DISENO ,CARGA COLUMNA  DISENO,KG COLUMNA DISENO,AIRE INTERMEDIO DISENO ,GRAVILLA INTERMEDIO DISENO ,AIRE SUPERIOR DISENO,TACO GRAVILLA DISENO ,SECUENCIA DETONACION DISENO,PROFUNDIDAD REAL,CARGA FONDO REAL ,KG FONDO REAL ,AIRE FONDO REAL ,CARGA COLUMNA REAL,KG COLUMNA REAL,AIRE INTERMEDIO REAL ,GRAVILLA INTERMEDIO REAL ,AIRE SUPERIOR REAL,TACO GRAVILLA REAL ,SECUENCIA DETONACION REAL,AGUA
MAF10-N-3395-03,690,12.25,VERTEX 50,994,,,,,,,6.0,,15.9,VERTEX 50,994,,,,,,,6,,
MAF10-N-3395-03,691,12.25,VERTEX 50,1034,,,,,,,6.0,,16.3,VERTEX 50,1034,,,,,,,6,,
MAF10-N-3395-03,692,12.25,VERTEX 50,1044,,,,,,,6.0,,16.4,VERTEX 50,1044,,,,,,,6,,
MAF10-N-3395-03,693,12.25,VERTEX 50,1044,,,,,,,6.0,,16.4,VERTEX 50,1044,,,,,,,6,,
MAF10-N-3395-03,694,12.25,VERTEX 50,1054,,,,,,,6.0,,16.5,VERTEX 50,1054,,,,,,,6,,
MAF10-N-3395-03,730,12.25,VERTEX 50,984,,,,,,,6.0,,15.8,VERTEX 50,985,,,,,,,6,,
MAF10-N-3395-03,731,12.25,VERTEX 50,964,,,,,,,6.0,,15.6,VERTEX 50,965,,,,,,,6,,
MAF10-N-3395-03,732,12.25,VERTEX 50,974,,,,,,,6.0,,15.7,VERTEX 50,975,,,,,,,6,,
MAF10-N-3395-03,733,12.25,VERTEX 50,1034,,,,,,,6.0,,16.3,VERTEX 50,1034,,,,,,,6,,
MAF10-N-3395-03,734,12.25,VERTEX 50,1004,,,,,,,6.0,,16,VERTEX 50,1004,,,,,,,6,,
MAF10-N-3395-03,735,12.25,VERTEX 50,1024,,,,,,,6.0,,16,VERTEX 50,1024,,,,,,,6,,
MAF10-N-3395-03,736,12.25,VERTEX 50,1004,,,,,,,6.0,,16,VERTEX 50,1004,,,,,,,6,,
MAF10-N-3395-03,737,12.25,VERTEX 50,994,,,,,,,6.0,,15.9,VERTEX 50,994,,,,,,,6,,
MAF10-N-3395-03,738,12.25,VERTEX 50,944,,,,,,,6.0,,15.4,VERTEX 50,944,,,,,,,6,,
MAF10-N-3395-03,747,12.25,VERTEX 50,964,,,,,,,6.0,,15.6,VERTEX 50,863,,,,1,,,6,,
MAF10-N-3395-03,748,12.25,VERTEX 50,994,,,,,,,6.0,,15.9,VERTEX 50,994,,,,,,,6,,
MAF10-N-3395-03,749,12.25,VERTEX 50,1004,,,,,,,6.0,,16,VERTEX 50,1004,,,,,,,6,,
MAF10-N-3395-03,750,12.25,VERTEX 50,1034,,,,,,,6.0,,16.3,VERTEX 50,1034,,,,,,,6,,
MAF10-N-3395-03,751,12.25,VERTEX 50,1034,,,,,,,6.0,,16.3,VERTEX 50,1034,,,,,,,6,,
