MALLA,ID POZO,DIAMETRO PLG,CARGA FONDO DISENO ,KG FONDO DISENO ,AIRE FONDO DISENO ,CARGA COLUMNA  DISENO,KG COLUMNA DISENO,AIRE INTERMEDIO DISENO ,GRAVILLA INTERMEDIO DISENO ,AIRE SUPERIOR DISENO,TACO GRAVILLA DISENO ,SECUENCIA DETONACION DISENO,PROFUNDIDAD REAL,CARGA FONDO REAL ,KG FONDO REAL ,AIRE FONDO REAL ,CARGA COLUMNA REAL,KG COLUMNA REAL,AIRE INTERMEDIO REAL ,GRAVILLA INTERMEDIO REAL ,AIRE SUPERIOR REAL,TACO GRAVILLA REAL ,SECUENCIA DETONACION REAL,AGUA
MAF7-R1-2810-09,122,7.875,BLENDEX 930,189,,BLENDEX 930,62.88384375,,,,,,12.5,BLENDEX 930,190,,BLENDEX 930,65,0.3,,,4,,
MAF7-R1-2810-09,123,7.875,BLENDEX 930,189,,BLENDEX 930,62.88384375,,,,,,12.5,BLENDEX 930,190,,BLENDEX 930,65,0.6,,,4,,
MAF7-R1-2810-09,124,7.875,BLENDEX 930,189,,BLENDEX 930,62.88384375,,,,,,13.5,BLENDEX 930,190,,BLENDEX 930,65,1.6,,,4,,
MAF7-R1-2810-09,125,7.875,BLENDEX 930,189,,BLENDEX 930,62.88384375,,,,,,14,BLENDEX 930,190,,BLENDEX 930,65,2,,,4,,
MAF7-R1-2810-09,126,7.875,BLENDEX 930,189,,BLENDEX 930,62.88384375,,,,,,14.5,BLENDEX 930,190,,BLENDEX 930,65,2.6,,,4,,
MAF7-R1-2810-09,127,7.875,BLENDEX 930,189,,BLENDEX 930,62.88384375,,,,,,14.5,BLENDEX 930,190,,BLENDEX 930,65,2.6,,,4,,
MAF7-R1-2810-09,128,7.875,BLENDEX 930,189,,BLENDEX 930,62.88384375,,,,,,15,BLENDEX 930,190,,BLENDEX 930,65,3,,,4,,
MAF7-R1-2810-09,129,7.875,BLENDEX 930,189,,BLENDEX 930,62.88384375,,,,,,14.5,BLENDEX 930,190,,BLENDEX 930,65,2.6,,,4,,
MAF7-R1-2810-09,130,7.875,BLENDEX 930,189,,BLENDEX 930,62.88384375,,,,,,14.5,BLENDEX 930,190,,BLENDEX 930,65,2.6,,,4,,
MAF7-R1-2810-09,131,7.875,BLENDEX 930,189,,BLENDEX 930,62.88384375,,,,,,15,BLENDEX 930,190,,BLENDEX 930,65,2.7,,,4,,
MAF7-R1-2810-09,132,7.875,BLENDEX 930,189,,BLENDEX 930,62.88384375,,,,,,15,BLENDEX 930,190,,BLENDEX 930,65,3,,,4,,
MAF7-R1-2810-09,133,7.875,BLENDEX 930,189,,BLENDEX 930,62.88384375,,,,,,15,BLENDEX 930,190,,BLENDEX 930,65,3,,,4,,
MAF7-R1-2810-09,134,7.875,BLENDEX 930,189,,BLENDEX 930,62.88384375,,,,,,15,BLENDEX 930,190,,BLENDEX 930,63,3,,,4,,
MAF7-R1-2810-09,135,7.875,BLENDEX 930,189,,BLENDEX 930,62.88384375,,,,,,15,BLENDEX 930,190,,BLENDEX 930,63,3,,,4,,
MAF7-R1-2810-09,136,7.875,BLENDEX 930,189,,BLENDEX 930,62.88384375,,,,,,14.7,BLENDEX 930,190,,BLENDEX 930,63,2.7,,,4,,
MAF7-R1-2810-09,137,7.875,BLENDEX 930,189,,BLENDEX 930,62.88384375,,,,,,15,BLENDEX 930,190,,BLENDEX 930,63,3,,,4,,
MAF7-R1-2810-09,138,7.875,BLENDEX 930,189,,BLENDEX 930,62.88384375,,,,,,15,BLENDEX 930,190,,BLENDEX 930,63,3,,,4,,
MAF7-R1-2810-09,139,7.875,BLENDEX 930,189,,BLENDEX 930,62.88384375,,,,,,14.9,BLENDEX 930,190,,BLENDEX 930,63,2.9,,,4,,
MAF7-R1-2810-09,140,7.875,BLENDEX 930,189,,BLENDEX 930,62.88384375,,,,,,14.9,BLENDEX 930,190,,BLENDEX 930,63,2.9,,,4,,
MAF7-R1-2810-09,141,7.875,BLENDEX 930,189,,BLENDEX 930,62.88384375,,,,,,14.9,BLENDEX 930,190,,BLENDEX 930,63,2.9,,,4,,
MAF7-R1-2810-09,142,7.875,BLENDEX 930,189,,BLENDEX 930,62.88384375,,,,,,15,BLENDEX 930,190,,BLENDEX 930,63,3,,,4,,
MAF7-R1-2810-09,143,7.875,BLENDEX 930,193,,BLENDEX 930,62.88384375,,,,,,15,BLENDEX 930,190,,BLENDEX 930,65,3,,,4,,
MAF7-R1-2810-09,221,10.625,BLENDEX 930,286,,BLENDEX 930,171.7066406,,,,,,15,BLENDEX 930,285,,BLENDEX 930,170,3,,,4,,
MAF7-R1-2810-09,222,10.625,BLENDEX 930,286,,BLENDEX 930,171.7066406,,,,,,15,BLENDEX 930,285,,BLENDEX 930,170,3,,,4,,
MAF7-R1-2810-09,223,10.625,BLENDEX 930,286,,BLENDEX 930,171.7066406,,,,,,15,BLENDEX 930,285,,BLENDEX 930,170,3,,,4,,
MAF7-R1-2810-09,224,10.625,BLENDEX 930,286,,BLENDEX 930,171.7066406,,,,,,15,BLENDEX 930,285,,BLENDEX 930,170,3,,,4,,
MAF7-R1-2810-09,225,10.625,BLENDEX 930,286,,BLENDEX 930,171.7066406,,,,,,15,BLENDEX 930,285,,BLENDEX 930,170,3,,,4,,
MAF7-R1-2810-09,226,10.625,BLENDEX 930,286,,BLENDEX 930,171.7066406,,,,,,15,BLENDEX 930,285,,BLENDEX 930,170,3,,,4,,
MAF7-R1-2810-09,227,10.625,BLENDEX 930,286,,BLENDEX 930,171.7066406,,,,,,15,BLENDEX 930,285,,BLENDEX 930,170,3,,,4,,
