MALLA,ID POZO,DIAMETRO PLG,CARGA FONDO DISENO ,KG FONDO DISENO ,AIRE FONDO DISENO ,CARGA COLUMNA  DISENO,KG COLUMNA DISENO,AIRE INTERMEDIO DISENO ,GRAVILLA INTERMEDIO DISENO ,AIRE SUPERIOR DISENO,TACO GRAVILLA DISENO ,SECUENCIA DETONACION DISENO,PROFUNDIDAD REAL,CARGA FONDO REAL ,KG FONDO REAL ,AIRE FONDO REAL ,CARGA COLUMNA REAL,KG COLUMNA REAL,AIRE INTERMEDIO REAL ,GRAVILLA INTERMEDIO REAL ,AIRE SUPERIOR REAL,TACO GRAVILLA REAL ,SECUENCIA DETONACION REAL,AGUA
MAF9-SE-3410-02,164,10.625,BLENDEX 930,229,,,,6.3,,,4.0,,,,,,,,,,,,,
MAF9-SE-3410-02,165,10.625,BLENDEX 930,229,,,,6.5,,,4.0,,,,,,,,,,,,,
MAF9-SE-3410-02,166,10.625,BLENDEX 930,229,,,,6.5,,,4.0,,,,,,,,,,,,,
MAF9-SE-3410-02,167,10.625,BLENDEX 930,229,,,,6.6,,,4.0,,,,,,,,,,,,,
MAF9-SE-3410-02,168,10.625,BLENDEX 930,229,,,,6.7,,,4.0,,,,,,,,,,,,,
MAF9-SE-3410-02,169,10.625,BLENDEX 930,229,,,,6.7,,,4.0,,,,,,,,,,,,,
MAF9-SE-3410-02,170,10.625,BLENDEX 930,229,,,,6.5,,,4.0,,,,,,,,,,,,,
MAF9-SE-3410-02,171,10.625,BLENDEX 930,229,,,,6.9,,,4.0,,,,,,,,,,,,,
MAF9-SE-3410-02,172,10.625,BLENDEX 930,229,,,,6.7,,,4.0,,,,,,,,,,,,,
MAF9-SE-3410-02,173,10.625,BLENDEX 930,229,,,,6.8,,,4.0,,,,,,,,,,,,,
MAF9-SE-3410-02,264,10.625,BLENDEX 930,286,,,,5.5,,,4.0,,,,,,,,,,,,,
MAF9-SE-3410-02,265,10.625,BLENDEX 930,286,,,,5.5,,,4.0,,,,,,,,,,,,,
MAF9-SE-3410-02,266,10.625,BLENDEX 930,286,,,,5.6,,,4.0,,,,,,,,,,,,,
MAF9-SE-3410-02,267,10.625,BLENDEX 930,286,,,,5.6,,,4.0,,,,,,,,,,,,,
MAF9-SE-3410-02,268,10.625,BLENDEX 930,286,,,,5.7,,,4.0,,,,,,,,,,,,,
MAF9-SE-3410-02,269,10.625,BLENDEX 930,286,,,,5.7,,,4.0,,,,,,,,,,,,,
MAF9-SE-3410-02,270,10.625,BLENDEX 930,286,,,,5.5,,,4.0,,,,,,,,,,,,,
MAF9-SE-3410-02,271,10.625,BLENDEX 930,286,,,,5.6,,,4.0,,,,,,,,,,,,,
MAF9-SE-3410-02,272,10.625,BLENDEX 930,286,,,,5.7,,,4.0,,,,,,,,,,,,,
MAF9-SE-3410-02,273,10.625,BLENDEX 930,286,,,,5.8,,,4.0,,,,,,,,,,,,,
MAF9-SE-3410-02,343,10.625,BLENDEX 930,429,,,,1.5,,,5.0,,,,,,,,,,,,,
MAF9-SE-3410-02,344,10.625,BLENDEX 930,387,,,,1.5,,,5.0,,,,,,,,,,,,,
MAF9-SE-3410-02,345,10.625,BLENDEX 930,394,,,,1.5,,,5.0,,,,,,,,,,,,,
MAF9-SE-3410-02,346,10.625,BLENDEX 930,404,,,,1.5,,,5.0,,,,,,,,,,,,,
MAF9-SE-3410-02,347,10.625,BLENDEX 930,404,,,,1.5,,,5.0,,,,,,,,,,,,,
MAF9-SE-3410-02,348,10.625,BLENDEX 930,405,,,,1.5,,,5.0,,,,,,,,,,,,,
MAF9-SE-3410-02,349,10.625,BLENDEX 930,376,,,,1.5,,,5.0,,,,,,,,,,,,,
MAF9-SE-3410-02,443,12.25,VERTEX 50,703,,,,1.0,,,6.0,,14,VERTEX 50,703,,,,1,,,6,,
MAF9-SE-3410-02,444,12.25,VERTEX 50,676,,,,1.0,,,6.0,,12.5,VERTEX 50,522,,,,1,,,6.2,,
MAF9-SE-3410-02,445,12.25,VERTEX 50,702,,,,1.0,,,6.0,,13.2,VERTEX 50,622,,,,1,,,6,,
MAF9-SE-3410-02,446,12.25,VERTEX 50,716,,,,1.0,,,6.0,,12.5,VERTEX 50,552,,,,1,,,6,,
MAF9-SE-3410-02,447,12.25,VERTEX 50,669,,,,1.0,,,6.0,,12.5,VERTEX 50,552,,,,1,,,6,,
MAF9-SE-3410-02,448,12.25,VERTEX 50,679,,,,1.0,,,6.0,,9.2,VERTEX 50,220,,,,1,,,6,,
MAF9-SE-3410-02,449,12.25,VERTEX 50,703,,,,1.0,,,6.0,,10.2,VERTEX 50,301,,,,1,,,6.2,,
MAF9-SE-3410-02,543,12.25,VERTEX 50,871,,,,1.5,,,6.0,,16,VERTEX 50,854,,,,1.5,,,6,,
MAF9-SE-3410-02,544,12.25,VERTEX 50,854,,,,1.5,,,6.0,,16,VERTEX 50,854,,,,1.5,,,6,,
MAF9-SE-3410-02,545,12.25,VERTEX 50,858,,,,1.5,,,6.0,,15.5,VERTEX 50,853,,,,1.5,,,5.8,,
MAF9-SE-3410-02,546,12.25,VERTEX 50,854,,,,1.4,,,6.0,,13.7,VERTEX 50,672,,,,1.38,,,5.8,,
MAF9-SE-3410-02,547,12.25,VERTEX 50,854,,,,1.2,,,6.0,,14.6,VERTEX 50,763,,,,1.249,,,6,,
