MALLA,ID POZO,DIAMETRO PLG,CARGA FONDO DISENO ,KG FONDO DISENO ,AIRE FONDO DISENO ,CARGA COLUMNA  DISENO,KG COLUMNA DISENO,AIRE INTERMEDIO DISENO ,GRAVILLA INTERMEDIO DISENO ,AIRE SUPERIOR DISENO,TACO GRAVILLA DISENO ,SECUENCIA DETONACION DISENO,PROFUNDIDAD REAL,CARGA FONDO REAL ,KG FONDO REAL ,AIRE FONDO REAL ,CARGA COLUMNA REAL,KG COLUMNA REAL,AIRE INTERMEDIO REAL ,GRAVILLA INTERMEDIO REAL ,AIRE SUPERIOR REAL,TACO GRAVILLA REAL ,SECUENCIA DETONACION REAL,AGUA
MAF7-R1-2757-05,111,7.875,EMULTEX BN,145,,,,1.5,,,4.0,,,,,,,,,,,,,
MAF7-R1-2757-05,112,7.875,EMULTEX BN,145,,,,1.5,,,4.0,,,,,,,,,,,,,
MAF7-R1-2757-05,113,7.875,EMULTEX BN,145,,,,1.5,,,4.0,,9,EMULTEX BN,145,,,,1.5,,,4,,
MAF7-R1-2757-05,114,7.875,EMULTEX BN,145,,,,1.5,,,4.0,,9,EMULTEX BN,145,,,,1.5,,,4,,
MAF7-R1-2757-05,115,7.875,EMULTEX BN,145,,,,1.5,,,4.0,,9,EMULTEX BN,145,,,,1.5,,,4,,
MAF7-R1-2757-05,116,7.875,EMULTEX BN,145,,,,1.5,,,4.0,,9,EMULTEX BN,145,,,,1.5,,,4,,
MAF7-R1-2757-05,117,7.875,EMULTEX BN,145,,,,1.5,,,4.0,,6,EMULTEX BN,86,,,,1.5,,,2.5,,
MAF7-R1-2757-05,118,7.875,EMULTEX BN,145,,,,1.5,,,4.0,,6,EMULTEX BN,86,,,,1.5,,,2.5,,
MAF7-R1-2757-05,119,7.875,EMULTEX BN,145,,,,1.5,,,4.0,,8.2,EMULTEX BN,145,,,,1.5,,,3.3,,
MAF7-R1-2757-05,120,7.875,EMULTEX BN,145,,,,1.0,,,4.0,,8.2,EMULTEX BN,145,,,,1,,,3.8,,
MAF7-R1-2757-05,121,7.875,EMULTEX BN,145,,,,1.5,,,4.0,,9,EMULTEX BN,145,,,,1.5,,,4,,
MAF7-R1-2757-05,122,7.875,EMULTEX BN,145,,,,0.7,,,4.0,,8.2,EMULTEX BN,145,,,,0.7,,,4,,
MAF7-R1-2757-05,123,7.875,EMULTEX BN,145,,,,0.7,,,4.0,,8,EMULTEX BN,145,,,,0.7,,,3.9,,
