MALLA,ID POZO,DIAMETRO PLG,CARGA FONDO DISENO ,KG FONDO DISENO ,AIRE FONDO DISENO ,CARGA COLUMNA  DISENO,KG COLUMNA DISENO,AIRE INTERMEDIO DISENO ,GRAVILLA INTERMEDIO DISENO ,AIRE SUPERIOR DISENO,TACO GRAVILLA DISENO ,SECUENCIA DETONACION DISENO,PROFUNDIDAD REAL,CARGA FONDO REAL ,KG FONDO REAL ,AIRE FONDO REAL ,CARGA COLUMNA REAL,KG COLUMNA REAL,AIRE INTERMEDIO REAL ,GRAVILLA INTERMEDIO REAL ,AIRE SUPERIOR REAL,TACO GRAVILLA REAL ,SECUENCIA DETONACION REAL,AGUA
MAF10-N-3350-03,525,12.25,VERTEX 50,1095,,,,,,,6.0,,17,VERTEX 50,1105,,,,,,,6,,
MAF10-N-3350-03,526,12.25,VERTEX 50,1095,,,,,,,6.0,,17,VERTEX 50,1100,,,,,,,6,,
MAF10-N-3350-03,527,12.25,VERTEX 50,1085,,,,,,,6.0,,16.5,VERTEX 50,1055,,,,,,,6,,
MAF10-N-3350-03,625,12.25,VERTEX 50,1105,,,,,,,6.0,,17.5,VERTEX 50,1155,,,,,,,6,,
MAF10-N-3350-03,626,12.25,VERTEX 50,1085,,,,,,,6.0,,17,VERTEX 50,1150,,,,,,,6,,
MAF10-N-3350-03,629,12.25,VERTEX 50,974,,,,,,,7.0,,17,VERTEX 50,1005,,,,,,,7,,
MAF10-N-3350-03,630,12.25,VERTEX 50,904,,,,,,,7.0,,16,VERTEX 50,905,,,,,,,7,,
MAF10-N-3350-03,633,12.25,VERTEX 50,904,,,,,,,7.0,,16,VERTEX 50,905,,,,,,,7,,
MAF10-N-3350-03,725,12.25,VERTEX 50,1115,,,,,,,6.0,,17.5,VERTEX 50,1150,,,,,,,6,,
MAF10-N-3350-03,726,12.25,VERTEX 50,1085,,,,,,,6.0,,17.2,VERTEX 50,1120,,,,,,,6,,
MAF10-N-3350-03,727,12.25,VERTEX 50,1065,,,,,,,6.0,,17,VERTEX 50,1105,,,,,,,6,,
MAF10-N-3350-03,728,12.25,VERTEX 50,1004,,,,,,,7.0,,17,VERTEX 50,1000,,,,,,,7,,
MAF10-N-3350-03,729,12.25,VERTEX 50,904,,,,,,,7.0,,16,VERTEX 50,905,,,,,,,7,,
MAF10-N-3350-03,825,12.25,VERTEX 50,1065,,,,,,,6.0,,19,VERTEX 50,1205,,,,,,,7,,
MAF10-N-3350-03,826,12.25,VERTEX 50,1044,,,,,,,6.0,,17,VERTEX 50,1105,,,,,,,6,,
MAF10-N-3350-03,827,12.25,VERTEX 50,1065,,,,,,,6.0,,17,VERTEX 50,1105,,,,,,,6,,
MAF10-N-3350-03,828,12.25,VERTEX 50,1105,,,,,,,6.0,,17,VERTEX 50,1105,,,,,,,6,,
MAF10-N-3350-03,925,12.25,VERTEX 50,1054,,,,,,,6.0,,17,VERTEX 50,1105,,,,,,,6,,
MAF10-N-3350-03,926,12.25,VERTEX 50,1034,,,,,,,6.0,,17,VERTEX 50,1105,,,,,,,6,,
MAF10-N-3350-03,927,12.25,VERTEX 50,1034,,,,,,,6.0,,17,VERTEX 50,1105,,,,,,,6,,
MAF10-N-3350-03,928,12.25,VERTEX 50,1054,,,,,,,6.0,,17,VERTEX 50,1105,,,,,,,6,,
MAF10-N-3350-03,929,12.25,VERTEX 50,1105,,,,,,,6.0,,17,VERTEX 50,1105,,,,,,,6,,
MAF10-N-3350-03,1019,12.25,VERTEX 50,1044,,,,,,,6.0,,16.4,VERTEX 50,1044,,,,,,,6.2,,
MAF10-N-3350-03,1020,12.25,VERTEX 50,1065,,,,,,,6.0,,16.3,VERTEX 50,1034,,,,,,,6.1,,
MAF10-N-3350-03,1021,12.25,VERTEX 50,1054,,,,,,,6.0,,16.5,VERTEX 50,1034,,,,,,,6.3,,
MAF10-N-3350-03,1022,12.25,VERTEX 50,1075,,,,,,,6.0,,16.3,VERTEX 50,1034,,,,,,,6.2,,
MAF10-N-3350-03,1023,12.25,VERTEX 50,1054,,,,,,,6.0,,16.5,VERTEX 50,1034,,,,,,,6.2,,
MAF10-N-3350-03,1024,12.25,VERTEX 50,1075,,,,,,,6.0,,16.7,VERTEX 50,1075,,,,,,,6.2,,
MAF10-N-3350-03,1025,12.25,VERTEX 50,1044,,,,,,,6.0,,16.5,VERTEX 50,1054,,,,,,,6.3,,
MAF10-N-3350-03,1026,12.25,VERTEX 50,1065,,,,,,,6.0,,16.3,VERTEX 50,1034,,,,,,,6.2,,
MAF10-N-3350-03,1027,12.25,VERTEX 50,1105,,,,,,,6.0,,17,VERTEX 50,1100,,,,,,,6,,
MAF10-N-3350-03,1028,12.25,VERTEX 50,1105,,,,,,,6.0,,17,VERTEX 50,1105,,,,,,,6,,
MAF10-N-3350-03,1029,12.25,VERTEX 50,1105,,,,,,,6.0,,17,VERTEX 50,1105,,,,,,,6.2,,
MAF10-N-3350-03,1114,12.25,VERTEX 50,1135,,,,,,,6.0,,17.3,VERTEX 50,1135,,,,,,,6.3,,
MAF10-N-3350-03,1115,12.25,VERTEX 50,1085,,,,,,,6.0,,16.6,VERTEX 50,1065,,,,,,,6.2,,
MAF10-N-3350-03,1116,12.25,VERTEX 50,1085,,,,,,,6.0,,16.8,VERTEX 50,1085,,,,,,,6,,
MAF10-N-3350-03,1117,12.25,VERTEX 50,1085,,,,,,,6.0,,16.8,VERTEX 50,1085,,,,,,,6,,
MAF10-N-3350-03,1118,12.25,VERTEX 50,1054,,,,,,,6.0,,16.5,VERTEX 50,1054,,,,,,,6,,
MAF10-N-3350-03,1119,12.25,VERTEX 50,1044,,,,,,,6.0,,16.4,VERTEX 50,1044,,,,,,,6,,
MAF10-N-3350-03,1120,12.25,VERTEX 50,1054,,,,,,,6.0,,16.5,VERTEX 50,1054,,,,,,,6,,
MAF10-N-3350-03,1121,12.25,VERTEX 50,1065,,,,,,,6.0,,16.6,VERTEX 50,1065,,,,,,,6,,
MAF10-N-3350-03,1122,12.25,VERTEX 50,1085,,,,,,,6.0,,16.8,VERTEX 50,1085,,,,,,,6,,
MAF10-N-3350-03,1123,12.25,VERTEX 50,1105,,,,,,,6.0,,17,VERTEX 50,1105,,,,,,,6,,
MAF10-N-3350-03,1124,12.25,VERTEX 50,1075,,,,,,,6.0,,16.7,VERTEX 50,1075,,,,,,,6,,
MAF10-N-3350-03,1125,12.25,VERTEX 50,1065,,,,,,,6.0,,16.6,VERTEX 50,1065,,,,,,,6,,
MAF10-N-3350-03,1126,12.25,VERTEX 50,1054,,,,,,,6.0,,16.5,VERTEX 50,1054,,,,,,,6,,
MAF10-N-3350-03,1127,12.25,VERTEX 50,1105,,,,,,,6.0,,17,VERTEX 50,1105,,,,,,,6,,
MAF10-N-3350-03,1128,12.25,VERTEX 50,1105,,,,,,,6.0,,17,VERTEX 50,1105,,,,,,,6.2,,
MAF10-N-3350-03,1129,12.25,VERTEX 50,904,,,,,,,7.0,,16.5,VERTEX 50,940,,,,,,,7.2,,
MAF10-N-3350-03,1207,12.25,VERTEX 50,1265,,,,,,,6.0,,17.7,VERTEX 50,1175,,,,,,,6.3,,
