MALLA,ID POZO,DIAMETRO PLG,CARGA FONDO DISENO ,KG FONDO DISENO ,AIRE FONDO DISENO ,CARGA COLUMNA  DISENO,KG COLUMNA DISENO,AIRE INTERMEDIO DISENO ,GRAVILLA INTERMEDIO DISENO ,AIRE SUPERIOR DISENO,TACO GRAVILLA DISENO ,SECUENCIA DETONACION DISENO,PROFUNDIDAD REAL,CARGA FONDO REAL ,KG FONDO REAL ,AIRE FONDO REAL ,CARGA COLUMNA REAL,KG COLUMNA REAL,AIRE INTERMEDIO REAL ,GRAVILLA INTERMEDIO REAL ,AIRE SUPERIOR REAL,TACO GRAVILLA REAL ,SECUENCIA DETONACION REAL,AGUA
MAF9-SE-3425-05,137,10.625,BLENDEX 930,229,,,,7.5,,,4.0,,15.5,BLENDEX 930,229,,,,7.5,,,4,,
MAF9-SE-3425-05,138,10.625,BLENDEX 930,206,,,,7.5,,,4.0,,15.1,BLENDEX 930,206,,,,7.5,,,4,,
MAF9-SE-3425-05,139,10.625,BLENDEX 930,200,,,,7.4,,,4.0,,14.9,BLENDEX 930,200,,,,7.4,,,4,,
MAF9-SE-3425-05,140,10.625,BLENDEX 930,200,,,,7.2,,,4.0,,14.7,BLENDEX 930,200,,,,7.2,,,4,,
MAF9-SE-3425-05,141,10.625,BLENDEX 930,200,,,,7.0,,,4.0,,14.5,BLENDEX 930,200,,,,7,,,4,,
MAF9-SE-3425-05,142,10.625,BLENDEX 930,200,,,,7.1,,,4.0,,14.6,BLENDEX 930,200,,,,7.1,,,4,,
MAF9-SE-3425-05,143,10.625,BLENDEX 930,200,,,,6.8,,,4.0,,14.3,BLENDEX 930,200,,,,6.8,,,4,,
MAF9-SE-3425-05,144,10.625,BLENDEX 930,200,,,,6.7,,,4.0,,14.2,BLENDEX 930,200,,,,6.7,,,4,,
MAF9-SE-3425-05,145,10.625,BLENDEX 930,200,,,,6.6,,,4.0,,14.1,BLENDEX 930,200,,,,6.6,,,4,,
MAF9-SE-3425-05,146,10.625,BLENDEX 930,200,,,,6.5,,,4.0,,14,BLENDEX 930,200,,,,6.5,,,4,,
MAF9-SE-3425-05,147,10.625,BLENDEX 930,200,,,,6.4,,,4.0,,13.9,BLENDEX 930,200,,,,6.4,,,4,,
MAF9-SE-3425-05,148,10.625,BLENDEX 930,200,,,,6.3,,,4.0,,13.8,BLENDEX 930,200,,,,6.3,,,4,,
MAF9-SE-3425-05,149,10.625,BLENDEX 930,200,,,,6.1,,,4.0,,13.6,BLENDEX 930,200,,,,6.1,,,4,,
MAF9-SE-3425-05,150,10.625,BLENDEX 930,200,,,,6.1,,,4.0,,13.6,BLENDEX 930,200,,,,6.1,,,4,,
MAF9-SE-3425-05,151,10.625,BLENDEX 930,200,,,,6.3,,,4.0,,13.8,BLENDEX 930,200,,,,6.3,,,4,,
MAF9-SE-3425-05,152,10.625,BLENDEX 930,200,,,,6.4,,,4.0,,13.9,BLENDEX 930,200,,,,6.4,,,4,,
MAF9-SE-3425-05,153,10.625,BLENDEX 930,200,,,,6.5,,,4.0,,14,BLENDEX 930,200,,,,6.5,,,4,,
MAF9-SE-3425-05,154,10.625,BLENDEX 930,200,,,,6.7,,,4.0,,14.2,BLENDEX 930,200,,,,6.7,,,4,,
MAF9-SE-3425-05,155,10.625,BLENDEX 930,200,,,,6.8,,,4.0,,14.3,BLENDEX 930,200,,,,6.8,,,4,,
MAF9-SE-3425-05,156,10.625,BLENDEX 930,200,,,,7.0,,,4.0,,14.5,BLENDEX 930,200,,,,7,,,4,,
MAF9-SE-3425-05,157,10.625,BLENDEX 930,200,,,,7.0,,,4.0,,14.5,BLENDEX 930,200,,,,7,,,4,,
MAF9-SE-3425-05,158,10.625,BLENDEX 930,200,,,,7.2,,,4.0,,14.7,BLENDEX 930,200,,,,7.2,,,4,,
MAF9-SE-3425-05,159,10.625,BLENDEX 930,200,,,,7.2,,,4.0,,14.7,BLENDEX 930,200,,,,7.2,,,4,,
MAF9-SE-3425-05,160,10.625,BLENDEX 930,200,,,,7.2,,,4.0,,14.7,BLENDEX 930,200,,,,7.2,,,4,,
MAF9-SE-3425-05,228,10.625,BLENDEX 930,292,,,,6.5,,,4.0,,15.6,BLENDEX 930,292,,,,6.5,,,4,,
MAF9-SE-3425-05,229,10.625,BLENDEX 930,269,,,,6.5,,,4.0,,15.2,BLENDEX 930,270,,,,6.5,,,4,,
MAF9-SE-3425-05,230,10.625,BLENDEX 930,258,,,,6.2,,,4.0,,14.7,BLENDEX 930,260,,,,6.2,,,4,,
MAF9-SE-3425-05,231,10.625,BLENDEX 930,258,,,,6.1,,,4.0,,14.6,BLENDEX 930,260,,,,6.1,,,4,,
MAF9-SE-3425-05,232,10.625,BLENDEX 930,258,,,,6.0,,,4.0,,14.5,BLENDEX 930,260,,,,6,,,4,,
MAF9-SE-3425-05,233,10.625,BLENDEX 930,258,,,,5.8,,,4.0,,14.3,BLENDEX 930,260,,,,5.8,,,4,,
MAF9-SE-3425-05,234,10.625,BLENDEX 930,258,,,,5.6,,,4.0,,14.1,BLENDEX 930,260,,,,5.6,,,4,,
MAF9-SE-3425-05,235,10.625,BLENDEX 930,258,,,,5.6,,,4.0,,14.1,BLENDEX 930,260,,,,5.6,,,4,,
MAF9-SE-3425-05,236,10.625,BLENDEX 930,258,,,,5.4,,,4.0,,13.9,BLENDEX 930,260,,,,5.4,,,4,,
MAF9-SE-3425-05,237,10.625,BLENDEX 930,258,,,,5.4,,,4.0,,12,BLENDEX 930,260,,,,3.5,,,4,,
MAF9-SE-3425-05,238,10.625,BLENDEX 930,258,,,,5.6,,,4.0,,10,BLENDEX 930,115,,,,4,,,4,,
MAF9-SE-3425-05,239,10.625,BLENDEX 930,258,,,,5.6,,,4.0,,14.1,BLENDEX 930,258,,,,5.6,,,4,,
MAF9-SE-3425-05,240,10.625,BLENDEX 930,258,,,,5.6,,,4.0,,14,BLENDEX 930,258,,,,5.5,,,4,,
MAF9-SE-3425-05,241,10.625,BLENDEX 930,258,,,,5.8,,,4.0,,14.3,BLENDEX 930,258,,,,5.8,,,4,,
MAF9-SE-3425-05,242,10.625,BLENDEX 930,258,,,,5.9,,,4.0,,14.4,BLENDEX 930,258,,,,5.9,,,4,,
MAF9-SE-3425-05,243,10.625,BLENDEX 930,258,,,,6.1,,,4.0,,14.6,BLENDEX 930,258,,,,6.1,,,4,,
MAF9-SE-3425-05,244,10.625,BLENDEX 930,258,,,,6.2,,,4.0,,14.7,BLENDEX 930,258,,,,6.2,,,4,,
MAF9-SE-3425-05,245,10.625,BLENDEX 930,258,,,,6.4,,,4.0,,15,BLENDEX 930,258,,,,6.5,,,4,,
MAF9-SE-3425-05,323,10.625,BLENDEX 930,355,,,,4.0,,,5.0,,15.2,BLENDEX 930,355,,,,4,,,5,,
MAF9-SE-3425-05,324,10.625,BLENDEX 930,343,,,,3.8,,,5.0,,14.8,BLENDEX 930,343,,,,3.8,,,5,,
MAF9-SE-3425-05,325,10.625,BLENDEX 930,343,,,,3.7,,,5.0,,14.7,BLENDEX 930,343,,,,3.7,,,5,,
MAF9-SE-3425-05,326,10.625,BLENDEX 930,343,,,,3.5,,,5.0,,14.5,BLENDEX 930,343,,,,3.5,,,5,,
MAF9-SE-3425-05,327,10.625,BLENDEX 930,343,,,,3.3,,,5.0,,14.2,BLENDEX 930,343,,,,3.3,,,5,,
MAF9-SE-3425-05,328,10.625,BLENDEX 930,343,,,,3.2,,,5.0,,14,BLENDEX 930,343,,,,3,,,5,,
MAF9-SE-3425-05,329,10.625,BLENDEX 930,343,,,,3.1,,,5.0,,14,BLENDEX 930,343,,,,3.1,,,5,,
MAF9-SE-3425-05,330,10.625,BLENDEX 930,343,,,,3.2,,,5.0,,14,BLENDEX 930,343,,,,3.2,,,5,,
MAF9-SE-3425-05,331,10.625,BLENDEX 930,343,,,,3.2,,,5.0,,14,BLENDEX 930,343,,,,2.8,,,5,,
MAF9-SE-3425-05,332,10.625,BLENDEX 930,343,,,,4.0,,,5.0,,15,BLENDEX 930,343,,,,4,,,5,,
MAF9-SE-3425-05,333,10.625,BLENDEX 930,343,,,,4.0,,,5.0,,15,BLENDEX 930,343,,,,4,,,5,,
MAF9-SE-3425-05,334,10.625,BLENDEX 930,343,,,,4.0,,,5.0,,15,BLENDEX 930,343,,,,4,,,5,,
MAF9-SE-3425-05,335,10.625,BLENDEX 930,343,,,,4.0,,,5.0,,15,BLENDEX 930,343,,,,4,,,5,,
MAF9-SE-3425-05,336,10.625,BLENDEX 930,343,,,,4.0,,,5.0,,15,BLENDEX 930,343,,,,4,,,5,,
MAF9-SE-3425-05,416,12.25,BLENDEX 930,456,,,,3.0,,,7.0,,16,BLENDEX 930,456,,,,3,,,7,,
MAF9-SE-3425-05,417,12.25,BLENDEX 930,456,,,,3.0,,,7.0,,16,BLENDEX 930,456,,,,3,,,7,,
MAF9-SE-3425-05,418,12.25,BLENDEX 930,456,,,,2.7,,,7.0,,15.7,BLENDEX 930,456,,,,2.7,,,7,,
MAF9-SE-3425-05,419,12.25,BLENDEX 930,456,,,,2.3,,,7.0,,15.3,BLENDEX 930,456,,,,2.3,,,7,,
MAF9-SE-3425-05,420,12.25,BLENDEX 930,456,,,,2.0,,,7.0,,15,BLENDEX 930,456,,,,2,,,7,,
MAF9-SE-3425-05,421,12.25,BLENDEX 930,456,,,,2.2,,,7.0,,15.2,BLENDEX 930,456,,,,2.2,,,7,,
MAF9-SE-3425-05,422,12.25,BLENDEX 930,456,,,,2.2,,,7.0,,15.2,BLENDEX 930,456,,,,2.2,,,7,,
MAF9-SE-3425-05,423,12.25,BLENDEX 930,456,,,,2.1,,,7.0,,15.1,BLENDEX 930,456,,,,2.1,,,7,,
MAF9-SE-3425-05,424,12.25,BLENDEX 930,456,,,,2.1,,,7.0,,15.1,BLENDEX 930,456,,,,2.1,,,7,,
MAF9-SE-3425-05,425,12.25,BLENDEX 930,456,,,,3.0,,,7.0,,,,,,,,3,,,7,,
MAF9-SE-3425-05,426,12.25,BLENDEX 930,456,,,,3.0,,,7.0,,,,,,,,3,,,7,,
MAF9-SE-3425-05,516,12.25,BLENDEX 930,456,,,,2.7,,,7.0,,15.7,BLENDEX 930,456,,,,2.7,,,7,,
MAF9-SE-3425-05,517,12.25,BLENDEX 930,456,,,,2.6,,,7.0,,15.6,BLENDEX 930,456,,,,2.6,,,7,,
MAF9-SE-3425-05,616,12.25,BLENDEX 930,456,,,,2.6,,,7.0,,,,,,,,2.6,,,7,,
MAF9-SE-3425-05,617,12.25,BLENDEX 930,456,,,,2.0,,,7.0,,15,BLENDEX 930,456,,,,2,,,7,,
MAF9-SE-3425-05,715,12.25,BLENDEX 930,479,,,,3.0,,,7.0,,16.3,BLENDEX 930,479,,,,3,,,7,,
MAF9-SE-3425-05,716,12.25,BLENDEX 930,456,,,,2.8,,,7.0,,15.8,BLENDEX 930,456,,,,2.8,,,7,,
MAF9-SE-3425-05,1114,12.25,BLENDEX 930,555,,,,3.0,,,7.0,,17.3,BLENDEX 930,555,,,,3,,,7,,
MAF9-SE-3425-05,1115,12.25,BLENDEX 930,533,,,,3.0,,,7.0,,17,BLENDEX 930,533,,,,3,,,7,,
MAF9-SE-3425-05,3020,10.625,VERTEX 50,725,,,,0.0,,,7.0,,16.6,VERTEX 50,725,,,,0,,,7,,
MAF9-SE-3425-05,3021,10.625,VERTEX 50,703,,,,0.0,,,7.0,,,,,,,,0,,,7,,
MAF9-SE-3425-05,161,7.875,BLENDEX 930,110,,,,7.2,,,4.0,,14.7,BLENDEX 930,110,,,,7.2,,,4,,
MAF9-SE-3425-05,162,7.875,BLENDEX 930,110,,,,7.1,,,4.0,,14.6,BLENDEX 930,110,,,,7.1,,,4,,
MAF9-SE-3425-05,163,7.875,BLENDEX 930,110,,,,7.1,,,4.0,,14.6,BLENDEX 930,110,,,,7.1,,,4,,
MAF9-SE-3425-05,164,7.875,BLENDEX 930,110,,,,7.1,,,4.0,,14.6,BLENDEX 930,110,,,,7.1,,,4,,
MAF9-SE-3425-05,165,7.875,BLENDEX 930,110,,,,7.0,,,4.0,,14.5,BLENDEX 930,110,,,,7,,,4,,
MAF9-SE-3425-05,166,7.875,BLENDEX 930,157,,,,5.6,,,4.0,,14.5,BLENDEX 930,110,,,,7,,,4,,
MAF9-SE-3425-05,167,7.875,BLENDEX 930,157,,,,5.7,,,4.0,,14,BLENDEX 930,157,,,,5,,,4,,
MAF9-SE-3425-05,168,7.875,BLENDEX 930,157,,,,5.8,,,4.0,,14,BLENDEX 930,157,,,,5,,,4,,
MAF9-SE-3425-05,169,7.875,BLENDEX 930,157,,,,5.8,,,4.0,,14.8,BLENDEX 930,157,,,,5.8,,,4,,
MAF9-SE-3425-05,170,7.875,BLENDEX 930,157,,,,5.8,,,4.0,,14.7,BLENDEX 930,157,,,,5.8,,,4,,
MAF9-SE-3425-05,171,7.875,BLENDEX 930,157,,,,5.9,,,4.0,,14.8,BLENDEX 930,157,,,,5.9,,,4,,
MAF9-SE-3425-05,172,7.875,BLENDEX 930,157,,,,6.0,,,4.0,,15,BLENDEX 930,157,,,,6,,,4,,
MAF9-SE-3425-05,173,7.875,BLENDEX 930,157,,,,6.0,,,4.0,,14.7,BLENDEX 930,157,,,,5.7,,,4,,
MAF9-SE-3425-05,174,7.875,BLENDEX 930,157,,,,6.0,,,4.0,,14.7,BLENDEX 930,157,,,,5.7,,,4,,
MAF9-SE-3425-05,175,7.875,BLENDEX 930,157,,,,6.0,,,4.0,,14.6,BLENDEX 930,157,,,,5.7,,,4,,
MAF9-SE-3425-05,176,7.875,BLENDEX 930,160,,,,6.0,,,4.0,,15.1,BLENDEX 930,160,,,,6,,,4,,
MAF9-SE-3425-05,177,7.875,BLENDEX 930,170,,,,6.0,,,4.0,,15.4,BLENDEX 930,170,,,,6,,,4,,
MAF9-SE-3425-05,178,7.875,BLENDEX 930,179,,,,6.0,,,4.0,,15.7,BLENDEX 930,179,,,,6,,,4,,
