MALLA,ID POZO,DIAMETRO PLG,CARGA FONDO DISENO ,KG FONDO DISENO ,AIRE FONDO DISENO ,CARGA COLUMNA  DISENO,KG COLUMNA DISENO,AIRE INTERMEDIO DISENO ,GRAVILLA INTERMEDIO DISENO ,AIRE SUPERIOR DISENO,TACO GRAVILLA DISENO ,SECUENCIA DETONACION DISENO,PROFUNDIDAD REAL,CARGA FONDO REAL ,KG FONDO REAL ,AIRE FONDO REAL ,CARGA COLUMNA REAL,KG COLUMNA REAL,AIRE INTERMEDIO REAL ,GRAVILLA INTERMEDIO REAL ,AIRE SUPERIOR REAL,TACO GRAVILLA REAL ,SECUENCIA DETONACION REAL,AGUA
MAF10-N-3260-15,507,12.25,VERTEX 30,685,,,,0.0,,,7.0,,,,,,,,,,,,,
MAF10-N-3260-15,511,12.25,VERTEX 30,685,,,,0.0,,,7.0,,,,,,,,,,,,,
MAF10-N-3260-15,512,12.25,VERTEX 30,685,,,,0.0,,,7.0,,,,,,,,,,,,,
MAF10-N-3260-15,513,12.25,VERTEX 30,685,,,,0.0,,,7.0,,,,,,,,,,,,,
MAF10-N-3260-15,517,12.25,VERTEX 30,685,,,,0.0,,,7.0,,,,,,,,,,,,,
MAF10-N-3260-15,606,12.25,VERTEX 50,954,,VERTEX 50,100.4278275,0.0,,,4.5,,,,,,,,,,,,,
MAF10-N-3260-15,607,12.25,VERTEX 50,954,,VERTEX 50,100.4278275,0.0,,,4.5,,,,,,,,,,,,,
MAF10-N-3260-15,608,12.25,VERTEX 50,954,,VERTEX 50,100.4278275,0.0,,,4.5,,,,,,,,,,,,,
MAF10-N-3260-15,609,12.25,VERTEX 50,954,,VERTEX 50,100.4278275,0.0,,,4.5,,,,,,,,,,,,,
MAF10-N-3260-15,610,12.25,VERTEX 50,954,,VERTEX 50,100.4278275,0.0,,,4.5,,,,,,,,,,,,,
MAF10-N-3260-15,611,12.25,VERTEX 50,954,,VERTEX 50,100.4278275,0.0,,,4.5,,16,VERTEX 50,955,,VERTEX 50,99,0,,,5,,
MAF10-N-3260-15,612,12.25,VERTEX 50,954,,VERTEX 50,100.4278275,0.0,,,4.5,,15.8,VERTEX 50,945,,VERTEX 50,100,0,,,5,,
MAF10-N-3260-15,613,12.25,VERTEX 50,954,,VERTEX 50,100.4278275,0.0,,,4.5,,16,VERTEX 50,955,,VERTEX 50,100,0,,,5,,
MAF10-N-3260-15,614,12.25,VERTEX 50,954,,VERTEX 50,100.4278275,0.0,,,4.5,,16,VERTEX 50,951,,VERTEX 50,99,0,,,5,,
MAF10-N-3260-15,615,12.25,VERTEX 50,954,,VERTEX 50,100.4278275,0.0,,,4.5,,16.2,VERTEX 50,955,,VERTEX 50,100,0,,,5.2,,
MAF10-N-3260-15,616,12.25,VERTEX 50,954,,VERTEX 50,100.4278275,0.0,,,4.5,,16,VERTEX 50,955,,VERTEX 50,100,0,,,5,,
MAF10-N-3260-15,617,12.25,VERTEX 50,954,,VERTEX 50,100.4278275,0.0,,,4.5,,16,VERTEX 50,954,,VERTEX 50,101,0,,,5,,
MAF10-N-3260-15,618,12.25,VERTEX 50,954,,VERTEX 50,100.4278275,0.0,,,4.5,,,,,,,,,,,,,
MAF10-N-3260-15,619,12.25,VERTEX 50,954,,VERTEX 50,100.4278275,0.0,,,4.5,,,,,,,,,,,,,
MAF10-N-3260-15,620,12.25,VERTEX 50,954,,VERTEX 50,100.4278275,0.0,,,4.5,,,,,,,,,,,,,
MAF10-N-3260-15,706,12.25,VERTEX 50,954,,VERTEX 50,100.4278275,0.0,,,4.5,,,,,,,,,,,,,
MAF10-N-3260-15,707,12.25,VERTEX 50,954,,VERTEX 50,100.4278275,0.0,,,4.5,,,,,,,,,,,,,
MAF10-N-3260-15,708,12.25,VERTEX 50,954,,VERTEX 50,100.4278275,0.0,,,4.5,,,,,,,,,,,,,
MAF10-N-3260-15,709,12.25,VERTEX 50,954,,VERTEX 50,100.4278275,0.0,,,4.5,,,,,,,,,,,,,
MAF10-N-3260-15,710,12.25,VERTEX 50,954,,VERTEX 50,100.4278275,0.0,,,4.5,,,,,,,,,,,,,
MAF10-N-3260-15,711,12.25,VERTEX 50,954,,VERTEX 50,100.4278275,0.0,,,4.5,,16,VERTEX 50,955,,VERTEX 50,100,0,,,5,,
MAF10-N-3260-15,712,12.25,VERTEX 50,954,,VERTEX 50,100.4278275,0.0,,,4.5,,16.2,VERTEX 50,955,,VERTEX 50,98,0,,,5.2,,
MAF10-N-3260-15,713,12.25,VERTEX 50,954,,VERTEX 50,100.4278275,0.0,,,4.5,,16.1,VERTEX 50,955,,VERTEX 50,100,0,,,5.1,,
MAF10-N-3260-15,714,12.25,VERTEX 50,954,,VERTEX 50,100.4278275,0.0,,,4.5,,16,VERTEX 50,952,,VERTEX 50,100,0,,,5,,
MAF10-N-3260-15,715,12.25,VERTEX 50,954,,VERTEX 50,100.4278275,0.0,,,4.5,,16.2,VERTEX 50,955,,VERTEX 50,98,0,,,5.2,,
MAF10-N-3260-15,716,12.25,VERTEX 50,954,,VERTEX 50,100.4278275,0.0,,,4.5,,16,VERTEX 50,952,,VERTEX 50,100,0,,,5,,
MAF10-N-3260-15,717,12.25,VERTEX 50,954,,VERTEX 50,100.4278275,0.0,,,4.5,,15.8,VERTEX 50,950,,VERTEX 50,101,0,,,5.3,,
MAF10-N-3260-15,718,12.25,VERTEX 50,954,,VERTEX 50,100.4278275,0.0,,,4.5,,,,,,,,,,,,,
MAF10-N-3260-15,719,12.25,VERTEX 50,954,,VERTEX 50,100.4278275,0.0,,,4.5,,,,,,,,,,,,,
MAF10-N-3260-15,720,12.25,VERTEX 50,954,,VERTEX 50,100.4278275,0.0,,,4.5,,,,,,,,,,,,,
MAF10-N-3260-15,806,12.25,VERTEX 50,954,,VERTEX 50,100.4278275,0.0,,,4.5,,,,,,,,,,,,,
MAF10-N-3260-15,807,12.25,VERTEX 50,954,,VERTEX 50,100.4278275,0.0,,,4.5,,,,,,,,,,,,,
MAF10-N-3260-15,808,12.25,VERTEX 50,954,,VERTEX 50,100.4278275,0.0,,,4.5,,,,,,,,,,,,,
MAF10-N-3260-15,809,12.25,VERTEX 50,954,,VERTEX 50,100.4278275,0.0,,,4.5,,,,,,,,,,,,,
MAF10-N-3260-15,810,12.25,VERTEX 50,954,,VERTEX 50,100.4278275,0.0,,,4.5,,,,,,,,,,,,,
MAF10-N-3260-15,811,12.25,VERTEX 50,954,,VERTEX 50,100.4278275,0.0,,,4.5,,16,VERTEX 50,955,,VERTEX 50,100,0,,,5,,
MAF10-N-3260-15,812,12.25,VERTEX 50,954,,VERTEX 50,100.4278275,0.0,,,4.5,,15.8,VERTEX 50,950,,VERTEX 50,100,0,,,5,,
