MALLA,ID POZO,DIAMETRO PLG,CARGA FONDO DISENO ,KG FONDO DISENO ,AIRE FONDO DISENO ,CARGA COLUMNA  DISENO,KG COLUMNA DISENO,AIRE INTERMEDIO DISENO ,GRAVILLA INTERMEDIO DISENO ,AIRE SUPERIOR DISENO,TACO GRAVILLA DISENO ,SECUENCIA DETONACION DISENO,PROFUNDIDAD REAL,CARGA FONDO REAL ,KG FONDO REAL ,AIRE FONDO REAL ,CARGA COLUMNA REAL,KG COLUMNA REAL,AIRE INTERMEDIO REAL ,GRAVILLA INTERMEDIO REAL ,AIRE SUPERIOR REAL,TACO GRAVILLA REAL ,SECUENCIA DETONACION REAL,AGUA
MAF10-N-3305-11,715,12.25,VERTEX 50,904,,,,2.0,,,6.0,,,,,,,,,,,,,
MAF10-N-3305-13,801,12.25,VERTEX 50,904,,,,2.0,,,6.0,,16,VERTEX 50,820,,,,2,,,6,,
MAF10-N-3305-13,802,12.25,VERTEX 50,904,,,,2.0,,,6.0,,17,VERTEX 50,904,,,,2,,,6,,
MAF10-N-3305-14,801,12.25,VERTEX 50,904,,,,2.0,,,6.0,,17,VERTEX 50,904,,,,2,,,6,,
MAF10-N-3305-14,802,12.25,VERTEX 50,904,,,,1.0,,,6.0,,16,VERTEX 50,904,,,,1,,,6,,
MAF10-N-3305-14,803,12.25,VERTEX 50,803,,,,2.0,,,6.0,,16,VERTEX 50,803,,,,2,,,6,,
MAF10-N-3305-14,804,12.25,VERTEX 50,803,,,,2.0,,,6.0,,16,VERTEX 50,803,,,,2,,,6,,
MAF10-N-3305-14,805,12.25,VERTEX 50,803,,,,2.0,,,6.0,,16,VERTEX 50,803,,,,2,,,6,,
MAF10-N-3305-14,806,12.25,VERTEX 50,803,,,,2.0,,,6.0,,16.2,VERTEX 50,824,,,,2,,,6,,
MAF10-N-3305-14,807,12.25,VERTEX 50,803,,,,2.0,,,6.0,,16.3,VERTEX 50,834,,,,2,,,6,,
MAF10-N-3305-14,808,12.25,VERTEX 50,803,,,,2.0,,,6.0,,16,VERTEX 50,803,,,,2,,,6,,
MAF10-N-3305-14,809,12.25,VERTEX 50,783,,,,2.0,,,6.0,,15.8,VERTEX 50,783,,,,2,,,6,,
MAF10-N-3305-14,810,12.25,VERTEX 50,813,,,,2.0,,,6.0,,16.1,VERTEX 50,814,,,,2,,,6,,
MAF10-N-3305-14,811,12.25,VERTEX 50,834,,,,2.0,,,6.0,,16.3,VERTEX 50,834,,,,2,,,6,,
MAF10-N-3305-14,812,12.25,VERTEX 50,844,,,,2.0,,,6.0,,16,VERTEX 50,803,,,,2,,,6,,
MAF10-N-3305-14,1011,12.25,VERTEX 50,824,,,,2.0,,,6.0,,16,VERTEX 50,830,,,,2,,,6,,
MAF10-N-3305-14,1110,12.25,VERTEX 50,824,,,,2.0,,,6.0,,16,VERTEX 50,830,,,,2,,,6,,
MAF10-N-3305-14,1209,12.25,VERTEX 50,803,,,,2.0,,,6.0,,16,VERTEX 50,830,,,,2,,,6,,
MAF10-N-3305-14,1210,12.25,VERTEX 50,783,,,,2.0,,,6.0,,16,VERTEX 50,790,,,,2,,,6,,
MAF10-N-3305-14,1308,12.25,VERTEX 50,803,,,,2.0,,,6.0,,,,,,,,,,,,,
MAF10-N-3305-14,1309,12.25,VERTEX 50,773,,,,2.0,,,6.0,,16,VERTEX 50,780,,,,2,,,6,,
MAF10-N-3305-14,1407,12.25,VERTEX 50,803,,,,2.0,,,6.0,,16,VERTEX 50,800,,,,2,,,6,,
MAF10-N-3305-14,1408,12.25,VERTEX 50,763,,,,2.0,,,6.0,,16,VERTEX 50,765,,,,2,,,6,,
MAF10-N-3305-14,1409,12.25,VERTEX 50,773,,,,2.0,,,6.0,,15.7,VERTEX 50,773,,,,2,,,6,,
MAF10-N-3305-15,1301,12.25,VERTEX 50,816,,,,2.0,,,6.0,,16,VERTEX 50,815,,,,2,,,6,,
MAF10-N-3305-15,1302,12.25,VERTEX 50,816,,,,2.0,,,6.0,,16,VERTEX 50,815,,,,2,,,6,,
MAF10-N-3305-15,1303,12.25,VERTEX 50,820,,,,2.0,,,6.0,,16.2,VERTEX 50,820,,,,2,,,6,,
MAF10-N-3305-15,1304,12.25,VERTEX 50,818,,,,2.0,,,6.0,,16.2,VERTEX 50,820,,,,2,,,6,,
MAF10-N-3305-15,1305,12.25,VERTEX 50,810,,,,2.0,,,6.0,,16,VERTEX 50,805,,,,2,,,6,,
MAF10-N-3305-15,1306,12.25,VERTEX 50,801,,,,2.0,,,6.0,,16,VERTEX 50,802,,,,2,,,6,,
MAF10-N-3305-15,1307,12.25,VERTEX 30,684,,,,1.0,,,6.0,,16,VERTEX 30,685,,,,1,,,6,,
