MALLA,ID POZO,DIAMETRO PLG,CARGA FONDO DISENO ,KG FONDO DISENO ,AIRE FONDO DISENO ,CARGA COLUMNA  DISENO,KG COLUMNA DISENO,AIRE INTERMEDIO DISENO ,GRAVILLA INTERMEDIO DISENO ,AIRE SUPERIOR DISENO,TACO GRAVILLA DISENO ,SECUENCIA DETONACION DISENO,PROFUNDIDAD REAL,CARGA FONDO REAL ,KG FONDO REAL ,AIRE FONDO REAL ,CARGA COLUMNA REAL,KG COLUMNA REAL,AIRE INTERMEDIO REAL ,GRAVILLA INTERMEDIO REAL ,AIRE SUPERIOR REAL,TACO GRAVILLA REAL ,SECUENCIA DETONACION REAL,AGUA
MAF10-N-3395-03,1139,10.625,VERTEX 50,646,,,,,,,7.0,,16,VERTEX 50,680,,,,,,,7,,
MAF10-N-3395-03,1140,10.625,VERTEX 50,632,,,,,,,7.0,,16,VERTEX 50,680,,,,,,,7,,
MAF10-N-3395-03,1141,10.625,VERTEX 50,680,,,,,,,7.0,,16,VERTEX 50,680,,,,,,,7,,
MAF10-N-3395-03,1142,10.625,VERTEX 50,660,,,,,,,7.0,,16,VERTEX 50,680,,,,,,,7,,
MAF10-N-3395-03,1143,10.625,VERTEX 50,634,,,,,,,7.0,,16,VERTEX 50,680,,,,,,,7,,
MAF10-N-3395-03,1144,10.625,VERTEX 50,660,,,,,,,7.0,,16,VERTEX 50,660,,,,,,,7.2,,
MAF10-N-3395-03,1145,10.625,VERTEX 50,675,,,,,,,7.0,,16,VERTEX 50,670,,,,,,,7.2,,
MAF10-N-3395-03,1146,10.625,VERTEX 50,685,,,,,,,7.0,,16,VERTEX 50,690,,,,,,,7.2,,
MAF10-N-3395-03,1147,10.625,VERTEX 50,650,,,,,,,7.0,,16,VERTEX 50,650,,,,,,,7,,
MAF10-N-3395-03,1148,10.625,VERTEX 50,680,,,,,,,7.0,,16,VERTEX 50,680,,,,,,,7,,
MAF10-N-3395-03,1149,10.625,VERTEX 50,656,,,,,,,7.0,,16,VERTEX 50,660,,,,,,,7,,
MAF10-N-3395-03,1150,10.625,VERTEX 50,646,,,,,,,7.0,,16,VERTEX 50,650,,,,,,,7,,
MAF10-N-3395-03,1151,10.625,VERTEX 50,672,,,,,,,7.0,,16,VERTEX 50,670,,,,,,,6.8,,
MAF10-N-3395-03,1039,10.625,VERTEX 50,609,,,,,,,7.0,,16,VERTEX 50,680,,,,,,,6.8,,
MAF10-N-3395-03,1040,10.625,VERTEX 50,626,,,,,,,7.0,,16,VERTEX 50,680,,,,,,,7.2,,
MAF10-N-3395-03,1041,10.625,VERTEX 50,666,,,,,,,7.0,,16,VERTEX 50,680,,,,,,,7.2,,
MAF10-N-3395-03,1042,10.625,VERTEX 50,628,,,,,,,7.0,,16,VERTEX 50,680,,,,,,,7.2,,
MAF10-N-3395-03,1043,10.625,VERTEX 50,616,,,,,,,7.0,,16,VERTEX 50,680,,,,,,,7,,
MAF10-N-3395-03,1044,10.625,VERTEX 50,632,,,,,,,7.0,,16,VERTEX 50,680,,,,,,,7,,
MAF10-N-3395-03,1045,10.625,VERTEX 50,649,,,,,,,7.0,,16.2,VERTEX 50,650,,,,,,,7,,
MAF10-N-3395-03,1046,10.625,VERTEX 50,628,,,,,,,7.0,,15.5,VERTEX 50,630,,,,,,,6.8,,
MAF10-N-3395-03,1047,10.625,VERTEX 50,623,,,,,,,7.0,,15.5,VERTEX 50,630,,,,,,,6.8,,
