MALLA,ID POZO,DIAMETRO PLG,CARGA FONDO DISENO ,KG FONDO DISENO ,AIRE FONDO DISENO ,CARGA COLUMNA  DISENO,KG COLUMNA DISENO,AIRE INTERMEDIO DISENO ,GRAVILLA INTERMEDIO DISENO ,AIRE SUPERIOR DISENO,TACO GRAVILLA DISENO ,SECUENCIA DETONACION DISENO,PROFUNDIDAD REAL,CARGA FONDO REAL ,KG FONDO REAL ,AIRE FONDO REAL ,CARGA COLUMNA REAL,KG COLUMNA REAL,AIRE INTERMEDIO REAL ,GRAVILLA INTERMEDIO REAL ,AIRE SUPERIOR REAL,TACO GRAVILLA REAL ,SECUENCIA DETONACION REAL,AGUA
MAF9-SE-3305-10,114,10.625,VERTEX 30,286,,,,6.5,,,4.5,,,,,,,,,,,,,
MAF9-SE-3305-10,115,10.625,VERTEX 30,286,,,,6.5,,,4.5,,,,,,,,,,,,,
MAF9-SE-3305-10,116,10.625,VERTEX 30,286,,,,6.5,,,4.5,,,,,,,,,,,,,
MAF9-SE-3305-10,117,10.625,VERTEX 30,286,,,,6.5,,,4.5,,,,,,,,,,,,,
MAF9-SE-3305-10,118,10.625,VERTEX 30,286,,,,6.5,,,4.5,,,,,,,,,,,,,
MAF9-SE-3305-10,119,10.625,VERTEX 30,286,,,,6.5,,,4.5,,,,,,,,,,,,,
MAF9-SE-3305-10,120,10.625,VERTEX 30,286,,,,6.5,,,4.5,,,,,,,,,,,,,
MAF9-SE-3305-10,211,10.625,VERTEX 30,429,,,,4.0,,,4.5,,,,,,,,,,,,,
MAF9-SE-3305-10,212,10.625,VERTEX 30,429,,,,4.0,,,4.5,,,,,,,,,,,,,
MAF9-SE-3305-10,213,10.625,VERTEX 30,429,,,,4.0,,,4.5,,,,,,,,,,,,,
MAF9-SE-3305-10,214,10.625,VERTEX 30,429,,,,4.0,,,4.5,,,,,,,,,,,,,
MAF9-SE-3305-10,215,10.625,VERTEX 30,429,,,,4.0,,,4.5,,,,,,,,,,,,,
MAF9-SE-3305-10,308,12.25,VERTEX 50,904,,,,1.0,,,6.0,,,,,,,,,,,,,
MAF9-SE-3305-10,309,12.25,VERTEX 50,904,,,,1.0,,,6.0,,,,,,,,,,,,,
MAF9-SE-3305-10,310,12.25,VERTEX 50,904,,,,1.0,,,6.0,,,,,,,,,,,,,
MAF9-SE-3305-10,311,12.25,VERTEX 50,904,,,,1.0,,,6.0,,,,,,,,,,,,,
MAF9-SE-3305-10,312,12.25,VERTEX 50,1004,,,,1.0,,,6.0,,,,,,,,,,,,,
MAF9-SE-3305-10,313,12.25,VERTEX 50,1004,,,,1.0,,,6.0,,,,,,,,,,,,,
