MALLA,ID POZO,DIAMETRO PLG,CARGA FONDO DISENO ,KG FONDO DISENO ,AIRE FONDO DISENO ,CARGA COLUMNA  DISENO,KG COLUMNA DISENO,AIRE INTERMEDIO DISENO ,GRAVILLA INTERMEDIO DISENO ,AIRE SUPERIOR DISENO,TACO GRAVILLA DISENO ,SECUENCIA DETONACION DISENO,PROFUNDIDAD REAL,CARGA FONDO REAL ,KG FONDO REAL ,AIRE FONDO REAL ,CARGA COLUMNA REAL,KG COLUMNA REAL,AIRE INTERMEDIO REAL ,GRAVILLA INTERMEDIO REAL ,AIRE SUPERIOR REAL,TACO GRAVILLA REAL ,SECUENCIA DETONACION REAL,AGUA
MAF11-W-3665-04,101,10.625,BLENDEX 930,200,,,,9.3,,,4.0,,16.8,BLENDEX 930,200,,,,9.3,,,4,,
MAF11-W-3665-04,102,10.625,BLENDEX 930,200,,,,10.3,,,4.0,,16.8,BLENDEX 930,200,,,,10.3,,,3,,
MAF11-W-3665-04,103,10.625,BLENDEX 930,200,,,,11.1,,,4.0,,18.6,BLENDEX 930,200,,,,11.1,,,4,,
MAF11-W-3665-04,104,10.625,BLENDEX 930,200,,,,12.0,,,4.0,,19.5,BLENDEX 930,200,,,,12,,,4,,
MAF11-W-3665-04,105,10.625,BLENDEX 930,200,,,,12.6,,,4.0,,20.1,BLENDEX 930,200,,,,12.6,,,4,,
MAF11-W-3665-04,106,10.625,BLENDEX 930,200,,,,13.1,,,4.0,,20,BLENDEX 930,200,,,,13.1,,,3.5,,
MAF11-W-3665-04,107,10.625,BLENDEX 930,192,,,,0.0,,,5.0,,8.4,BLENDEX 930,192,,,,0,,,5.04,,
MAF11-W-3665-04,108,10.625,BLENDEX 930,200,,,,10.4,,,4.0,,17.9,BLENDEX 930,200,,,,10.4,,,4,,
MAF11-W-3665-04,109,10.625,BLENDEX 930,200,,,,10.3,,,4.0,,15.5,BLENDEX 930,200,,,,10.3,,,1.8,,
MAF11-W-3665-04,110,10.625,BLENDEX 930,200,,,,10.4,,,4.0,,17.9,BLENDEX 930,200,,,,10.4,,,4,,
MAF11-W-3665-04,111,10.625,BLENDEX 930,200,,,,10.4,,,4.0,,17.9,BLENDEX 930,200,,,,10.4,,,4,,
MAF11-W-3665-04,112,10.625,BLENDEX 930,200,,,,10.4,,,4.0,,17.9,BLENDEX 930,200,,,,10.4,,,4,,
MAF11-W-3665-04,113,10.625,BLENDEX 930,200,,,,10.4,,,4.0,,17.9,BLENDEX 930,200,,,,10.4,,,4,,
MAF11-W-3665-04,114,10.625,BLENDEX 930,200,,,,10.3,,,4.0,,17.5,BLENDEX 930,200,,,,10.3,,,3.8,,
