MALLA,ID POZO,DIAMETRO PLG,CARGA FONDO DISENO ,KG FONDO DISENO ,AIRE FONDO DISENO ,CARGA COLUMNA  DISENO,KG COLUMNA DISENO,AIRE INTERMEDIO DISENO ,GRAVILLA INTERMEDIO DISENO ,AIRE SUPERIOR DISENO,TACO GRAVILLA DISENO ,SECUENCIA DETONACION DISENO,PROFUNDIDAD REAL,CARGA FONDO REAL ,KG FONDO REAL ,AIRE FONDO REAL ,CARGA COLUMNA REAL,KG COLUMNA REAL,AIRE INTERMEDIO REAL ,GRAVILLA INTERMEDIO REAL ,AIRE SUPERIOR REAL,TACO GRAVILLA REAL ,SECUENCIA DETONACION REAL,AGUA
MAF11-W-3605-08,907,12.25,VERTEX 50,1004,,,,0.0,,,6.0,,,,,,,,,,,,,
MAF11-W-3605-12,116,10.625,VERTEX 30,200,,,,8.5,,,4.0,,16,VERTEX 30,200,,,,8.5,,,4,,
MAF11-W-3605-12,117,10.625,VERTEX 30,200,,,,8.5,,,4.0,,15.5,VERTEX 30,200,,,,8.5,,,3.5,,
MAF11-W-3605-12,118,10.625,VERTEX 30,200,,,,8.5,,,4.0,,15.5,VERTEX 30,200,,,,8.5,,,3.5,,
MAF11-W-3605-12,119,10.625,VERTEX 30,200,,,,8.5,,,4.0,,15.5,VERTEX 30,200,,,,8.5,,,3.5,,
MAF11-W-3605-12,120,10.625,VERTEX 30,200,,,,8.5,,,4.0,,15.5,VERTEX 30,200,,,,8.5,,,3.5,,
MAF11-W-3605-12,121,10.625,VERTEX 30,200,,,,8.5,,,4.0,,16,VERTEX 30,200,,,,8.5,,,4,,
MAF11-W-3605-12,122,10.625,VERTEX 30,200,,,,8.5,,,4.0,,16,VERTEX 30,200,,,,8.5,,,4,,
MAF11-W-3605-12,123,10.625,VERTEX 30,200,,,,8.5,,,4.0,,15.5,VERTEX 30,200,,,,8.5,,,3.5,,
MAF11-W-3605-12,124,10.625,VERTEX 30,200,,,,8.5,,,4.0,,15.5,VERTEX 30,200,,,,8.5,,,3.5,,
MAF11-W-3605-12,125,10.625,VERTEX 30,200,,,,8.5,,,4.0,,15.5,VERTEX 30,200,,,,8.5,,,3.5,,
MAF11-W-3605-12,126,10.625,VERTEX 30,200,,,,8.5,,,4.0,,16,VERTEX 30,200,,,,8.5,,,4,,
MAF11-W-3605-12,127,10.625,VERTEX 30,200,,,,8.5,,,4.0,,15.5,VERTEX 30,200,,,,8.5,,,3.5,,
MAF11-W-3605-12,128,10.625,VERTEX 30,200,,,,8.5,,,4.0,,16,VERTEX 30,200,,,,8.5,,,4,,
MAF11-W-3605-12,129,10.625,VERTEX 30,200,,,,8.5,,,4.0,,16,VERTEX 30,200,,,,8.5,,,4,,
MAF11-W-3605-12,130,10.625,VERTEX 30,200,,,,8.5,,,4.0,,16,VERTEX 30,200,,,,8.5,,,4,,
MAF11-W-3605-12,131,10.625,VERTEX 30,200,,,,8.5,,,4.0,,16,VERTEX 30,200,,,,8.5,,,4,,
MAF11-W-3605-12,132,10.625,VERTEX 30,200,,,,8.5,,,4.0,,15.5,VERTEX 30,200,,,,8.5,,,3.5,,
MAF11-W-3605-12,133,10.625,VERTEX 30,200,,,,8.5,,,4.0,,15.5,VERTEX 30,200,,,,8.5,,,3.5,,
MAF11-W-3605-12,134,10.625,VERTEX 30,200,,,,8.5,,,4.0,,16,VERTEX 30,200,,,,8.5,,,4,,
MAF11-W-3605-12,135,10.625,VERTEX 30,200,,,,8.5,,,4.0,,16,VERTEX 30,200,,,,8.5,,,4,,
MAF11-W-3605-12,136,10.625,VERTEX 30,200,,,,8.5,,,4.0,,,,,,,,,,,,,
MAF11-W-3605-12,137,10.625,VERTEX 30,200,,,,8.5,,,4.0,,,,,,,,,,,,,
MAF11-W-3605-12,138,10.625,VERTEX 30,200,,,,8.5,,,4.0,,,,,,,,,,,,,
MAF11-W-3605-12,212,10.625,VERTEX 30,372,,,,4.5,,,4.0,,15,VERTEX 30,380,,,,4.5,,,4,,
MAF11-W-3605-12,213,10.625,VERTEX 30,372,,,,4.5,,,4.0,,15,VERTEX 30,380,,,,4.5,,,4,,
MAF11-W-3605-12,214,10.625,VERTEX 30,372,,,,4.5,,,4.0,,15,VERTEX 30,380,,,,4.5,,,4,,
MAF11-W-3605-12,215,10.625,VERTEX 30,372,,,,4.5,,,4.0,,15,VERTEX 30,380,,,,4.5,,,4,,
MAF11-W-3605-12,216,10.625,VERTEX 30,372,,,,4.5,,,4.0,,15,VERTEX 30,375,,,,4.5,,,4,,
MAF11-W-3605-12,217,10.625,VERTEX 30,372,,,,4.5,,,4.0,,14.5,VERTEX 30,375,,,,4.5,,,3.5,,
MAF11-W-3605-12,218,10.625,VERTEX 30,372,,,,4.5,,,4.0,,15,VERTEX 30,375,,,,4.5,,,4,,
MAF11-W-3605-12,219,10.625,VERTEX 30,372,,,,4.5,,,4.0,,15,VERTEX 30,380,,,,4.5,,,4,,
MAF11-W-3605-12,220,10.625,VERTEX 30,372,,,,4.5,,,4.0,,15,VERTEX 30,380,,,,4.5,,,4,,
MAF11-W-3605-12,221,10.625,VERTEX 30,372,,,,4.5,,,4.0,,15,VERTEX 30,380,,,,4.5,,,4,,
MAF11-W-3605-12,222,10.625,VERTEX 30,372,,,,4.5,,,4.0,,15,VERTEX 30,380,,,,4.5,,,4,,
MAF11-W-3605-12,223,10.625,VERTEX 30,372,,,,4.5,,,4.0,,15,VERTEX 30,375,,,,4.5,,,4,,
MAF11-W-3605-12,224,10.625,VERTEX 30,372,,,,4.5,,,4.0,,15,VERTEX 30,380,,,,4.5,,,4,,
MAF11-W-3605-12,225,10.625,VERTEX 30,372,,,,4.5,,,4.0,,15,VERTEX 30,380,,,,4.5,,,4,,
MAF11-W-3605-12,226,10.625,VERTEX 30,372,,,,4.5,,,4.0,,15,VERTEX 30,380,,,,4.5,,,4,,
MAF11-W-3605-12,227,10.625,VERTEX 30,372,,,,4.5,,,4.0,,,,,,,,,,,,,
MAF11-W-3605-12,228,10.625,VERTEX 30,372,,,,4.5,,,4.0,,,,,,,,,,,,,
MAF11-W-3605-12,309,10.625,VERTEX 30,458,,,,2.0,,,5.0,,15.1,VERTEX 30,458,,,,2,,,5,,
MAF11-W-3605-12,310,10.625,VERTEX 30,458,,,,2.0,,,5.0,,15,VERTEX 30,458,,,,2,,,5,,
MAF11-W-3605-12,311,10.625,VERTEX 30,458,,,,2.0,,,5.0,,15,VERTEX 30,458,,,,2,,,5,,
MAF11-W-3605-12,312,10.625,VERTEX 30,458,,,,2.0,,,5.0,,15.1,VERTEX 30,458,,,,2,,,5,,
MAF11-W-3605-12,313,10.625,VERTEX 30,458,,,,2.0,,,5.0,,15.2,VERTEX 30,458,,,,2,,,5,,
MAF11-W-3605-12,314,10.625,VERTEX 30,458,,,,2.0,,,5.0,,15.1,VERTEX 30,458,,,,2,,,5,,
MAF11-W-3605-12,315,10.625,VERTEX 30,458,,,,2.0,,,5.0,,15,VERTEX 30,458,,,,2,,,5,,
MAF11-W-3605-12,316,10.625,VERTEX 30,458,,,,2.0,,,5.0,,15,VERTEX 30,458,,,,2,,,5,,
MAF11-W-3605-12,317,10.625,VERTEX 30,458,,,,2.0,,,5.0,,15,VERTEX 30,458,,,,2,,,5,,
MAF11-W-3605-12,318,10.625,VERTEX 30,458,,,,2.0,,,5.0,,15,VERTEX 30,460,,,,2,,,5,,
MAF11-W-3605-12,319,10.625,VERTEX 30,458,,,,2.0,,,5.0,,15,VERTEX 30,460,,,,2,,,5,,
MAF11-W-3605-12,320,10.625,VERTEX 30,458,,,,2.0,,,5.0,,15,VERTEX 30,460,,,,2,,,5,,
MAF11-W-3605-12,321,10.625,VERTEX 30,458,,,,2.0,,,5.0,,,,,,,,,,,,,
MAF11-W-3605-12,322,10.625,VERTEX 30,458,,,,2.0,,,5.0,,,,,,,,,,,,,
MAF11-W-3605-12,407,12.25,VERTEX 50,1004,,,,0.0,,,6.0,,16.5,VERTEX 50,1054,,,,0,,,6.2,,
MAF11-W-3605-12,408,12.25,VERTEX 50,1004,,,,0.0,,,6.0,,17,VERTEX 50,1104,,,,0,,,6.2,,
MAF11-W-3605-12,409,12.25,VERTEX 50,1004,,,,0.0,,,6.0,,17,VERTEX 50,1104,,,,0,,,6.1,,
MAF11-W-3605-12,410,12.25,VERTEX 50,1004,,,,0.0,,,6.0,,17,VERTEX 50,1104,,,,0,,,6.1,,
MAF11-W-3605-12,411,12.25,VERTEX 50,1004,,,,0.0,,,6.0,,17,VERTEX 50,1004,,,,0,,,6.5,,
MAF11-W-3605-12,412,12.25,VERTEX 50,1004,,,,0.0,,,6.0,,17,VERTEX 50,1104,,,,0,,,6.3,,
MAF11-W-3605-12,413,12.25,VERTEX 50,1004,,,,0.0,,,6.0,,17,VERTEX 50,1104,,,,0,,,6.3,,
MAF11-W-3605-12,414,12.25,VERTEX 50,1004,,,,0.0,,,6.0,,17,VERTEX 50,1104,,,,0,,,6.1,,
MAF11-W-3605-12,415,12.25,VERTEX 50,1004,,,,0.0,,,6.0,,17.5,VERTEX 50,1154,,,,0,,,6.3,,
MAF11-W-3605-12,416,12.25,VERTEX 50,1004,,,,0.0,,,6.0,,,,,,,,,,,,,
MAF11-W-3605-12,507,12.25,VERTEX 50,1004,,,,0.0,,,6.0,,17,VERTEX 50,1104,,,,0,,,6.2,,
MAF11-W-3605-12,508,12.25,VERTEX 50,1004,,,,0.0,,,6.0,,17,VERTEX 50,1104,,,,0,,,6.2,,
MAF11-W-3605-12,509,12.25,VERTEX 50,1004,,,,0.0,,,6.0,,16.5,VERTEX 50,1054,,,,0,,,6.2,,
MAF11-W-3605-12,510,12.25,VERTEX 50,1004,,,,0.0,,,6.0,,17,VERTEX 50,1104,,,,0,,,6.2,,
MAF11-W-3605-12,511,12.25,VERTEX 50,1004,,,,0.0,,,6.0,,15.5,VERTEX 50,953,,,,0,,,6.1,,
MAF11-W-3605-12,512,12.25,VERTEX 50,1004,,,,0.0,,,6.0,,17,VERTEX 50,1104,,,,0,,,6.3,,
MAF11-W-3605-12,513,12.25,VERTEX 50,1004,,,,0.0,,,6.0,,17,VERTEX 50,1104,,,,0,,,6.1,,
MAF11-W-3605-12,514,12.25,VERTEX 50,1004,,,,0.0,,,6.0,,17,VERTEX 50,1104,,,,0,,,6.2,,
MAF11-W-3605-12,515,12.25,VERTEX 50,1004,,,,0.0,,,6.0,,,,,,,,,,,,,
MAF11-W-3605-12,608,12.25,VERTEX 50,1004,,,,0.0,,,6.0,,16,VERTEX 50,1004,,,,0,,,6,,
MAF11-W-3605-12,609,12.25,VERTEX 50,1004,,,,0.0,,,6.0,,16,VERTEX 50,1004,,,,0,,,6,,
MAF11-W-3605-12,610,12.25,VERTEX 50,1004,,,,0.0,,,6.0,,16,VERTEX 50,1004,,,,0,,,6,,
MAF11-W-3605-12,611,12.25,VERTEX 50,1004,,,,0.0,,,6.0,,16,VERTEX 50,1004,,,,0,,,6,,
MAF11-W-3605-12,612,12.25,VERTEX 50,1004,,,,0.0,,,6.0,,16,VERTEX 50,1004,,,,0,,,6,,
MAF11-W-3605-12,613,12.25,VERTEX 50,1004,,,,0.0,,,6.0,,16,VERTEX 50,1004,,,,0,,,6,,
MAF11-W-3605-12,614,12.25,VERTEX 50,1004,,,,0.0,,,6.0,,16,VERTEX 50,1004,,,,0,,,6,,
MAF11-W-3605-12,615,12.25,VERTEX 50,1004,,,,0.0,,,6.0,,16,VERTEX 50,1004,,,,0,,,6,,
MAF11-W-3605-12,616,12.25,VERTEX 50,1004,,,,0.0,,,6.0,,16,VERTEX 50,1004,,,,0,,,6,,
MAF11-W-3605-12,617,12.25,VERTEX 50,1004,,,,0.0,,,6.0,,,,,,,,,,,,,
MAF11-W-3605-12,709,12.25,VERTEX 50,1054,,,,0.0,,,5.5,,16,VERTEX 50,1054,,,,0,,,5.5,,
MAF11-W-3605-12,710,12.25,VERTEX 50,1054,,,,0.0,,,5.5,,16,VERTEX 50,1054,,,,0,,,5.5,,
MAF11-W-3605-12,711,12.25,VERTEX 50,1054,,,,0.0,,,5.5,,16,VERTEX 50,1054,,,,0,,,5.5,,
MAF11-W-3605-12,712,12.25,VERTEX 50,1054,,,,0.0,,,5.5,,16,VERTEX 50,1054,,,,0,,,5.5,,
MAF11-W-3605-12,713,12.25,VERTEX 50,1054,,,,0.0,,,5.5,,16,VERTEX 50,1054,,,,0,,,5.5,,
MAF11-W-3605-12,714,12.25,VERTEX 50,1054,,,,0.0,,,5.5,,16,VERTEX 50,1054,,,,0,,,5.5,,
MAF11-W-3605-12,715,12.25,VERTEX 50,1054,,,,0.0,,,5.5,,16,VERTEX 50,1054,,,,0,,,5.5,,
MAF11-W-3605-12,716,12.25,VERTEX 50,1054,,,,0.0,,,5.5,,16,VERTEX 50,1054,,,,0,,,5.5,,
MAF11-W-3605-12,717,12.25,VERTEX 50,1054,,,,0.0,,,5.5,,,,,,,,,,,,,
MAF11-W-3605-12,808,12.25,VERTEX 50,1054,,,,0.0,,,5.5,,16,VERTEX 50,1054,,,,0,,,5.5,,
MAF11-W-3605-12,809,12.25,VERTEX 50,1054,,,,0.0,,,5.5,,16,VERTEX 50,1054,,,,0,,,5.5,,
MAF11-W-3605-12,810,12.25,VERTEX 50,1054,,,,0.0,,,5.5,,16,VERTEX 50,1054,,,,0,,,5.5,,
MAF11-W-3605-12,811,12.25,VERTEX 50,1054,,,,0.0,,,5.5,,16,VERTEX 50,1054,,,,0,,,5.5,,
MAF11-W-3605-12,812,12.25,VERTEX 50,1054,,,,0.0,,,5.5,,16,VERTEX 50,1054,,,,0,,,5.5,,
MAF11-W-3605-12,813,12.25,VERTEX 50,1054,,,,0.0,,,5.5,,16,VERTEX 50,1054,,,,0,,,5.5,,
