MALLA,ID POZO,DIAMETRO PLG,CARGA FONDO DISENO ,KG FONDO DISENO ,AIRE FONDO DISENO ,CARGA COLUMNA  DISENO,KG COLUMNA DISENO,AIRE INTERMEDIO DISENO ,GRAVILLA INTERMEDIO DISENO ,AIRE SUPERIOR DISENO,TACO GRAVILLA DISENO ,SECUENCIA DETONACION DISENO,PROFUNDIDAD REAL,CARGA FONDO REAL ,KG FONDO REAL ,AIRE FONDO REAL ,CARGA COLUMNA REAL,KG COLUMNA REAL,AIRE INTERMEDIO REAL ,GRAVILLA INTERMEDIO REAL ,AIRE SUPERIOR REAL,TACO GRAVILLA REAL ,SECUENCIA DETONACION REAL,AGUA
MAF9-SE-3470-03,137,10.625,BLENDEX 930,286,,,,7.8,,,4.0,,16.8,BLENDEX 930,286,,,,7.8,,,4,,
MAF9-SE-3470-03,138,10.625,BLENDEX 930,286,,,,7.8,,,4.0,,16.8,BLENDEX 930,286,,,,7.8,,,4,,
MAF9-SE-3470-03,139,10.625,BLENDEX 930,286,,,,7.9,,,4.0,,16.9,BLENDEX 930,286,,,,7.9,,,4,,
MAF9-SE-3470-03,140,10.625,BLENDEX 930,286,,,,7.8,,,4.0,,16.7,BLENDEX 930,286,,,,7.8,,,4,,
MAF9-SE-3470-03,141,10.625,BLENDEX 930,286,,,,7.9,,,4.0,,16.9,BLENDEX 930,286,,,,7.9,,,4,,
MAF9-SE-3470-03,142,10.625,BLENDEX 930,286,,,,7.9,,,4.0,,16.8,BLENDEX 930,286,,,,7.9,,,4,,
MAF9-SE-3470-03,143,10.625,BLENDEX 930,286,,,,7.8,,,4.0,,16.7,BLENDEX 930,286,,,,7.8,,,4,,
MAF9-SE-3470-03,144,10.625,BLENDEX 930,286,,,,7.7,,,4.0,,16.5,BLENDEX 930,286,,,,7.7,,,4,,
MAF9-SE-3470-03,145,10.625,BLENDEX 930,286,,,,7.5,,,4.0,,16.5,BLENDEX 930,286,,,,7.5,,,4,,
MAF9-SE-3470-03,146,10.625,BLENDEX 930,286,,,,7.4,,,4.0,,16.2,BLENDEX 930,286,,,,7.4,,,4,,
MAF9-SE-3470-03,147,10.625,BLENDEX 930,286,,,,7.5,,,4.0,,16.4,BLENDEX 930,286,,,,7.5,,,4,,
MAF9-SE-3470-03,148,10.625,BLENDEX 930,286,,,,7.2,,,4.0,,16,BLENDEX 930,286,,,,7.2,,,4,,
MAF9-SE-3470-03,149,10.625,BLENDEX 930,286,,,,7.0,,,4.0,,16,BLENDEX 930,286,,,,7,,,4,,
MAF9-SE-3470-03,150,10.625,BLENDEX 930,286,,,,7.0,,,4.0,,16,BLENDEX 930,286,,,,7,,,4,,
MAF9-SE-3470-03,151,10.625,BLENDEX 930,286,,,,7.1,,,4.0,,16.1,BLENDEX 930,286,,,,7.1,,,4,,
MAF9-SE-3470-03,152,10.625,BLENDEX 930,286,,,,7.2,,,4.0,,16,BLENDEX 930,286,,,,7.2,,,4,,
MAF9-SE-3470-03,153,10.625,BLENDEX 930,286,,,,7.0,,,4.0,,15.9,BLENDEX 930,286,,,,7,,,4,,
MAF9-SE-3470-03,154,10.625,BLENDEX 930,286,,,,6.9,,,4.0,,15.8,BLENDEX 930,286,,,,6.9,,,4,,
MAF9-SE-3470-03,155,10.625,BLENDEX 930,286,,,,6.8,,,4.0,,15.9,BLENDEX 930,286,,,,6.8,,,4,,
MAF9-SE-3470-03,156,10.625,BLENDEX 930,286,,,,6.8,,,4.0,,15.7,BLENDEX 930,286,,,,6.8,,,4,,
MAF9-SE-3470-03,157,10.625,BLENDEX 930,286,,,,6.6,,,4.0,,15.7,BLENDEX 930,286,,,,6.6,,,4,,
MAF9-SE-3470-03,158,10.625,BLENDEX 930,286,,,,6.4,,,4.0,,15.4,BLENDEX 930,286,,,,6.4,,,4,,
MAF9-SE-3470-03,228,10.625,BLENDEX 930,401,,,,4.9,,,4.0,,16,BLENDEX 930,401,,,,4.9,,,4,,
MAF9-SE-3470-03,229,10.625,BLENDEX 930,401,,,,4.9,,,4.0,,15.9,BLENDEX 930,401,,,,4.9,,,4,,
MAF9-SE-3470-03,230,10.625,BLENDEX 930,401,,,,5.2,,,4.0,,16.2,BLENDEX 930,401,,,,5.2,,,4,,
MAF9-SE-3470-03,231,10.625,BLENDEX 930,401,,,,5.0,,,4.0,,16.3,BLENDEX 930,401,,,,5,,,4,,
MAF9-SE-3470-03,232,10.625,BLENDEX 930,401,,,,5.1,,,4.0,,16.1,BLENDEX 930,401,,,,5.1,,,4,,
MAF9-SE-3470-03,233,10.625,BLENDEX 930,401,,,,4.8,,,4.0,,15.7,BLENDEX 930,401,,,,4.8,,,4,,
MAF9-SE-3470-03,234,10.625,BLENDEX 930,401,,,,4.6,,,4.0,,15.5,BLENDEX 930,401,,,,4.6,,,4,,
MAF9-SE-3470-03,235,10.625,BLENDEX 930,401,,,,4.4,,,4.0,,15.3,BLENDEX 930,401,,,,4.4,,,4,,
MAF9-SE-3470-03,236,10.625,BLENDEX 930,401,,,,4.4,,,4.0,,15.3,BLENDEX 930,401,,,,4.4,,,4,,
MAF9-SE-3470-03,237,10.625,BLENDEX 930,401,,,,4.0,,,4.0,,15.1,BLENDEX 930,401,,,,4,,,4,,
MAF9-SE-3470-03,238,10.625,BLENDEX 930,401,,,,4.0,,,4.0,,15,BLENDEX 930,401,,,,4,,,4,,
MAF9-SE-3470-03,239,10.625,BLENDEX 930,401,,,,4.1,,,4.0,,15,BLENDEX 930,401,,,,4.1,,,4,,
MAF9-SE-3470-03,240,10.625,BLENDEX 930,401,,,,4.0,,,4.0,,15,BLENDEX 930,401,,,,4,,,4,,
MAF9-SE-3470-03,241,10.625,BLENDEX 930,401,,,,3.8,,,4.0,,14.8,BLENDEX 930,401,,,,3.8,,,4,,
MAF9-SE-3470-03,242,10.625,BLENDEX 930,401,,,,3.7,,,4.0,,14.8,BLENDEX 930,401,,,,3.7,,,4,,
