MALLA,ID POZO,DIAMETRO PLG,CARGA FONDO DISENO ,KG FONDO DISENO ,AIRE FONDO DISENO ,CARGA COLUMNA  DISENO,KG COLUMNA DISENO,AIRE INTERMEDIO DISENO ,GRAVILLA INTERMEDIO DISENO ,AIRE SUPERIOR DISENO,TACO GRAVILLA DISENO ,SECUENCIA DETONACION DISENO,PROFUNDIDAD REAL,CARGA FONDO REAL ,KG FONDO REAL ,AIRE FONDO REAL ,CARGA COLUMNA REAL,KG COLUMNA REAL,AIRE INTERMEDIO REAL ,GRAVILLA INTERMEDIO REAL ,AIRE SUPERIOR REAL,TACO GRAVILLA REAL ,SECUENCIA DETONACION REAL,AGUA
MAF9-SE-3380-01,112,10.625,BLENDEX 930,286,,,,5.0,,,4.0,,13,BLENDEX 930,290,,,,4,,,4,,
MAF9-SE-3380-01,113,10.625,BLENDEX 930,286,,,,5.0,,,4.0,,14,BLENDEX 930,290,,,,5,,,4,,
MAF9-SE-3380-01,114,10.625,BLENDEX 930,286,,,,5.0,,,4.0,,14,BLENDEX 930,290,,,,5,,,4,,
MAF9-SE-3380-01,115,10.625,BLENDEX 930,286,,,,4.5,,,4.0,,13,BLENDEX 930,290,,,,4,,,4,,
MAF9-SE-3380-01,116,10.625,BLENDEX 930,286,,,,5.0,,,4.0,,13,BLENDEX 930,290,,,,4,,,4,,
MAF9-SE-3380-01,117,10.625,BLENDEX 930,286,,,,5.0,,,4.0,,14,BLENDEX 930,290,,,,5,,,4,,
MAF9-SE-3380-01,118,10.625,BLENDEX 930,286,,,,5.0,,,4.0,,14,BLENDEX 930,290,,,,5,,,4,,
MAF9-SE-3380-01,119,10.625,BLENDEX 930,286,,,,7.0,,,4.0,,16,BLENDEX 930,290,,,,7,,,4,,
MAF9-SE-3380-01,120,10.625,BLENDEX 930,286,,,,7.0,,,4.0,,15.5,BLENDEX 930,290,,,,6.5,,,4,,
MAF9-SE-3380-01,121,10.625,BLENDEX 930,286,,,,7.0,,,4.0,,15.5,BLENDEX 930,290,,,,6.5,,,4,,
MAF9-SE-3380-01,122,10.625,BLENDEX 930,286,,,,7.0,,,4.0,,15.5,BLENDEX 930,290,,,,6.5,,,4,,
MAF9-SE-3380-01,123,10.625,BLENDEX 930,286,,,,7.0,,,4.0,,15.5,BLENDEX 930,290,,,,6.5,,,4,,
MAF9-SE-3380-01,124,10.625,BLENDEX 930,286,,,,7.0,,,4.0,,16,BLENDEX 930,290,,,,7,,,4,,
MAF9-SE-3380-01,125,10.625,BLENDEX 930,286,,,,7.0,,,4.0,,15.5,BLENDEX 930,290,,,,6.5,,,4,,
MAF9-SE-3380-01,126,10.625,BLENDEX 930,286,,,,7.0,,,4.0,,15.5,BLENDEX 930,290,,,,6.5,,,4,,
MAF9-SE-3380-01,127,10.625,BLENDEX 930,286,,,,7.0,,,4.0,,15.5,BLENDEX 930,290,,,,6.5,,,4,,
MAF9-SE-3380-01,128,10.625,BLENDEX 930,286,,,,7.0,,,4.0,,,,,,,,,,,,,
MAF9-SE-3380-01,129,10.625,BLENDEX 930,286,,,,7.0,,,4.0,,,,,,,,,,,,,
MAF9-SE-3380-01,130,10.625,BLENDEX 930,286,,,,7.0,,,4.0,,,,,,,,,,,,,
MAF9-SE-3380-01,131,10.625,BLENDEX 930,286,,,,7.0,,,4.0,,,,,,,,,,,,,
MAF9-SE-3380-01,210,10.625,BLENDEX 930,401,,,,4.0,,,4.0,,15,BLENDEX 930,401,,,,4,,,4,,
MAF9-SE-3380-01,211,10.625,BLENDEX 930,401,,,,4.0,,,4.0,,15,BLENDEX 930,401,,,,4,,,4,,
MAF9-SE-3380-01,212,10.625,BLENDEX 930,401,,,,4.0,,,4.0,,14.5,BLENDEX 930,401,,,,3.5,,,4,,
MAF9-SE-3380-01,213,10.625,BLENDEX 930,401,,,,4.0,,,4.0,,14,BLENDEX 930,401,,,,3,,,4,,
MAF9-SE-3380-01,214,10.625,BLENDEX 930,401,,,,4.0,,,4.0,,14,BLENDEX 930,401,,,,3,,,4,,
MAF9-SE-3380-01,215,10.625,BLENDEX 930,401,,,,3.0,,,4.0,,13,BLENDEX 930,401,,,,2,,,4,,
MAF9-SE-3380-01,216,10.625,BLENDEX 930,401,,,,3.0,,,4.0,,12,BLENDEX 930,280,,,,3,,,4,,
MAF9-SE-3380-01,217,10.625,BLENDEX 930,401,,,,3.0,,,4.0,,13,BLENDEX 930,401,,,,2,,,4,,
MAF9-SE-3380-01,218,10.625,BLENDEX 930,401,,,,3.0,,,4.0,,13.5,BLENDEX 930,401,,,,2.5,,,4,,
MAF9-SE-3380-01,219,10.625,BLENDEX 930,401,,,,3.0,,,4.0,,13,BLENDEX 930,401,,,,2,,,4,,
MAF9-SE-3380-01,220,10.625,BLENDEX 930,401,,,,3.0,,,4.0,,12.5,BLENDEX 930,290,,,,3.2,,,4,,
MAF9-SE-3380-01,221,10.625,BLENDEX 930,401,,,,4.0,,,4.0,,,,,,,,,,,,,
MAF9-SE-3380-01,222,10.625,BLENDEX 930,401,,,,4.0,,,4.0,,,,,,,,,,,,,
MAF9-SE-3380-01,223,10.625,BLENDEX 930,401,,,,4.0,,,4.0,,,,,,,,,,,,,
MAF9-SE-3380-01,309,10.625,BLENDEX 930,458,,,,1.0,,,5.0,,14,BLENDEX 930,458,,,,1,,,5,,
MAF9-SE-3380-01,310,10.625,BLENDEX 930,458,,,,1.0,,,5.0,,13.5,BLENDEX 930,458,,,,0.5,,,5,,
