MALLA,ID POZO,DIAMETRO PLG,CARGA FONDO DISENO ,KG FONDO DISENO ,AIRE FONDO DISENO ,CARGA COLUMNA  DISENO,KG COLUMNA DISENO,AIRE INTERMEDIO DISENO ,GRAVILLA INTERMEDIO DISENO ,AIRE SUPERIOR DISENO,TACO GRAVILLA DISENO ,SECUENCIA DETONACION DISENO,PROFUNDIDAD REAL,CARGA FONDO REAL ,KG FONDO REAL ,AIRE FONDO REAL ,CARGA COLUMNA REAL,KG COLUMNA REAL,AIRE INTERMEDIO REAL ,GRAVILLA INTERMEDIO REAL ,AIRE SUPERIOR REAL,TACO GRAVILLA REAL ,SECUENCIA DETONACION REAL,AGUA
MAF9-SE-3380-03,158,10.625,BLENDEX 950,298,,BLENDEX 950,148.8124219,5.5,,,4.5,,16,BLENDEX 950,298,,BLENDEX 950,150,5.5,,,4.5,,
MAF9-SE-3380-03,159,10.625,BLENDEX 950,298,,BLENDEX 950,148.8124219,5.8,,,4.5,,16,BLENDEX 950,298,,BLENDEX 950,150,5.823,,,4.1,,
MAF9-SE-3380-03,160,10.625,BLENDEX 950,298,,BLENDEX 950,148.8124219,5.7,,,4.5,,,,,,,,5.728,,,4.5,,
MAF9-SE-3380-03,161,10.625,BLENDEX 950,298,,BLENDEX 950,148.8124219,6.2,,,4.5,,16.7,EMULTEX BN,447,,,,6.199,,,4.5,,1
MAF9-SE-3380-03,162,10.625,BLENDEX 950,298,,BLENDEX 950,148.8124219,6.3,,,4.5,,16,EMULTEX BN,447,,,,6.29,,,4.1,,1
MAF9-SE-3380-03,160,10.625,BLENDEX 950,298,,BLENDEX 950,148.8124219,5.9,,,4.5,,16,EMULTEX BN,447,,,,5.871,,,4.5,,1
MAF9-SE-3380-03,244,10.625,BLENDEX 950,595,,,,2.5,,,4.5,,15,BLENDEX 950,596,,,,2.5,,,4.5,,
MAF9-SE-3380-03,245,10.625,BLENDEX 950,595,,,,2.8,,,4.5,,15,BLENDEX 950,594,,,,2.797,,,4.5,,
MAF9-SE-3380-03,246,10.625,BLENDEX 950,595,,,,2.8,,,4.5,,15,BLENDEX 950,595,,,,2.824,,,4.5,,
MAF9-SE-3380-03,247,10.625,BLENDEX 950,595,,,,2.8,,,4.5,,15,BLENDEX 950,595,,,,2.818,,,4.5,,
MAF9-SE-3380-03,340,12.25,BLENDEX 950,804,,,,0.0,,,6.0,,14.1,BLENDEX 950,804,,,,0,,,6,,
MAF9-SE-3380-03,341,12.25,BLENDEX 950,780,,,,0.0,,,6.0,,14,VERTEX 50,781,,,,0,,,6.2,,
MAF9-SE-3380-03,342,12.25,BLENDEX 950,775,,,,0.0,,,6.0,,13.8,BLENDEX 950,775,,,,0,,,6,,
MAF9-SE-3380-03,343,12.25,BLENDEX 950,807,,,,0.0,,,6.0,,14.2,BLENDEX 950,807,,,,0,,,6,,
MAF9-SE-3380-03,434,12.25,VERTEX 50,809,,,,0.0,,,6.0,,14.1,VERTEX 50,808,,,,0,,,6,,
MAF9-SE-3380-03,435,12.25,VERTEX 50,775,,,,0.0,,,6.0,,14,VERTEX 50,780,,,,0,,,6,,
MAF9-SE-3380-03,436,12.25,VERTEX 50,789,,,,0.0,,,6.0,,13.9,VERTEX 50,789,,,,0,,,6,,
MAF9-SE-3380-03,551,12.25,VERTEX 50,954,,,,1.5,,,6.0,,16.5,VERTEX 50,954,,,,1.5,,,5.8,,
MAF9-SE-3380-03,552,12.25,VERTEX 50,954,,,,1.3,,,6.0,,16.5,VERTEX 50,954,,,,1.257,,,6,,
MAF9-SE-3380-03,553,12.25,VERTEX 50,958,,,,1.5,,,6.0,,,,,,,,1.5,,,6,,
MAF9-SE-3380-03,554,12.25,VERTEX 50,965,,,,1.5,,,6.0,,17.1,VERTEX 50,965,,,,1.5,,,6,,
MAF9-SE-3380-03,555,12.25,VERTEX 50,954,,,,1.4,,,6.0,,17,VERTEX 50,954,,,,1.362,,,6,,
MAF9-SE-3380-03,634,12.25,VERTEX 50,954,,,,1.5,,,6.0,,17,VERTEX 50,954,,,,1.5,,,6,,
MAF9-SE-3380-03,635,12.25,VERTEX 50,954,,,,1.5,,,6.0,,17,VERTEX 50,954,,,,1.458,,,6,,
MAF9-SE-3380-03,636,12.25,VERTEX 50,966,,,,1.5,,,6.0,,,,,,,,1.5,,,6,,
MAF9-SE-3380-03,637,12.25,VERTEX 50,966,,,,1.5,,,6.0,,,,,,,,1.5,,,6,,
MAF9-SE-3380-06,617,12.25,VERTEX 50,937,,,,1.5,,,5.5,,16.3,VERTEX 50,937,,,,1.5,,,5.5,,
MAF9-SE-3380-06,713,12.25,VERTEX 50,954,,,,0.5,,,6.0,,16,VERTEX 50,964,,,,1.5,,,5.3,,
MAF9-SE-3380-06,714,12.25,VERTEX 50,954,,,,0.5,,,6.0,,16,VERTEX 50,954,,,,0.509,,,6,,
MAF9-SE-3380-06,715,12.25,VERTEX 50,954,,,,0.5,,,6.0,,16,VERTEX 50,954,,,,0.478,,,6,,
MAF9-SE-3380-06,716,12.25,VERTEX 50,954,,,,0.6,,,6.0,,16,VERTEX 50,956,,,,0.604,,,6,,
MAF9-SE-3380-06,717,12.25,VERTEX 50,925,,,,1.5,,,5.5,,16,VERTEX 50,925,,,,1.5,,,5.7,,
MAF9-SE-3380-06,718,12.25,VERTEX 50,955,,,,1.5,,,5.5,,16.5,VERTEX 50,955,,,,1.5,,,5.5,,
MAF9-SE-3380-06,816,12.25,VERTEX 50,904,,,,1.5,,,5.5,,16,VERTEX 50,906,,,,1.476,,,5.5,,
MAF9-SE-3380-06,817,12.25,VERTEX 50,909,,,,1.5,,,5.5,,16,VERTEX 50,905,,,,1.5,,,5.5,,
MAF9-SE-3380-06,818,12.25,VERTEX 50,919,,,,1.5,,,5.5,,16,VERTEX 50,905,,,,1.5,,,5.5,,
MAF9-SE-3380-06,819,12.25,VERTEX 50,923,,,,1.5,,,5.5,,16,VERTEX 50,924,,,,1.5,,,5.5,,
MAF9-SE-3380-06,820,12.25,VERTEX 50,945,,,,1.5,,,5.5,,16,VERTEX 50,946,,,,1.5,,,5.5,,
MAF9-SE-3380-06,821,12.25,VERTEX 50,956,,,,1.5,,,5.5,,16.5,VERTEX 50,956,,,,1.5,,,5.5,,
MAF9-SE-3380-06,916,12.25,VERTEX 50,904,,,,1.5,,,5.5,,16,VERTEX 50,908,,,,1.5,,,5.5,,
MAF9-SE-3380-06,917,12.25,VERTEX 50,937,,,,1.5,,,5.5,,16.4,VERTEX 50,940,,,,1.5,,,5.5,,
MAF9-SE-3380-06,918,12.25,VERTEX 50,930,,,,1.5,,,5.5,,16,VERTEX 50,905,,,,1.5,,,5.5,,
MAF9-SE-3380-06,919,12.25,VERTEX 50,904,,,,1.5,,,5.5,,16,VERTEX 50,905,,,,1.5,,,5.5,,
MAF9-SE-3380-06,920,12.25,VERTEX 50,947,,,,1.5,,,5.5,,16.4,VERTEX 50,947,,,,1.5,,,5.5,,
MAF9-SE-3380-06,921,12.25,VERTEX 50,963,,,,1.5,,,5.5,,16.6,VERTEX 50,963,,,,1.5,,,5.5,,
MAF9-SE-3380-06,1016,12.25,VERTEX 50,904,,,,1.5,,,5.5,,16,VERTEX 50,940,,,,1.5,,,5.5,,
MAF9-SE-3380-06,1017,12.25,VERTEX 50,928,,,,1.5,,,5.5,,16,VERTEX 50,930,,,,1.5,,,5.5,,
MAF9-SE-3380-06,1018,12.25,VERTEX 50,904,,,,1.5,,,5.5,,16,VERTEX 50,906,,,,1.5,,,5.5,,
MAF9-SE-3380-06,1019,12.25,VERTEX 50,904,,,,1.5,,,5.5,,16,VERTEX 50,905,,,,1.5,,,5.5,,
MAF9-SE-3380-06,1020,12.25,VERTEX 50,904,,,,1.5,,,5.5,,16,VERTEX 50,905,,,,1.5,,,5.5,,
MAF9-SE-3380-06,1021,12.25,VERTEX 50,953,,,,1.5,,,5.5,,16,VERTEX 50,904,,,,1.5,,,5.5,,
MAF9-SE-3380-06,1022,12.25,VERTEX 50,960,,,,1.5,,,5.5,,16.6,VERTEX 50,960,,,,1.5,,,5.5,,
