MALLA,ID POZO,DIAMETRO PLG,CARGA FONDO DISENO ,KG FONDO DISENO ,AIRE FONDO DISENO ,CARGA COLUMNA  DISENO,KG COLUMNA DISENO,AIRE INTERMEDIO DISENO ,GRAVILLA INTERMEDIO DISENO ,AIRE SUPERIOR DISENO,TACO GRAVILLA DISENO ,SECUENCIA DETONACION DISENO,PROFUNDIDAD REAL,CARGA FONDO REAL ,KG FONDO REAL ,AIRE FONDO REAL ,CARGA COLUMNA REAL,KG COLUMNA REAL,AIRE INTERMEDIO REAL ,GRAVILLA INTERMEDIO REAL ,AIRE SUPERIOR REAL,TACO GRAVILLA REAL ,SECUENCIA DETONACION REAL,AGUA
MAF10-N-3335-02,118,10.625,BLENDEX 930,286,,,,7.3,,,4.5,,17,BLENDEX 930,290,,,,7.3,,,4.5,,
MAF10-N-3335-02,119,10.625,BLENDEX 930,286,,,,7.3,,,4.5,,17,BLENDEX 930,290,,,,7.3,,,4.5,,
MAF10-N-3335-02,120,10.625,BLENDEX 930,286,,,,7.5,,,4.5,,17,BLENDEX 930,290,,,,7.5,,,4.5,,
MAF10-N-3335-02,121,10.625,BLENDEX 930,286,,,,7.6,,,4.5,,17.2,BLENDEX 930,290,,,,7.6,,,4.5,,
MAF10-N-3335-02,122,10.625,BLENDEX 930,286,,,,7.6,,,4.5,,16.8,BLENDEX 930,290,,,,7.6,,,4.3,,
MAF10-N-3335-02,123,10.625,BLENDEX 930,286,,,,7.6,,,4.5,,17,BLENDEX 930,290,,,,7.6,,,4.5,,
MAF10-N-3335-02,132,10.625,BLENDEX 930,286,,,,7.6,,,4.5,,17,BLENDEX 930,290,,,,7.6,,,4.5,,
MAF10-N-3335-02,133,10.625,BLENDEX 930,286,,,,7.5,,,4.5,,17,BLENDEX 930,290,,,,7.5,,,4.5,,
MAF10-N-3335-02,134,10.625,BLENDEX 930,286,,,,7.5,,,4.5,,17,BLENDEX 930,290,,,,7.5,,,4.5,,
MAF10-N-3335-02,135,10.625,BLENDEX 930,286,,,,7.5,,,4.5,,17,BLENDEX 930,290,,,,7.5,,,4.5,,
MAF10-N-3335-02,136,10.625,BLENDEX 930,286,,,,7.5,,,4.5,,17,BLENDEX 930,290,,,,7.5,,,4.5,,
MAF10-N-3335-02,137,10.625,BLENDEX 930,286,,,,7.3,,,4.5,,17,BLENDEX 930,290,,,,7.3,,,4.5,,
MAF10-N-3335-02,138,10.625,BLENDEX 930,286,,,,7.3,,,4.5,,17,BLENDEX 930,290,,,,7.3,,,4.5,,
MAF10-N-3335-02,139,10.625,BLENDEX 930,286,,,,7.3,,,4.5,,17,BLENDEX 930,290,,,,7.3,,,4.5,,
MAF10-N-3335-02,140,10.625,BLENDEX 930,286,,,,7.5,,,4.5,,17,BLENDEX 930,290,,,,7.5,,,4.5,,
MAF10-N-3335-02,141,10.625,BLENDEX 930,286,,,,7.6,,,4.5,,17,BLENDEX 930,290,,,,7.6,,,4.5,,
MAF10-N-3335-02,142,10.625,BLENDEX 930,286,,,,7.8,,,4.5,,17.2,BLENDEX 930,290,,,,7.8,,,4.5,,
MAF10-N-3335-02,143,10.625,BLENDEX 930,286,,,,7.8,,,4.5,,17.3,BLENDEX 930,290,,,,7.8,,,4.5,,
MAF10-N-3335-02,144,10.625,BLENDEX 930,286,,,,7.7,,,4.5,,17.2,BLENDEX 930,286,,,,7.7,,,4.5,,
MAF10-N-3335-02,145,10.625,BLENDEX 930,286,,,,7.8,,,4.5,,17.3,BLENDEX 930,286,,,,7.8,,,4.5,,
MAF10-N-3335-02,146,10.625,BLENDEX 930,286,,,,7.8,,,4.5,,17.3,BLENDEX 930,286,,,,7.8,,,4.5,,
MAF10-N-3335-02,147,10.625,BLENDEX 930,286,,,,8.0,,,4.5,,17.5,BLENDEX 930,286,,,,8,,,4.5,,
MAF10-N-3335-02,148,10.625,BLENDEX 930,286,,,,8.0,,,4.5,,17.5,BLENDEX 930,286,,,,8,,,4.5,,
MAF10-N-3335-02,149,10.625,BLENDEX 930,286,,,,7.7,,,4.5,,17.2,BLENDEX 930,286,,,,7.7,,,4.5,,
MAF10-N-3335-02,150,10.625,BLENDEX 930,286,,,,7.6,,,4.5,,17.1,BLENDEX 930,286,,,,7.6,,,4.5,,
MAF10-N-3335-02,151,10.625,BLENDEX 930,286,,,,7.6,,,4.5,,17.1,BLENDEX 930,286,,,,7.6,,,4.5,,
MAF10-N-3335-02,215,10.625,BLENDEX 930,286,,,,7.3,,,4.5,,16.8,BLENDEX 930,290,,,,7.3,,,4.5,,
MAF10-N-3335-02,216,10.625,BLENDEX 930,429,,,,5.0,,,4.5,,17,BLENDEX 930,430,,,,5,,,4.5,,
MAF10-N-3335-02,217,10.625,BLENDEX 930,429,,,,5.0,,,4.5,,17,BLENDEX 930,430,,,,5,,,4.5,,
MAF10-N-3335-02,218,10.625,BLENDEX 930,429,,,,5.1,,,4.5,,17.1,BLENDEX 930,430,,,,5.1,,,4.5,,
MAF10-N-3335-02,219,10.625,BLENDEX 930,429,,,,5.0,,,4.5,,17,BLENDEX 930,430,,,,5,,,4.5,,
MAF10-N-3335-02,229,10.625,BLENDEX 930,429,,,,5.2,,,4.5,,17.2,BLENDEX 930,430,,,,5.2,,,4.5,,
MAF10-N-3335-02,230,10.625,BLENDEX 930,429,,,,5.0,,,4.5,,17,BLENDEX 930,430,,,,5,,,4.5,,
MAF10-N-3335-02,231,10.625,BLENDEX 930,429,,,,5.0,,,4.5,,17,BLENDEX 930,430,,,,5,,,4.5,,
MAF10-N-3335-02,232,10.625,BLENDEX 930,429,,,,5.0,,,4.5,,17,BLENDEX 930,430,,,,5,,,4.5,,
MAF10-N-3335-02,233,10.625,BLENDEX 930,429,,,,4.8,,,4.5,,16.8,BLENDEX 930,430,,,,4.8,,,4.5,,
MAF10-N-3335-02,234,10.625,BLENDEX 930,429,,,,4.7,,,4.5,,16.8,BLENDEX 930,430,,,,4.7,,,4.5,,
MAF10-N-3335-02,235,10.625,BLENDEX 930,429,,,,4.9,,,4.5,,17,BLENDEX 930,430,,,,4.9,,,4.5,,
MAF10-N-3335-02,236,10.625,BLENDEX 930,429,,,,4.8,,,4.5,,17,BLENDEX 930,430,,,,4.8,,,4.5,,
MAF10-N-3335-02,237,10.625,BLENDEX 930,429,,,,4.8,,,4.5,,17,BLENDEX 930,430,,,,4.8,,,4.5,,
MAF10-N-3335-02,238,10.625,BLENDEX 930,429,,,,5.0,,,4.5,,17,BLENDEX 930,430,,,,5,,,4.5,,
MAF10-N-3335-02,239,10.625,BLENDEX 930,429,,,,5.0,,,4.5,,17,BLENDEX 930,430,,,,5,,,4.5,,
MAF10-N-3335-02,240,10.625,BLENDEX 930,429,,,,5.1,,,4.5,,17.1,BLENDEX 930,430,,,,5.1,,,4.5,,
MAF10-N-3335-02,241,10.625,BLENDEX 930,429,,,,4.8,,,4.5,,17,BLENDEX 930,430,,,,4.8,,,4.5,,
MAF10-N-3335-02,242,10.625,BLENDEX 930,429,,,,4.8,,,4.5,,17,BLENDEX 930,430,,,,4.8,,,4.5,,
MAF10-N-3335-02,243,10.625,BLENDEX 930,429,,,,5.0,,,4.5,,17,BLENDEX 930,430,,,,5,,,4.5,,
MAF10-N-3335-02,311,12.25,BLENDEX 950,1088,,,,0.0,,,6.0,,17,BLENDEX 950,1088,,,,,,,6,,
MAF10-N-3335-02,312,12.25,BLENDEX 950,1088,,,,0.0,,,6.0,,17,BLENDEX 950,1088,,,,,,,6,,
MAF10-N-3335-02,313,12.25,BLENDEX 950,1098,,,,0.0,,,6.0,,17,BLENDEX 950,1098,,,,,,,6,,
MAF10-N-3335-02,318,12.25,BLENDEX 950,1098,,,,0.0,,,6.0,,17,BLENDEX 950,1098,,,,,,,6,,
MAF10-N-3335-02,319,12.25,BLENDEX 950,1088,,,,0.0,,,6.0,,17,BLENDEX 950,1088,,,,,,,6,,
MAF10-N-3335-02,320,12.25,BLENDEX 950,1088,,,,0.0,,,6.0,,17,BLENDEX 950,1088,,,,,,,6,,
MAF10-N-3335-02,321,12.25,BLENDEX 950,1068,,,,0.0,,,6.0,,16.8,BLENDEX 950,1068,,,,,,,6,,
MAF10-N-3335-02,322,12.25,BLENDEX 950,1048,,,,0.0,,,6.0,,16.6,BLENDEX 950,1048,,,,,,,6,,
MAF10-N-3335-02,323,12.25,BLENDEX 950,1039,,,,0.0,,,6.0,,16.5,BLENDEX 950,1039,,,,,,,6,,
MAF10-N-3335-02,324,12.25,BLENDEX 950,1048,,,,0.0,,,6.0,,16.6,BLENDEX 950,1048,,,,,,,6,,
MAF10-N-3335-02,325,12.25,BLENDEX 950,1058,,,,0.0,,,6.0,,16.7,BLENDEX 950,1058,,,,,,,6,,
MAF10-N-3335-02,326,12.25,BLENDEX 950,1058,,,,0.0,,,6.0,,16.7,BLENDEX 950,1058,,,,,,,6,,
MAF10-N-3335-02,327,12.25,BLENDEX 950,1058,,,,0.0,,,6.0,,16.7,BLENDEX 950,1058,,,,,,,6,,
MAF10-N-3335-02,328,12.25,BLENDEX 950,1058,,,,0.0,,,6.0,,16.7,BLENDEX 950,1058,,,,,,,6,,
MAF10-N-3335-02,410,12.25,BLENDEX 950,1157,,,,0.0,,,6.0,,17.7,BLENDEX 950,1157,,,,,,,6,,
MAF10-N-3335-02,411,12.25,VERTEX 50,1185,,,,0.0,,,6.0,,17.7,VERTEX 50,1185,,,,,,,6,,
MAF10-N-3335-02,412,12.25,VERTEX 50,1205,,,,0.0,,,6.0,,18,VERTEX 50,1205,,,,,,,6,,
MAF10-N-3335-02,413,12.25,VERTEX 50,1205,,,,0.0,,,6.0,,18,VERTEX 50,1205,,,,,,,6,,
MAF10-N-3335-02,414,12.25,VERTEX 50,1195,,,,0.0,,,6.0,,17.9,VERTEX 50,1195,,,,,,,6,,
MAF10-N-3335-02,415,12.25,VERTEX 50,1185,,,,0.0,,,6.0,,17.8,VERTEX 50,1185,,,,,,,6,,
MAF10-N-3335-02,416,12.25,VERTEX 50,1145,,,,0.0,,,6.0,,17.4,VERTEX 50,1145,,,,,,,6,,
MAF10-N-3335-02,417,12.25,VERTEX 50,1125,,,,0.0,,,6.0,,17.2,VERTEX 50,1125,,,,,,,6,,
MAF10-N-3335-02,418,12.25,VERTEX 50,1155,,,,0.0,,,6.0,,17.5,VERTEX 50,1155,,,,,,,6,,
MAF10-N-3335-02,419,12.25,VERTEX 50,1145,,,,0.0,,,6.0,,17.4,VERTEX 50,1145,,,,,,,6,,
MAF10-N-3335-02,420,12.25,VERTEX 50,1155,,,,0.0,,,6.0,,17.5,VERTEX 50,1155,,,,,,,6,,
MAF10-N-3335-02,510,12.25,VERTEX 50,1165,,,,0.0,,,6.0,,17.6,VERTEX 50,1165,,,,,,,6,,
MAF10-N-3335-02,511,12.25,VERTEX 50,1175,,,,0.0,,,6.0,,17.7,VERTEX 50,1175,,,,,,,6,,
MAF10-N-3335-02,512,12.25,VERTEX 50,1195,,,,0.0,,,6.0,,17.9,VERTEX 50,1195,,,,,,,6,,
MAF10-N-3335-02,513,12.25,VERTEX 50,1195,,,,0.0,,,6.0,,17.9,VERTEX 50,1195,,,,,,,6,,
MAF10-N-3335-02,514,12.25,VERTEX 50,1185,,,,0.0,,,6.0,,17.8,VERTEX 50,1185,,,,,,,6,,
MAF10-N-3335-02,515,12.25,VERTEX 50,1175,,,,0.0,,,6.0,,17.7,VERTEX 50,1175,,,,,,,6,,
MAF10-N-3335-02,516,12.25,VERTEX 50,1185,,,,0.0,,,6.0,,17.8,VERTEX 50,1185,,,,,,,6,,
MAF10-N-3335-02,517,12.25,VERTEX 50,1105,,,,0.0,,,6.0,,17,VERTEX 50,1105,,,,,,,6,,
MAF10-N-3335-02,518,12.25,VERTEX 50,1085,,,,0.0,,,6.0,,16.8,VERTEX 50,1085,,,,,,,6,,
MAF10-N-3335-02,519,12.25,VERTEX 50,1105,,,,0.0,,,6.0,,17,VERTEX 50,1105,,,,,,,6,,
MAF10-N-3335-02,520,12.25,VERTEX 50,1105,,,,0.0,,,6.0,,17,VERTEX 50,1105,,,,,,,6.1,,
MAF10-N-3335-02,710,12.25,VERTEX 50,1155,,,,0.0,,,6.0,,17.5,VERTEX 50,1155,,,,,,,6,,
MAF10-N-3335-02,711,12.25,VERTEX 50,1175,,,,0.0,,,6.0,,17.5,VERTEX 50,1170,,,,,,,6,,
MAF10-N-3335-02,712,12.25,VERTEX 50,1175,,,,0.0,,,6.0,,18,VERTEX 50,1180,,,,,,,6,,
MAF10-N-3335-02,713,12.25,VERTEX 50,1165,,,,0.0,,,6.0,,17.5,VERTEX 50,1170,,,,,,,6,,
