MALLA,ID POZO,DIAMETRO PLG,CARGA FONDO DISENO ,KG FONDO DISENO ,AIRE FONDO DISENO ,CARGA COLUMNA  DISENO,KG COLUMNA DISENO,AIRE INTERMEDIO DISENO ,GRAVILLA INTERMEDIO DISENO ,AIRE SUPERIOR DISENO,TACO GRAVILLA DISENO ,SECUENCIA DETONACION DISENO,PROFUNDIDAD REAL,CARGA FONDO REAL ,KG FONDO REAL ,AIRE FONDO REAL ,CARGA COLUMNA REAL,KG COLUMNA REAL,AIRE INTERMEDIO REAL ,GRAVILLA INTERMEDIO REAL ,AIRE SUPERIOR REAL,TACO GRAVILLA REAL ,SECUENCIA DETONACION REAL,AGUA
MAF7-R1-2810-08,140,7.875,BLENDEX 930,157,,BLENDEX 930,62.88384375,3.6,,,4.0,,14.6,BLENDEX 930,157,,BLENDEX 930,63,3.59,,,4,,
MAF7-R1-2810-08,141,7.875,BLENDEX 930,157,,BLENDEX 930,62.88384375,3.4,,,4.0,,14.4,BLENDEX 930,157,,BLENDEX 930,63,3.4,,,4,,
MAF7-R1-2810-08,142,7.875,BLENDEX 930,157,,BLENDEX 930,62.88384375,3.6,,,4.0,,14.6,BLENDEX 930,157,,BLENDEX 930,63,3.6,,,4,,
MAF7-R1-2810-08,143,7.875,BLENDEX 930,157,,BLENDEX 930,62.88384375,3.5,,,4.0,,13,BLENDEX 930,157,,BLENDEX 930,63,2,,,4,,
MAF7-R1-2810-08,144,7.875,BLENDEX 930,157,,BLENDEX 930,62.88384375,3.6,,,4.0,,14.6,BLENDEX 930,157,,BLENDEX 930,63,3.57,,,4,,
MAF7-R1-2810-08,145,7.875,BLENDEX 930,157,,BLENDEX 930,62.88384375,3.5,,,4.0,,14.5,BLENDEX 930,157,,BLENDEX 930,63,3.54,,,4,,
MAF7-R1-2810-08,146,7.875,BLENDEX 930,157,,BLENDEX 930,62.88384375,3.7,,,4.0,,14.7,BLENDEX 930,157,,BLENDEX 930,63,3.66,,,4,,
MAF7-R1-2810-08,147,7.875,BLENDEX 930,157,,BLENDEX 930,62.88384375,3.7,,,4.0,,14.7,BLENDEX 930,157,,BLENDEX 930,63,3.68,,,4,,
MAF7-R1-2810-08,148,7.875,BLENDEX 930,157,,BLENDEX 930,62.88384375,3.6,,,4.0,,12.6,BLENDEX 930,157,,BLENDEX 930,63,1.6,,,4,,
MAF7-R1-2810-08,149,7.875,BLENDEX 930,157,,BLENDEX 930,62.88384375,3.6,,,4.0,,14.6,BLENDEX 930,157,,BLENDEX 930,63,3.58,,,4,,
MAF7-R1-2810-08,150,7.875,BLENDEX 930,157,,BLENDEX 930,62.88384375,3.8,,,4.0,,14.8,BLENDEX 930,157,,BLENDEX 930,63,3.76,,,4,,
MAF7-R1-2810-08,151,7.875,BLENDEX 930,157,,BLENDEX 930,62.88384375,3.9,,,4.0,,14.9,BLENDEX 930,157,,BLENDEX 930,63,3.89,,,4,,
MAF7-R1-2810-08,152,7.875,BLENDEX 930,157,,BLENDEX 930,62.88384375,4.1,,,4.0,,15.1,BLENDEX 930,157,,BLENDEX 930,63,4.1,,,4,,
MAF7-R1-2810-08,153,7.875,BLENDEX 930,157,,BLENDEX 930,62.88384375,4.2,,,4.0,,15.2,BLENDEX 930,157,,BLENDEX 930,63,4.18,,,4,,
MAF7-R1-2810-08,154,7.875,BLENDEX 930,157,,BLENDEX 930,62.88384375,4.4,,,4.0,,15.4,BLENDEX 930,157,,BLENDEX 930,63,4.43,,,4,,
MAF7-R1-2810-08,156,7.875,BLENDEX 930,157,,BLENDEX 930,62.88384375,4.9,,,4.0,,15.9,BLENDEX 930,157,,BLENDEX 930,63,4.88,,,4,,
MAF7-R1-2810-08,237,10.625,BLENDEX 930,229,,BLENDEX 930,114.4710938,3.7,,,4.0,,13.7,BLENDEX 930,229,,BLENDEX 930,114,3.66,,,4,,
MAF7-R1-2810-08,238,10.625,BLENDEX 930,229,,BLENDEX 930,114.4710938,3.6,,,4.0,,13.6,BLENDEX 930,229,,BLENDEX 930,114,3.64,,,4,,
MAF7-R1-2810-08,239,10.625,BLENDEX 930,229,,BLENDEX 930,114.4710938,3.7,,,4.0,,13.7,BLENDEX 930,229,,BLENDEX 930,114,3.69,,,4,,
