MALLA,ID POZO,DIAMETRO PLG,CARGA FONDO DISENO ,KG FONDO DISENO ,AIRE FONDO DISENO ,CARGA COLUMNA  DISENO,KG COLUMNA DISENO,AIRE INTERMEDIO DISENO ,GRAVILLA INTERMEDIO DISENO ,AIRE SUPERIOR DISENO,TACO GRAVILLA DISENO ,SECUENCIA DETONACION DISENO,PROFUNDIDAD REAL,CARGA FONDO REAL ,KG FONDO REAL ,AIRE FONDO REAL ,CARGA COLUMNA REAL,KG COLUMNA REAL,AIRE INTERMEDIO REAL ,GRAVILLA INTERMEDIO REAL ,AIRE SUPERIOR REAL,TACO GRAVILLA REAL ,SECUENCIA DETONACION REAL,AGUA
MAF7-R1-2757-02,116,7.875,EMULTEX BN,145,,,,0.7,,,4.0,,,,,,,,,,,,,
MAF7-R1-2757-02,117,7.875,EMULTEX BN,145,,,,0.5,,,4.0,,,,,,,,,,,,,
MAF7-R1-2757-02,118,7.875,EMULTEX BN,145,,,,0.6,,,4.0,,,,,,,,,,,,,
MAF7-R1-2757-02,119,7.875,EMULTEX BN,145,,,,0.8,,,4.0,,,,,,,,,,,,,
MAF7-R1-2757-02,120,7.875,EMULTEX BN,145,,,,1.0,,,4.0,,,,,,,,,,,,,
MAF7-R1-2757-02,121,7.875,EMULTEX BN,145,,,,1.0,,,4.0,,6,EMULTEX BN,50,,,,1,,,3.8,,
MAF7-R1-2757-02,122,7.875,EMULTEX BN,145,,,,1.2,,,4.0,,,,,,,,,,,,,
MAF7-R1-2757-02,123,7.875,EMULTEX BN,145,,,,1.2,,,4.0,,,,,,,,,,,,,
MAF7-R1-2757-02,124,7.875,EMULTEX BN,145,,,,1.1,,,4.0,,,,,,,,,,,,,
MAF7-R1-2757-02,125,7.875,EMULTEX BN,145,,,,1.2,,,4.0,,,,,,,,,,,,,
MAF7-R1-2757-02,126,7.875,EMULTEX BN,228,,,,2.5,,,4.5,,,,,,,,,,,,,
MAF7-R1-2757-02,127,7.875,EMULTEX BN,228,,,,2.7,,,4.5,,,,,,,,,,,,,
MAF7-R1-2757-02,128,7.875,EMULTEX BN,228,,,,2.8,,,4.5,,,,,,,,,,,,,
MAF7-R1-2757-02,129,7.875,EMULTEX BN,228,,,,3.0,,,4.5,,,,,,,,,,,,,
MAF7-R1-2757-02,130,7.875,EMULTEX BN,228,,,,2.9,,,4.5,,,,,,,,,,,,,
MAF7-R1-2757-02,131,7.875,EMULTEX BN,228,,,,2.9,,,4.5,,,,,,,,,,,,,
MAF7-R1-2757-02,132,7.875,EMULTEX BN,228,,,,2.8,,,4.5,,,,,,,,,,,,,
MAF7-R1-2757-02,133,7.875,EMULTEX BN,228,,,,2.8,,,4.5,,,,,,,,,,,,,
MAF7-R1-2757-02,134,7.875,EMULTEX BN,228,,,,2.5,,,4.5,,,,,,,,,,,,,
MAF7-R1-2757-02,135,7.875,EMULTEX BN,228,,,,2.5,,,4.5,,,,,,,,,,,,,
MAF7-R1-2757-02,136,7.875,EMULTEX BN,228,,,,2.7,,,4.5,,,,,,,,,,,,,
MAF7-R1-2757-02,137,7.875,EMULTEX BN,228,,,,2.5,,,4.5,,,,,,,,,,,,,
MAF7-R1-2757-02,138,7.875,EMULTEX BN,228,,,,5.7,,,4.5,,,,,,,,,,,,,
MAF7-R1-2757-02,139,7.875,EMULTEX BN,228,,,,2.9,,,4.5,,,,,,,,,,,,,
MAF7-R1-2757-02,140,7.875,EMULTEX BN,228,,,,3.0,,,4.5,,,,,,,,,,,,,
MAF7-R1-2757-02,141,7.875,EMULTEX BN,228,,,,3.0,,,4.5,,,,,,,,,,,,,
MAF7-R1-2757-02,142,7.875,EMULTEX BN,228,,,,3.0,,,4.5,,,,,,,,,,,,,
MAF7-R1-2757-02,143,7.875,EMULTEX BN,228,,,,3.0,,,4.5,,,,,,,,,,,,,
MAF7-R1-2757-02,144,7.875,EMULTEX BN,228,,,,2.6,,,4.5,,,,,,,,,,,,,
MAF7-R1-2757-02,145,7.875,EMULTEX BN,228,,,,2.7,,,4.5,,,,,,,,,,,,,
MAF7-R1-2757-02,146,7.875,EMULTEX BN,228,,,,2.9,,,4.5,,,,,,,,,,,,,
MAF7-R1-2757-02,147,7.875,EMULTEX BN,228,,,,3.0,,,4.5,,6,EMULTEX BN,45,,,,0,,,4.9,,
MAF7-R1-2757-02,148,7.875,EMULTEX BN,228,,,,3.0,,,4.5,,,,,,,,,,,,,
MAF7-R1-2757-02,149,7.875,EMULTEX BN,228,,,,3.0,,,4.5,,,,,,,,,,,,,
MAF7-R1-2757-02,150,7.875,EMULTEX BN,228,,,,3.0,,,4.5,,,,,,,,,,,,,
MAF7-R1-2757-02,151,7.875,EMULTEX BN,228,,,,3.0,,,4.5,,,,,,,,,,,,,
MAF7-R1-2757-02,152,7.875,EMULTEX BN,228,,,,2.4,,,4.5,,,,,,,,,,,,,
MAF7-R1-2757-02,153,7.875,EMULTEX BN,228,,,,2.2,,,4.5,,,,,,,,,,,,,
MAF7-R1-2757-02,154,7.875,EMULTEX BN,228,,,,2.2,,,4.5,,,,,,,,,,,,,
MAF7-R1-2757-02,155,7.875,EMULTEX BN,228,,,,2.3,,,4.5,,,,,,,,,,,,,
MAF7-R1-2757-02,156,7.875,EMULTEX BN,228,,,,2.5,,,4.5,,,,,,,,,,,,,
