MALLA,ID POZO,DIAMETRO PLG,CARGA FONDO DISENO ,KG FONDO DISENO ,AIRE FONDO DISENO ,CARGA COLUMNA  DISENO,KG COLUMNA DISENO,AIRE INTERMEDIO DISENO ,GRAVILLA INTERMEDIO DISENO ,AIRE SUPERIOR DISENO,TACO GRAVILLA DISENO ,SECUENCIA DETONACION DISENO,PROFUNDIDAD REAL,CARGA FONDO REAL ,KG FONDO REAL ,AIRE FONDO REAL ,CARGA COLUMNA REAL,KG COLUMNA REAL,AIRE INTERMEDIO REAL ,GRAVILLA INTERMEDIO REAL ,AIRE SUPERIOR REAL,TACO GRAVILLA REAL ,SECUENCIA DETONACION REAL,AGUA
MAF7-R1-2825-11,101,10.625,BLENDEX 930,315,,,,9.2,,,0.0,,14.7,BLENDEX 930,315,,,,9.18,,,,,
MAF7-R1-2825-11,102,10.625,BLENDEX 930,315,,,,9.0,,,0.0,,14.5,BLENDEX 930,315,,,,9,,,,,
MAF7-R1-2825-11,103,10.625,BLENDEX 930,315,,,,8.9,,,0.0,,14.4,BLENDEX 930,315,,,,8.89,,,,,
MAF7-R1-2825-11,104,10.625,BLENDEX 930,315,,,,8.9,,,0.0,,14.4,BLENDEX 930,315,,,,8.88,,,,,
MAF7-R1-2825-11,105,10.625,BLENDEX 930,315,,,,8.9,,,0.0,,14.4,BLENDEX 930,315,,,,8.87,,,,,
MAF7-R1-2825-11,106,10.625,BLENDEX 930,315,,,,9.1,,,0.0,,14.6,BLENDEX 930,315,,,,9.14,,,,,
MAF7-R1-2825-11,107,10.625,BLENDEX 930,315,,,,9.2,,,0.0,,14.7,BLENDEX 930,315,,,,9.17,,,,,
MAF7-R1-2825-11,108,10.625,BLENDEX 930,315,,,,9.3,,,0.0,,14.8,BLENDEX 930,315,,,,9.27,,,,,
MAF7-R1-2825-11,109,10.625,BLENDEX 930,315,,,,9.2,,,0.0,,14.7,BLENDEX 930,315,,,,9.18,,,,,
MAF7-R1-2825-11,110,10.625,BLENDEX 930,315,,,,9.2,,,0.0,,14.7,BLENDEX 930,315,,,,9.24,,,,,
MAF7-R1-2825-11,111,10.625,BLENDEX 930,315,,,,9.1,,,0.0,,14.6,BLENDEX 930,315,,,,9.05,,,,,
MAF7-R1-2825-11,112,10.625,BLENDEX 930,315,,,,8.9,,,0.0,,14.4,BLENDEX 930,315,,,,8.89,,,,,
MAF7-R1-2825-11,113,10.625,BLENDEX 930,315,,,,8.8,,,0.0,,14.3,BLENDEX 930,315,,,,8.76,,,,,
MAF7-R1-2825-11,114,10.625,BLENDEX 930,315,,,,8.8,,,0.0,,14.3,BLENDEX 930,315,,,,8.78,,,,,
MAF7-R1-2825-11,115,10.625,BLENDEX 930,315,,,,8.6,,,0.0,,14.1,BLENDEX 930,315,,,,8.55,,,,,
