MALLA,ID POZO,DIAMETRO PLG,CARGA FONDO DISENO ,KG FONDO DISENO ,AIRE FONDO DISENO ,CARGA COLUMNA  DISENO,KG COLUMNA DISENO,AIRE INTERMEDIO DISENO ,GRAVILLA INTERMEDIO DISENO ,AIRE SUPERIOR DISENO,TACO GRAVILLA DISENO ,SECUENCIA DETONACION DISENO,PROFUNDIDAD REAL,CARGA FONDO REAL ,KG FONDO REAL ,AIRE FONDO REAL ,CARGA COLUMNA REAL,KG COLUMNA REAL,AIRE INTERMEDIO REAL ,GRAVILLA INTERMEDIO REAL ,AIRE SUPERIOR REAL,TACO GRAVILLA REAL ,SECUENCIA DETONACION REAL,AGUA
MAF10-N-3245-06,1449,12.25,VERTEX 50,1004,,VERTEX 50,100.4278275,,,,4.5,,,,,,,,,,,,,
MAF10-N-3245-06,1450,12.25,VERTEX 50,1004,,VERTEX 50,100.4278275,,,,4.5,,,,,,,,,,,,,
MAF10-N-3245-06,1451,12.25,VERTEX 50,1004,,VERTEX 50,100.4278275,,,,4.5,,,,,,,,,,,,,
MAF10-N-3245-06,1452,12.25,VERTEX 50,1004,,VERTEX 50,100.4278275,,,,4.5,,,,,,,,,,,,,
MAF10-N-3245-06,1453,12.25,VERTEX 50,1004,,VERTEX 50,100.4278275,,,,4.5,,,,,,,,,,,,,
MAF10-N-3245-06,1454,12.25,VERTEX 50,1004,,VERTEX 50,100.4278275,,,,4.5,,,,,,,,,,,,,
MAF10-N-3245-06,1455,12.25,VERTEX 50,1004,,VERTEX 50,100.4278275,,,,4.5,,,,,,,,,,,,,
MAF10-N-3245-06,1456,12.25,VERTEX 50,1004,,VERTEX 50,100.4278275,,,,4.5,,,,,,,,,,,,,
MAF10-N-3245-06,1457,12.25,VERTEX 50,1004,,VERTEX 50,100.4278275,,,,4.5,,,,,,,,,,,,,
MAF10-N-3245-06,1458,12.25,VERTEX 50,1004,,VERTEX 50,100.4278275,,,,4.5,,15.5,VERTEX 50,904,,VERTEX 50,100,,,,5,,
MAF10-N-3245-06,1459,12.25,VERTEX 50,1004,,VERTEX 50,100.4278275,,,,4.5,,15.5,VERTEX 50,904,,VERTEX 50,100,,,,5,,
MAF10-N-3245-06,1460,12.25,VERTEX 50,1004,,VERTEX 50,100.4278275,,,,4.5,,16,VERTEX 50,954,,VERTEX 50,100,,,,5,,
MAF10-N-3245-06,1461,12.25,VERTEX 50,1004,,VERTEX 50,100.4278275,,,,4.5,,16,VERTEX 50,954,,VERTEX 50,100,,,,5,,
MAF10-N-3245-06,1462,12.25,VERTEX 50,1004,,VERTEX 50,100.4278275,,,,4.5,,16,VERTEX 50,954,,VERTEX 50,100,,,,5,,
MAF10-N-3245-06,1463,12.25,VERTEX 50,1004,,VERTEX 50,100.4278275,,,,4.5,,16.5,VERTEX 50,1004,,VERTEX 50,100,,,,5,,
MAF10-N-3245-06,1550,12.25,VERTEX 50,1004,,VERTEX 50,100.4278275,,,,4.5,,,,,,,,,,,,,
MAF10-N-3245-06,1551,12.25,VERTEX 50,1004,,VERTEX 50,100.4278275,,,,4.5,,,,,,,,,,,,,
MAF10-N-3245-06,1552,12.25,VERTEX 50,1004,,VERTEX 50,100.4278275,,,,4.5,,,,,,,,,,,,,
MAF10-N-3245-06,1553,12.25,VERTEX 50,1004,,VERTEX 50,100.4278275,,,,4.5,,,,,,,,,,,,,
MAF10-N-3245-06,1554,12.25,VERTEX 50,1004,,VERTEX 50,100.4278275,,,,4.5,,,,,,,,,,,,,
MAF10-N-3245-06,1555,12.25,VERTEX 50,1004,,VERTEX 50,100.4278275,,,,4.5,,,,,,,,,,,,,
MAF10-N-3245-06,1556,12.25,VERTEX 50,1004,,VERTEX 50,100.4278275,,,,4.5,,,,,,,,,,,,,
MAF10-N-3245-06,1557,12.25,VERTEX 50,1004,,VERTEX 50,100.4278275,,,,4.5,,16.5,VERTEX 50,1004,,VERTEX 50,100,,,,5,,
MAF10-N-3245-06,1558,12.25,VERTEX 50,1004,,VERTEX 50,100.4278275,,,,4.5,,15.5,VERTEX 50,904,,VERTEX 50,100,,,,5,,
MAF10-N-3245-06,1559,12.25,VERTEX 50,1004,,VERTEX 50,100.4278275,,,,4.5,,15.5,VERTEX 50,904,,VERTEX 50,100,,,,5,,
MAF10-N-3245-06,1560,12.25,VERTEX 50,1004,,VERTEX 50,100.4278275,,,,4.5,,15.5,VERTEX 50,904,,VERTEX 50,100,,,,5,,
MAF10-N-3245-06,1561,12.25,VERTEX 50,1004,,VERTEX 50,100.4278275,,,,4.5,,15.5,VERTEX 50,904,,VERTEX 50,100,,,,5,,
MAF10-N-3245-06,1562,12.25,VERTEX 50,1004,,VERTEX 50,100.4278275,,,,4.5,,16,VERTEX 50,954,,VERTEX 50,100,,,,5,,
MAF10-N-3245-06,1563,12.25,VERTEX 50,1004,,VERTEX 50,100.4278275,,,,4.5,,16.5,VERTEX 50,1004,,VERTEX 50,100,,,,5,,
MAF10-N-3245-06,1650,12.25,VERTEX 50,1004,,VERTEX 50,100.4278275,,,,4.5,,,,,,,,,,,,,
MAF10-N-3245-06,1651,12.25,VERTEX 50,1004,,VERTEX 50,100.4278275,,,,4.5,,,,,,,,,,,,,
