MALLA,ID POZO,DIAMETRO PLG,CARGA FONDO DISENO ,KG FONDO DISENO ,AIRE FONDO DISENO ,CARGA COLUMNA  DISENO,KG COLUMNA DISENO,AIRE INTERMEDIO DISENO ,GRAVILLA INTERMEDIO DISENO ,AIRE SUPERIOR DISENO,TACO GRAVILLA DISENO ,SECUENCIA DETONACION DISENO,PROFUNDIDAD REAL,CARGA FONDO REAL ,KG FONDO REAL ,AIRE FONDO REAL ,CARGA COLUMNA REAL,KG COLUMNA REAL,AIRE INTERMEDIO REAL ,GRAVILLA INTERMEDIO REAL ,AIRE SUPERIOR REAL,TACO GRAVILLA REAL ,SECUENCIA DETONACION REAL,AGUA
MAF10-N-3335-02,152,10.625,BLENDEX 930,286,,,,7.3,,,4.5,,16.8,BLENDEX 930,286,,,,7.3,,,4.5,,
MAF10-N-3335-02,153,10.625,BLENDEX 930,286,,,,7.2,,,4.5,,16.7,BLENDEX 930,286,,,,7.2,,,4.5,,
MAF10-N-3335-02,154,10.625,BLENDEX 930,286,,,,7.2,,,4.5,,16.2,BLENDEX 930,286,,,,7.2,,,4,,
MAF10-N-3335-02,155,10.625,BLENDEX 930,286,,,,7.5,,,4.5,,17,BLENDEX 930,286,,,,7.5,,,4.5,,
MAF10-N-3335-02,156,10.625,BLENDEX 930,286,,,,7.6,,,4.5,,17,BLENDEX 930,286,,,,7.6,,,4.5,,
MAF10-N-3335-02,157,10.625,BLENDEX 930,286,,,,7.5,,,4.5,,17,BLENDEX 930,286,,,,7.5,,,4.5,,
MAF10-N-3335-02,158,10.625,BLENDEX 930,286,,,,7.4,,,4.5,,16.9,BLENDEX 930,286,,,,7.4,,,4.5,,
MAF10-N-3335-02,159,10.625,BLENDEX 930,286,,,,7.3,,,4.5,,16.8,BLENDEX 930,286,,,,7.3,,,4.5,,
MAF10-N-3335-02,160,10.625,BLENDEX 930,286,,,,7.3,,,4.5,,16.8,BLENDEX 930,286,,,,7.3,,,4.5,,
MAF10-N-3335-02,161,10.625,BLENDEX 930,286,,,,7.2,,,4.5,,16.7,BLENDEX 930,286,,,,7.2,,,4.5,,
MAF10-N-3335-02,162,10.625,BLENDEX 930,286,,,,7.0,,,4.5,,16.5,BLENDEX 930,286,,,,7,,,4.5,,
MAF10-N-3335-02,244,10.625,BLENDEX 930,429,,,,4.0,,,4.5,,16,BLENDEX 930,435,,,,4,,,4.5,,
MAF10-N-3335-02,245,10.625,BLENDEX 930,429,,,,4.0,,,4.5,,15.4,BLENDEX 930,435,,,,4,,,4,,
MAF10-N-3335-02,246,10.625,BLENDEX 930,429,,,,4.0,,,4.5,,15.5,BLENDEX 930,435,,,,4,,,4.2,,
MAF10-N-3335-02,247,10.625,BLENDEX 930,429,,,,4.0,,,4.5,,15.5,BLENDEX 930,435,,,,4,,,4.2,,
MAF10-N-3335-02,248,10.625,BLENDEX 930,429,,,,4.0,,,4.5,,15.5,BLENDEX 930,435,,,,4,,,4.2,,
MAF10-N-3335-02,249,10.625,BLENDEX 930,429,,,,4.0,,,4.5,,16.5,BLENDEX 930,435,,,,4,,,4.5,,
MAF10-N-3335-02,250,10.625,BLENDEX 930,429,,,,4.0,,,4.5,,16,BLENDEX 930,435,,,,4,,,4.5,,
MAF10-N-3335-02,251,10.625,BLENDEX 930,429,,,,4.0,,,4.5,,16.5,BLENDEX 930,429,,,,4,,,4.8,,
MAF10-N-3335-02,329,12.25,BLENDEX 950,1039,,,,0.0,,,6.0,,16.5,BLENDEX 950,1039,,,,0,,,6,,
MAF10-N-3335-02,330,12.25,BLENDEX 950,1039,,,,0.0,,,6.0,,16.5,BLENDEX 950,1039,,,,0,,,6,,
MAF10-N-3335-02,331,12.25,BLENDEX 950,1058,,,,0.0,,,6.0,,16.7,BLENDEX 950,1058,,,,0,,,6,,
MAF10-N-3335-02,332,12.25,BLENDEX 950,1058,,,,0.0,,,6.0,,,,,,,,,,,,,
