MALLA,ID POZO,DIAMETRO PLG,CARGA FONDO DISENO ,KG FONDO DISENO ,AIRE FONDO DISENO ,CARGA COLUMNA  DISENO,KG COLUMNA DISENO,AIRE INTERMEDIO DISENO ,GRAVILLA INTERMEDIO DISENO ,AIRE SUPERIOR DISENO,TACO GRAVILLA DISENO ,SECUENCIA DETONACION DISENO,PROFUNDIDAD REAL,CARGA FONDO REAL ,KG FONDO REAL ,AIRE FONDO REAL ,CARGA COLUMNA REAL,KG COLUMNA REAL,AIRE INTERMEDIO REAL ,GRAVILLA INTERMEDIO REAL ,AIRE SUPERIOR REAL,TACO GRAVILLA REAL ,SECUENCIA DETONACION REAL,AGUA
MAF11-W-3665-02,901,12.250,VERTEX 50,703,,,,2.0,,,7.0,,,,,,,,,,,,,
MAF11-W-3665-02,902,12.250,VERTEX 50,703,,,,2.0,,,7.0,,,,,,,,,,,,,
MAF11-W-3665-02,903,12.250,VERTEX 50,703,,,,2.0,,,7.0,,,,,,,,,,,,,
MAF11-W-3665-08,1201,12.250,VERTEX 50,703,,,,2.0,,,7.0,,16,VERTEX 50,704,,,,2.0,,,7.0,,
MAF11-W-3665-08,1201,12.250,VERTEX 50,703,,,,2.0,,,7.0,,16,VERTEX 50,704,,,,2.0,,,7.0,,
MAF11-W-3665-09,100,10.625,VERTEX 30,137,,,,2.0,,,6.0,,10,VERTEX 30,134,,,,2.0,,,5.6,,
MAF11-W-3665-09,101,10.625,VERTEX 30,80,,,,2.0,,,6.0,,9,VERTEX 30,90,,,,2.0,,,5.5,,
MAF11-W-3665-09,102,10.625,VERTEX 30,204,,,,0.0,,,5.3,,9,VERTEX 30,204,,,,0.0,,,5.3,,
MAF11-W-3665-09,103,10.625,VERTEX 30,185,,,,0.0,,,4.9,,8.1,VERTEX 30,190,,,,0.0,,,4.9,,
MAF11-W-3665-09,104,10.625,VERTEX 30,169,,,,0.0,,,4.4,,8,VERTEX 30,170,,,,0.0,,,5.0,,
MAF11-W-3665-09,105,10.625,VERTEX 30,165,,,,0.0,,,4.3,,7,VERTEX 30,160,,,,0.0,,,4.3,,
MAF11-W-3665-09,106,10.625,VERTEX 30,140,,,,0.0,,,3.7,,6,VERTEX 30,140,,,,0.0,,,3.7,,
MAF11-W-3665-09,107,10.625,VERTEX 30,126,,,,0.0,,,3.3,,5.6,VERTEX 30,124,,,,0.0,,,3.5,,
MAF11-W-3665-09,108,10.625,VERTEX 30,117,,,,0.0,,,3.1,,6,VERTEX 30,120,,,,0.0,,,4.0,,
MAF11-W-3665-09,109,10.625,VERTEX 30,114,,,,0.0,,,3.0,,5.4,VERTEX 30,114,,,,0.0,,,3.5,,
MAF11-W-3665-09,110,10.625,VERTEX 30,110,,,,0.0,,,2.9,,5,VERTEX 30,110,,,,0.0,,,3.0,,
MAF11-W-3665-09,111,10.625,VERTEX 30,112,,,,0.0,,,2.9,,5,VERTEX 30,112,,,,0.0,,,3.0,,
MAF11-W-3665-09,112,10.625,VERTEX 30,112,,,,0.0,,,2.9,,5,VERTEX 30,114,,,,0.0,,,2.9,,
MAF11-W-3665-09,113,10.625,VERTEX 30,119,,,,0.0,,,3.1,,5,VERTEX 30,120,,,,0.0,,,3.0,,
MAF11-W-3665-09,114,10.625,VERTEX 30,117,,,,0.0,,,3.1,,5,VERTEX 30,118,,,,0.0,,,3.0,,
MAF11-W-3665-09,200,10.625,VERTEX 30,366,,,,2.0,,,6.0,,14,VERTEX 30,368,,,,2.0,,,5.8,,
MAF11-W-3665-09,201,10.625,VERTEX 30,321,,,,2.0,,,6.0,,13,VERTEX 30,320,,,,2.0,,,5.5,,
MAF11-W-3665-09,202,10.625,VERTEX 30,286,,,,2.0,,,6.0,,13,VERTEX 30,290,,,,2.0,,,6.0,,
