MALLA,ID POZO,DIAMETRO PLG,CARGA FONDO DISENO ,KG FONDO DISENO ,AIRE FONDO DISENO ,CARGA COLUMNA  DISENO,KG COLUMNA DISENO,AIRE INTERMEDIO DISENO ,GRAVILLA INTERMEDIO DISENO ,AIRE SUPERIOR DISENO,TACO GRAVILLA DISENO ,SECUENCIA DETONACION DISENO,PROFUNDIDAD REAL,CARGA FONDO REAL ,KG FONDO REAL ,AIRE FONDO REAL ,CARGA COLUMNA REAL,KG COLUMNA REAL,AIRE INTERMEDIO REAL ,GRAVILLA INTERMEDIO REAL ,AIRE SUPERIOR REAL,TACO GRAVILLA REAL ,SECUENCIA DETONACION REAL,AGUA
MAF11-W-3890-03,118,6.5,BLENDEX 930,64,,,,2.0,,,2.5,,7.5,BLENDEX 930,65,,,,2,,,2.5,,
MAF11-W-3890-03,119,6.5,BLENDEX 930,64,,,,2.0,,,2.5,,7,BLENDEX 930,60,,,,2,,,2.5,,
MAF11-W-3890-03,120,6.5,BLENDEX 930,64,,,,2.0,,,2.5,,7,BLENDEX 930,60,,,,2,,,2.5,,
MAF11-W-3890-03,121,6.5,BLENDEX 930,64,,,,2.0,,,2.5,,7,BLENDEX 930,60,,,,2,,,2.5,,
MAF11-W-3890-03,122,6.5,BLENDEX 930,64,,,,2.0,,,2.5,,7.5,BLENDEX 930,65,,,,2,,,2.5,,
MAF11-W-3890-03,123,6.5,BLENDEX 930,64,,,,2.0,,,2.5,,7.5,BLENDEX 930,65,,,,2,,,2.5,,
MAF11-W-3890-03,124,9.875,BLENDEX 930,124,,,,2.0,,,3.0,,7.5,BLENDEX 930,124,,,,2,,,3,,
MAF11-W-3890-03,125,9.875,BLENDEX 930,124,,,,2.0,,,3.0,,7.5,BLENDEX 930,124,,,,2,,,3,,
MAF11-W-3890-03,126,9.875,BLENDEX 930,124,,,,2.0,,,3.0,,7.5,BLENDEX 930,124,,,,2,,,3,,
MAF11-W-3890-03,127,9.875,BLENDEX 930,124,,,,2.0,,,3.0,,7.5,BLENDEX 930,124,,,,2,,,3,,
MAF11-W-3890-03,128,6.5,BLENDEX 930,64,,,,2.0,,,2.5,,7.5,BLENDEX 930,60,,,,2,,,2.5,,
MAF11-W-3890-03,129,6.5,BLENDEX 930,64,,,,2.0,,,2.5,,7.5,BLENDEX 930,60,,,,2,,,2.5,,
MAF11-W-3890-03,130,6.5,BLENDEX 930,64,,,,2.0,,,2.5,,7.5,BLENDEX 930,60,,,,2,,,2.5,,
MAF11-W-3890-03,131,6.5,BLENDEX 930,64,,,,2.0,,,2.5,,7.5,BLENDEX 930,65,,,,2,,,2.5,,
