MALLA,ID POZO,DIAMETRO PLG,CARGA FONDO DISENO ,KG FONDO DISENO ,AIRE FONDO DISENO ,CARGA COLUMNA  DISENO,KG COLUMNA DISENO,AIRE INTERMEDIO DISENO ,GRAVILLA INTERMEDIO DISENO ,AIRE SUPERIOR DISENO,TACO GRAVILLA DISENO ,SECUENCIA DETONACION DISENO,PROFUNDIDAD REAL,CARGA FONDO REAL ,KG FONDO REAL ,AIRE FONDO REAL ,CARGA COLUMNA REAL,KG COLUMNA REAL,AIRE INTERMEDIO REAL ,GRAVILLA INTERMEDIO REAL ,AIRE SUPERIOR REAL,TACO GRAVILLA REAL ,SECUENCIA DETONACION REAL,AGUA
MAF11-W-3830-08,120,9.875,BLENDEX 930,198,,,,6.0,,,5.0,,15,BLENDEX 930,200,,,,6,,,5,,
MAF11-W-3830-08,121,9.875,BLENDEX 930,198,,,,6.0,,,5.0,,15,BLENDEX 930,200,,,,6,,,5,,
MAF11-W-3830-08,122,9.875,BLENDEX 930,198,,,,6.0,,,5.0,,15,BLENDEX 930,200,,,,6,,,5,,
MAF11-W-3830-08,123,9.875,BLENDEX 930,198,,,,6.0,,,5.0,,15,BLENDEX 930,200,,,,6,,,5,,
MAF11-W-3830-08,124,9.875,BLENDEX 930,198,,,,6.0,,,5.0,,15,BLENDEX 930,200,,,,6,,,5,,
MAF11-W-3830-08,125,9.875,BLENDEX 930,198,,,,6.0,,,5.0,,15,BLENDEX 930,200,,,,6,,,5,,
MAF11-W-3830-08,126,9.875,BLENDEX 930,198,,,,6.0,,,5.0,,15,BLENDEX 930,200,,,,6,,,5,,
MAF11-W-3830-08,127,9.875,BLENDEX 930,198,,,,6.0,,,5.0,,15,BLENDEX 930,200,,,,6,,,5,,
MAF11-W-3830-08,128,9.875,BLENDEX 930,198,,,,6.0,,,5.0,,15,BLENDEX 930,200,,,,6,,,5,,
MAF11-W-3830-08,129,9.875,BLENDEX 930,198,,,,6.0,,,5.0,,15,BLENDEX 930,200,,,,6,,,5,,
MAF11-W-3830-08,130,9.875,BLENDEX 930,198,,,,6.0,,,5.0,,15,BLENDEX 930,200,,,,6,,,5,,
MAF11-W-3830-08,131,9.875,BLENDEX 930,198,,,,6.0,,,5.0,,15,BLENDEX 930,200,,,,6,,,5,,
MAF11-W-3830-08,132,9.875,BLENDEX 930,198,,,,6.0,,,5.0,,15,BLENDEX 930,200,,,,6,,,5,,
MAF11-W-3830-08,133,9.875,BLENDEX 930,198,,,,6.0,,,5.0,,15,BLENDEX 930,200,,,,6,,,5,,
MAF11-W-3830-08,134,9.875,BLENDEX 930,198,,,,6.0,,,5.0,,15,BLENDEX 930,200,,,,6,,,5,,
MAF11-W-3830-08,135,9.875,BLENDEX 930,198,,,,6.0,,,5.0,,15,BLENDEX 930,200,,,,6,,,5,,
MAF11-W-3830-08,136,9.875,BLENDEX 930,198,,,,6.0,,,5.0,,15,BLENDEX 930,200,,,,6,,,5,,
MAF11-W-3830-08,137,9.875,BLENDEX 930,198,,,,6.0,,,5.0,,15,BLENDEX 930,200,,,,6,,,5,,
MAF11-W-3830-08,138,9.875,BLENDEX 930,198,,,,6.0,,,5.0,,15,BLENDEX 930,200,,,,6,,,5,,
MAF11-W-3830-08,139,9.875,BLENDEX 930,198,,,,6.0,,,5.0,,15,BLENDEX 930,200,,,,6,,,5,,
MAF11-W-3830-08,140,9.875,BLENDEX 930,198,,,,6.0,,,5.0,,15,BLENDEX 930,200,,,,6,,,5,,
MAF11-W-3830-08,141,9.875,BLENDEX 930,198,,,,6.0,,,5.0,,15,BLENDEX 930,200,,,,6,,,5,,
MAF11-W-3830-08,142,9.875,BLENDEX 930,198,,,,6.0,,,5.0,,15,BLENDEX 930,200,,,,6,,,5,,
MAF11-W-3830-08,143,9.875,BLENDEX 930,198,,,,6.0,,,5.0,,15,BLENDEX 930,200,,,,6,,,5,,
MAF11-W-3830-08,144,9.875,BLENDEX 930,198,,,,6.0,,,5.0,,15,BLENDEX 930,200,,,,6,,,5,,
MAF11-W-3830-08,145,9.875,BLENDEX 930,198,,,,6.0,,,5.0,,15,BLENDEX 930,200,,,,6,,,5,,
MAF11-W-3830-08,146,9.875,BLENDEX 930,198,,,,6.0,,,5.0,,15,BLENDEX 930,200,,,,6,,,5,,
MAF11-W-3830-08,147,9.875,BLENDEX 930,198,,,,6.0,,,5.0,,15,BLENDEX 930,200,,,,6,,,5,,
