MALLA,ID POZO,DIAMETRO PLG,CARGA FONDO DISENO ,KG FONDO DISENO ,AIRE FONDO DISENO ,CARGA COLUMNA  DISENO,KG COLUMNA DISENO,AIRE INTERMEDIO DISENO ,GRAVILLA INTERMEDIO DISENO ,AIRE SUPERIOR DISENO,TACO GRAVILLA DISENO ,SECUENCIA DETONACION DISENO,PROFUNDIDAD REAL,CARGA FONDO REAL ,KG FONDO REAL ,AIRE FONDO REAL ,CARGA COLUMNA REAL,KG COLUMNA REAL,AIRE INTERMEDIO REAL ,GRAVILLA INTERMEDIO REAL ,AIRE SUPERIOR REAL,TACO GRAVILLA REAL ,SECUENCIA DETONACION REAL,AGUA
MAF11-W-3620-02,150,10.625,VERTEX 30,200,,,,8.5,,,4.0,,,,,,,,,,,,,
MAF11-W-3620-02,151,10.625,VERTEX 30,200,,,,8.5,,,4.0,,,,,,,,,,,,,
MAF11-W-3620-02,152,10.625,VERTEX 30,200,,,,8.5,,,4.0,,,,,,,,,,,,,
MAF11-W-3620-02,153,10.625,VERTEX 30,200,,,,8.5,,,4.0,,,,,,,,,,,,,
MAF11-W-3620-02,154,10.625,VERTEX 30,200,,,,8.5,,,4.0,,,,,,,,,,,,,
MAF11-W-3620-02,155,10.625,VERTEX 30,200,,,,8.5,,,4.0,,,,,,,,,,,,,
MAF11-W-3620-02,156,10.625,VERTEX 30,200,,,,8.5,,,4.0,,,,,,,,,,,,,
MAF11-W-3620-02,157,10.625,VERTEX 30,200,,,,8.5,,,4.0,,,,,,,,,,,,,
MAF11-W-3620-02,250,10.625,VERTEX 30,401,,,,5.0,,,4.0,,,,,,,,,,,,,
MAF11-W-3620-02,251,10.625,VERTEX 30,401,,,,5.0,,,4.0,,,,,,,,,,,,,
MAF11-W-3620-02,252,10.625,VERTEX 30,401,,,,5.0,,,4.0,,,,,,,,,,,,,
MAF11-W-3620-02,253,10.625,VERTEX 30,401,,,,5.0,,,4.0,,,,,,,,,,,,,
MAF11-W-3620-02,254,10.625,VERTEX 30,401,,,,5.0,,,4.0,,,,,,,,,,,,,
MAF11-W-3620-02,255,10.625,VERTEX 30,401,,,,3.0,,,4.0,,,,,,,,,,,,,
MAF11-W-3620-02,350,10.625,VERTEX 70,614,,,,1.0,,,5.0,,,,,,,,,,,,,
MAF11-W-3620-02,351,10.625,VERTEX 70,614,,,,1.0,,,5.0,,,,,,,,,,,,,
MAF11-W-3620-02,352,10.625,VERTEX 70,614,,,,1.0,,,5.0,,,,,,,,,,,,,
MAF11-W-3620-02,353,10.625,VERTEX 70,614,,,,1.0,,,5.0,,,,,,,,,,,,,
MAF11-W-3620-02,354,10.625,VERTEX 70,614,,,,1.0,,,5.0,,,,,,,,,,,,,
MAF11-W-3620-02,450,12.25,VERTEX 70,918,,,,0.0,,,7.0,,,,,,,,,,,,,
MAF11-W-3620-02,451,12.25,VERTEX 70,918,,,,0.0,,,7.0,,,,,,,,,,,,,
MAF11-W-3620-02,452,12.25,VERTEX 70,918,,,,0.0,,,7.0,,,,,,,,,,,,,
MAF11-W-3620-02,453,12.25,VERTEX 70,918,,,,0.0,,,7.0,,,,,,,,,,,,,
MAF11-W-3620-02,601,12.25,VERTEX 70,918,,,,0.0,,,7.0,,,,,,,,,,,,,
MAF11-W-3620-02,602,12.25,VERTEX 70,918,,,,0.0,,,7.0,,,,,,,,,,,,,
MAF11-W-3620-02,5001,10.625,VERTEX 70,767,,,,1.0,,,5.0,,,,,,,,,,,,,
MAF11-W-3620-02,5002,12.25,VERTEX 70,918,,,,0.0,,,7.0,,,,,,,,,,,,,
MAF11-W-3620-02,5003,12.25,VERTEX 70,918,,,,0.0,,,7.0,,,,,,,,,,,,,
MAF11-W-3620-02,5004,12.25,VERTEX 70,918,,,,0.0,,,7.0,,,,,,,,,,,,,
MAF11-W-3620-02,5005,12.25,VERTEX 70,918,,,,0.0,,,7.0,,,,,,,,,,,,,
MAF11-W-3620-02,5006,12.25,VERTEX 70,918,,,,0.0,,,7.0,,,,,,,,,,,,,
MAF11-W-3620-04,101,10.625,VERTEX 30,229,,,,8.0,,,4.0,,,,,,,,,,,,,
