MALLA,ID POZO,DIAMETRO PLG,CARGA FONDO DISENO ,KG FONDO DISENO ,AIRE FONDO DISENO ,CARGA COLUMNA  DISENO,KG COLUMNA DISENO,AIRE INTERMEDIO DISENO ,GRAVILLA INTERMEDIO DISENO ,AIRE SUPERIOR DISENO,TACO GRAVILLA DISENO ,SECUENCIA DETONACION DISENO,PROFUNDIDAD REAL,CARGA FONDO REAL ,KG FONDO REAL ,AIRE FONDO REAL ,CARGA COLUMNA REAL,KG COLUMNA REAL,AIRE INTERMEDIO REAL ,GRAVILLA INTERMEDIO REAL ,AIRE SUPERIOR REAL,TACO GRAVILLA REAL ,SECUENCIA DETONACION REAL,AGUA
MAF7-R1-2765-02,183,7.875,EMULTEX BN,145,,,,1.5,,,4,,9,EMULTEX BN,146,,,,1.5,,,4,,
MAF7-R1-2765-02,184,7.875,EMULTEX BN,145,,,,0.7,,,4,,9,EMULTEX BN,146,,,,0.7,,,4.8,,
MAF7-R1-2765-02,185,7.875,EMULTEX BN,145,,,,0.6,,,4,,8,EMULTEX BN,148,,,,0.6,,,4,,
MAF7-R1-2765-02,186,7.875,EMULTEX BN,145,,,,0.8,,,4,,8,EMULTEX BN,145,,,,0.8,,,3.8,,
MAF7-R1-2765-02,187,7.875,EMULTEX BN,145,,,,0.6,,,4,,8,EMULTEX BN,145,,,,0.6,,,4,,
MAF7-R1-2765-02,188,7.875,EMULTEX BN,145,,,,0.8,,,4,,8,EMULTEX BN,148,,,,0.8,,,3.8,,
MAF7-R1-2765-02,280,7.875,EMULTEX BN,108,,,,0,,,3.9,,6.4,VERTEX 70,104,,,,0,,,3.9,,
MAF7-R1-2765-02,281,7.875,EMULTEX BN,96,,,,0,,,3.5,,6,VERTEX 70,98,,,,0,,,3.6,,
MAF7-R1-2765-02,282,7.875,EMULTEX BN,98,,,,0,,,3.5,,6,VERTEX 70,98,,,,0,,,3.5,,
MAF7-R1-2765-02,283,7.875,EMULTEX BN,98,,,,0,,,3.5,,6,VERTEX 70,98,,,,0,,,3.5,,
MAF7-R1-2765-02,284,7.875,EMULTEX BN,100,,,,0,,,3.6,,6,VERTEX 70,100,,,,0,,,3.6,,
MAF7-R1-2765-02,285,7.875,EMULTEX BN,88,,,,0,,,3.2,,5.8,VERTEX 70,86,,,,0,,,3.8,,
MAF7-R1-2765-02,286,7.875,EMULTEX BN,103,,,,0,,,3.7,,6.2,EMULTEX BN,105,,,,0,,,3.7,,
MAF7-R1-2765-02,355,10.625,EMULTEX BN,193,,,,0,,,3.8,,6,EMULTEX BN,194,,,,0,,,3.5,,
MAF7-R1-2765-02,356,10.625,EMULTEX BN,202,,,,0,,,4,,6,EMULTEX BN,200,,,,0,,,3.4,,
MAF7-R1-2765-02,357,10.625,EMULTEX BN,187,,,,0,,,3.7,,6,EMULTEX BN,180,,,,0,,,3.7,,
MAF7-R1-2765-02,358,10.625,EMULTEX BN,196,,,,0,,,3.9,,6.2,EMULTEX BN,190,,,,0,,,3.7,,
MAF7-R1-2765-02,359,10.625,EMULTEX BN,196,,,,0,,,3.9,,6.5,EMULTEX BN,195,,,,0,,,3.9,,
MAF7-R1-2765-02,360,10.625,EMULTEX BN,340,,,,0,,,5,,9.5,EMULTEX BN,340,,,,0,,,5,,
MAF7-R1-2765-03,1309,12.25,VERTEX 70,510,,,,0,,,5,,,,,,,,,,,,,
MAF7-R1-2765-03,1310,12.25,VERTEX 70,510,,,,0,,,5,,,,,,,,,,,,,
MAF7-R1-2765-03,1311,12.25,VERTEX 70,520,,,,0,,,5,,10,VERTEX 70,520,,,,0,,,5,,
MAF7-R1-2765-03,1312,12.25,VERTEX 70,540,,,,0,,,5,,10.3,VERTEX 70,540,,,,0,,,5,,
MAF7-R1-2765-03,1409,12.25,VERTEX 70,510,,,,0,,,5,,,,,,,,,,,,,
MAF7-R1-2765-03,1410,12.25,VERTEX 70,510,,,,0,,,5,,10,VERTEX 70,520,,,,0,,,5,,
MAF7-R1-2765-03,1411,12.25,VERTEX 70,520,,,,0,,,5,,10.1,VERTEX 70,520,,,,0,,,5,,
MAF7-R1-2765-03,1412,12.25,VERTEX 70,1325,,,,0,,,6,,10,VERTEX 70,520,,,,0,,,5,,
MAF7-R1-2765-03,1413,12.25,VERTEX 70,1376,,,,0,,,6,,10.4,VERTEX 70,550,,,,0,,,5,,
MAF7-R1-2765-03,1508,12.25,VERTEX 70,540,,,,0,,,5,,,,,,,,,,,,,
MAF7-R1-2765-03,1509,12.25,VERTEX 70,510,,,,0,,,5,,,,,,,,,,,,,
MAF7-R1-2765-03,1510,12.25,VERTEX 70,530,,,,0,,,5,,10.2,VERTEX 70,530,,,,0,,,5,,
MAF7-R1-2765-03,1511,12.25,VERTEX 70,1295,,,,0,,,6,,10.5,VERTEX 70,480,,,,0,,,5.8,,
