MALLA,ID POZO,DIAMETRO PLG,CARGA FONDO DISENO ,KG FONDO DISENO ,AIRE FONDO DISENO ,CARGA COLUMNA  DISENO,KG COLUMNA DISENO,AIRE INTERMEDIO DISENO ,GRAVILLA INTERMEDIO DISENO ,AIRE SUPERIOR DISENO,TACO GRAVILLA DISENO ,SECUENCIA DETONACION DISENO,PROFUNDIDAD REAL,CARGA FONDO REAL ,KG FONDO REAL ,AIRE FONDO REAL ,CARGA COLUMNA REAL,KG COLUMNA REAL,AIRE INTERMEDIO REAL ,GRAVILLA INTERMEDIO REAL ,AIRE SUPERIOR REAL,TACO GRAVILLA REAL ,SECUENCIA DETONACION REAL,AGUA
MAF9-SE-3320-08,1914,12.25,VERTEX 50,904,,,,1.0,,,7.0,,16.9,VERTEX 50,890,,,,1,,,7,,
MAF9-SE-3320-08,2114,12.25,VERTEX 50,904,,,,1.0,,,7.0,,17,VERTEX 50,900,,,,1,,,7,,
MAF9-SE-3320-08,2314,12.25,VERTEX 50,904,,,,1.0,,,7.0,,16,VERTEX 50,905,,,,1,,,6,,
MAF9-SE-3320-08,2508,12.25,VERTEX 50,904,,,,1.0,,,7.0,,16.9,VERTEX 50,890,,,,1,,,7,,
MAF9-SE-3320-08,2509,12.25,VERTEX 50,904,,,,1.0,,,7.0,,16,VERTEX 50,904,,,,1,,,6,,
MAF9-SE-3320-08,2510,12.25,VERTEX 50,904,,,,1.0,,,7.0,,14.2,VERTEX 50,702,,,,1,,,6,,
MAF9-SE-3320-08,2511,12.25,VERTEX 50,904,,,,1.0,,,7.0,,16,VERTEX 50,904,,,,1,,,6,,
MAF9-SE-3320-08,2608,12.25,VERTEX 50,904,,,,1.0,,,7.0,,17,VERTEX 50,900,,,,1,,,7,,
MAF9-SE-3320-08,2609,12.25,VERTEX 50,904,,,,1.0,,,7.0,,17,VERTEX 50,900,,,,1,,,7,,
MAF9-SE-3320-08,2707,12.25,VERTEX 50,904,,,,1.0,,,7.0,,,,,,,,,,,,,
MAF9-SE-3320-09,801,12.25,VERTEX 50,904,,,,1.0,,,7.0,,17,VERTEX 50,900,,,,1,,,7,,
MAF9-SE-3320-09,802,12.25,VERTEX 50,904,,,,1.0,,,7.0,,16.9,VERTEX 50,890,,,,1,,,7,,
MAF9-SE-3320-09,803,12.25,VERTEX 50,904,,,,1.0,,,7.0,,17,VERTEX 50,900,,,,1,,,7,,
MAF9-SE-3320-09,804,12.25,VERTEX 50,904,,,,1.0,,,7.0,,16.8,VERTEX 50,880,,,,1,,,7,,
MAF9-SE-3320-09,805,12.25,VERTEX 50,904,,,,1.0,,,7.0,,17,VERTEX 50,900,,,,1,,,7,,
MAF9-SE-3320-09,806,12.25,VERTEX 50,904,,,,1.0,,,7.0,,,,,,,,,,,,,
MAF9-SE-3320-09,807,12.25,VERTEX 50,904,,,,1.0,,,7.0,,,,,,,,,,,,,
MAF9-SE-3320-09,808,12.25,VERTEX 50,904,,,,1.0,,,7.0,,,,,,,,,,,,,
MAF9-SE-3320-09,809,12.25,VERTEX 50,904,,,,1.0,,,7.0,,,,,,,,,,,,,
MAF9-SE-3320-09,901,12.25,VERTEX 50,904,,,,1.0,,,7.0,,17,VERTEX 50,900,,,,1,,,7,,
MAF9-SE-3320-09,902,12.25,VERTEX 50,904,,,,1.0,,,7.0,,16.9,VERTEX 50,890,,,,1,,,7,,
MAF9-SE-3320-09,903,12.25,VERTEX 50,904,,,,1.0,,,7.0,,16.9,VERTEX 50,890,,,,1,,,7,,
MAF9-SE-3320-09,904,12.25,VERTEX 50,904,,,,1.0,,,7.0,,17,VERTEX 50,900,,,,1,,,7,,
