MALLA,ID POZO,DIAMETRO PLG,CARGA FONDO DISENO ,KG FONDO DISENO ,AIRE FONDO DISENO ,CARGA COLUMNA  DISENO,KG COLUMNA DISENO,AIRE INTERMEDIO DISENO ,GRAVILLA INTERMEDIO DISENO ,AIRE SUPERIOR DISENO,TACO GRAVILLA DISENO ,SECUENCIA DETONACION DISENO,PROFUNDIDAD REAL,CARGA FONDO REAL ,KG FONDO REAL ,AIRE FONDO REAL ,CARGA COLUMNA REAL,KG COLUMNA REAL,AIRE INTERMEDIO REAL ,GRAVILLA INTERMEDIO REAL ,AIRE SUPERIOR REAL,TACO GRAVILLA REAL ,SECUENCIA DETONACION REAL,AGUA
MAF9-SE-3395-02,154,10.625,BLENDEX 930,286,,,,6.5,,,4.5,,16,BLENDEX 930,290,,,,6.517,,,4.5,,
MAF9-SE-3395-02,155,10.625,BLENDEX 930,286,,,,6.5,,,4.5,,16,BLENDEX 930,290,,,,6.519,,,4.5,,
MAF9-SE-3395-02,156,10.625,BLENDEX 930,286,,,,6.8,,,4.5,,16,BLENDEX 930,290,,,,6.5,,,4.5,,
MAF9-SE-3395-02,157,10.625,BLENDEX 930,286,,,,6.6,,,4.5,,16,BLENDEX 930,290,,,,6.5,,,4.5,,
MAF9-SE-3395-02,158,10.625,BLENDEX 930,286,,,,6.7,,,4.5,,16,BLENDEX 930,290,,,,6.5,,,4.5,,
MAF9-SE-3395-02,159,10.625,BLENDEX 930,286,,,,6.6,,,4.5,,16,BLENDEX 930,290,,,,6.589,,,4.5,,
MAF9-SE-3395-02,160,10.625,BLENDEX 930,286,,,,6.5,,,4.5,,16,BLENDEX 930,290,,,,6.5,,,4.5,,
MAF9-SE-3395-02,161,10.625,BLENDEX 930,286,,,,6.5,,,4.5,,16,BLENDEX 930,290,,,,6.514,,,4.5,,
MAF9-SE-3395-02,162,10.625,BLENDEX 930,286,,,,6.5,,,4.5,,16,BLENDEX 930,290,,,,6.528,,,4.5,,
MAF9-SE-3395-02,163,10.625,BLENDEX 930,286,,,,0.0,,,11.0,,15.8,BLENDEX 930,286,,,,0,,,10.9,,
MAF9-SE-3395-02,164,10.625,BLENDEX 930,229,,,,7.5,,,4.5,,16,BLENDEX 930,230,,,,7.5,,,4.5,,
MAF9-SE-3395-02,165,10.625,BLENDEX 930,229,,,,7.5,,,4.5,,16,BLENDEX 930,230,,,,7.5,,,4.5,,
MAF9-SE-3395-02,166,10.625,BLENDEX 930,286,,,,6.5,,,4.5,,16,BLENDEX 930,288,,,,6.527,,,4.5,,
MAF9-SE-3395-02,167,10.625,BLENDEX 930,286,,,,6.5,,,4.5,,16.1,BLENDEX 930,286,,,,6.532,,,4.5,,
MAF9-SE-3395-02,168,10.625,BLENDEX 930,286,,,,6.5,,,4.5,,16,BLENDEX 930,290,,,,6.522,,,4.5,,
MAF9-SE-3395-02,169,10.625,BLENDEX 930,286,,,,6.5,,,4.5,,16,BLENDEX 930,290,,,,6.523,,,4.5,,
MAF9-SE-3395-02,170,10.625,BLENDEX 930,286,,,,6.7,,,4.5,,16,BLENDEX 930,290,,,,6.5,,,4.5,,
MAF9-SE-3395-02,171,10.625,BLENDEX 930,286,,,,6.6,,,4.5,,16,BLENDEX 930,290,,,,6.5,,,4.5,,
MAF9-SE-3395-02,172,10.625,BLENDEX 930,286,,,,6.5,,,4.5,,16,BLENDEX 930,290,,,,6.548,,,4.5,,
MAF9-SE-3395-02,173,10.625,BLENDEX 930,286,,,,6.5,,,4.5,,16,BLENDEX 930,290,,,,6.545,,,4.5,,
MAF9-SE-3395-02,174,10.625,BLENDEX 930,286,,,,6.5,,,4.5,,16,BLENDEX 930,290,,,,6.54,,,4.5,,
MAF9-SE-3395-02,175,10.625,BLENDEX 930,286,,,,6.5,,,4.5,,16,BLENDEX 930,288,,,,6.545,,,4.5,,
MAF9-SE-3395-02,176,10.625,BLENDEX 930,286,,,,6.5,,,4.5,,16,BLENDEX 930,290,,,,6.539,,,4.5,,
MAF9-SE-3395-02,241,10.625,BLENDEX 930,429,,,,4.0,,,4.5,,16,BLENDEX 930,430,,,,4.022,,,4.5,,
MAF9-SE-3395-02,242,10.625,BLENDEX 930,429,,,,4.0,,,4.5,,16,BLENDEX 930,430,,,,4.018,,,4.5,,
MAF9-SE-3395-02,243,10.625,BLENDEX 930,429,,,,4.1,,,4.5,,16,BLENDEX 930,430,,,,4.13,,,4.5,,
MAF9-SE-3395-02,244,10.625,BLENDEX 930,429,,,,4.1,,,4.5,,16,BLENDEX 930,430,,,,4.065,,,4.5,,
MAF9-SE-3395-02,245,10.625,BLENDEX 930,429,,,,4.0,,,4.5,,16,BLENDEX 930,430,,,,4.009,,,4.5,,
MAF9-SE-3395-02,246,10.625,BLENDEX 930,429,,,,4.1,,,4.5,,16,BLENDEX 930,430,,,,4.075,,,4.5,,
MAF9-SE-3395-02,247,10.625,BLENDEX 930,429,,,,4.0,,,4.5,,16,BLENDEX 930,430,,,,4.033,,,4.5,,
MAF9-SE-3395-02,248,10.625,BLENDEX 930,429,,,,4.1,,,4.5,,16,BLENDEX 930,430,,,,4.084,,,4.5,,
MAF9-SE-3395-02,249,10.625,BLENDEX 930,429,,,,4.0,,,4.5,,16,BLENDEX 930,430,,,,4.02,,,4.5,,
MAF9-SE-3395-02,250,10.625,BLENDEX 930,429,,,,4.1,,,4.5,,16,BLENDEX 930,430,,,,4.058,,,4.5,,
MAF9-SE-3395-02,251,10.625,BLENDEX 930,429,,,,4.0,,,4.5,,16,BLENDEX 930,430,,,,4.015,,,4.5,,
MAF9-SE-3395-02,252,10.625,BLENDEX 930,429,,,,4.0,,,4.5,,16,BLENDEX 930,430,,,,4.013,,,4.5,,
MAF9-SE-3395-02,253,10.625,BLENDEX 930,429,,,,4.0,,,4.5,,16,BLENDEX 930,430,,,,4.011,,,4.5,,
