MALLA,ID POZO,DIAMETRO PLG,CARGA FONDO DISENO ,KG FONDO DISENO ,AIRE FONDO DISENO ,CARGA COLUMNA  DISENO,KG COLUMNA DISENO,AIRE INTERMEDIO DISENO ,GRAVILLA INTERMEDIO DISENO ,AIRE SUPERIOR DISENO,TACO GRAVILLA DISENO ,SECUENCIA DETONACION DISENO,PROFUNDIDAD REAL,CARGA FONDO REAL ,KG FONDO REAL ,AIRE FONDO REAL ,CARGA COLUMNA REAL,KG COLUMNA REAL,AIRE INTERMEDIO REAL ,GRAVILLA INTERMEDIO REAL ,AIRE SUPERIOR REAL,TACO GRAVILLA REAL ,SECUENCIA DETONACION REAL,AGUA
MAF7-R1-2787-04,1101,12.25,EMULTEX BN,502,,,,,,,5.0,,,EMULTEX BN,,,,,,,,,,
MAF7-R1-2787-04,1701,12.25,EMULTEX BN,502,,,,,,,5.0,,10,EMULTEX BN,505,,,,0,,,5,,1
MAF7-R1-2787-04,1801,12.25,EMULTEX BN,502,,,,,,,5.0,,10,EMULTEX BN,505,,,,0,,,5,,1
MAF7-R1-2787-05,326,12.25,EMULTEX BN,502,,,,,,,5.0,,,EMULTEX BN,,,,,,,,,,
MAF7-R1-2787-06,101,7.875,EMULTEX BN,95,,,,2.5,,,4.0,,8.8,EMULTEX BN,95,,,,2.5,,,4,,
MAF7-R1-2787-06,102,7.875,EMULTEX BN,95,,,,2.5,,,4.0,,8.8,EMULTEX BN,95,,,,2.5,,,4,,
MAF7-R1-2787-06,103,7.875,EMULTEX BN,91,,,,2.5,,,4.0,,8.7,EMULTEX BN,90,,,,2.5,,,4,,
MAF7-R1-2787-06,104,7.875,EMULTEX BN,83,,,,2.5,,,4.0,,8.5,EMULTEX BN,85,,,,2.5,,,4,,
MAF7-R1-2787-06,105,7.875,EMULTEX BN,83,,,,2.5,,,4.0,,8.5,EMULTEX BN,85,,,,2.5,,,4,,
MAF7-R1-2787-06,106,7.875,EMULTEX BN,83,,,,2.5,,,4.0,,8.7,EMULTEX BN,85,,,,2.5,,,4,,
MAF7-R1-2787-06,107,7.875,EMULTEX BN,87,,,,2.5,,,4.0,,8.5,EMULTEX BN,85,,,,2.5,,,4,,
MAF7-R1-2787-06,108,7.875,EMULTEX BN,83,,,,2.4,,,4.0,,8.5,EMULTEX BN,85,,,,2.4,,,4,,
MAF7-R1-2787-06,109,7.875,EMULTEX BN,83,,,,2.1,,,4.0,,8,EMULTEX BN,85,,,,2.1,,,4,,
MAF7-R1-2787-06,110,7.875,EMULTEX BN,83,,,,2.1,,,4.0,,8.2,EMULTEX BN,85,,,,2.1,,,4,,
