MALLA,ID POZO,DIAMETRO PLG,CARGA FONDO DISENO ,KG FONDO DISENO ,AIRE FONDO DISENO ,CARGA COLUMNA  DISENO,KG COLUMNA DISENO,AIRE INTERMEDIO DISENO ,GRAVILLA INTERMEDIO DISENO ,AIRE SUPERIOR DISENO,TACO GRAVILLA DISENO ,SECUENCIA DETONACION DISENO,PROFUNDIDAD REAL,CARGA FONDO REAL ,KG FONDO REAL ,AIRE FONDO REAL ,CARGA COLUMNA REAL,KG COLUMNA REAL,AIRE INTERMEDIO REAL ,GRAVILLA INTERMEDIO REAL ,AIRE SUPERIOR REAL,TACO GRAVILLA REAL ,SECUENCIA DETONACION REAL,AGUA
MAF7-R1-2780-04,901,12.25,EMULTEX BN,1274,,,,,,,5.5,,18,EMULTEX BN,1274,,,,,,,5.5,,
MAF7-R1-2780-04,902,12.25,EMULTEX BN,1274,,,,,,,5.5,,18,EMULTEX BN,1274,,,,,,,5.5,,
MAF7-R1-2780-04,903,12.25,EMULTEX BN,1274,,,,,,,5.5,,18,EMULTEX BN,1274,,,,,,,5.5,,
MAF7-R1-2780-04,904,12.25,EMULTEX BN,969,,,,,,,5.5,,18.5,EMULTEX BN,1315,,,,,,,5.5,,
MAF7-R1-2780-04,905,12.25,EMULTEX BN,969,,,,,,,,,,,,,,,,,,,,
MAF7-R1-2780-04,906,12.25,EMULTEX BN,1274,,,,,,,5.5,,18,EMULTEX BN,1275,,,,,,,5.5,,
MAF7-R1-2780-04,907,12.25,EMULTEX BN,1274,,,,,,,5.5,,18.5,EMULTEX BN,1315,,,,,,,5.5,,
MAF7-R1-2780-04,908,12.25,EMULTEX BN,1274,,,,,,,5.5,,16.5,EMULTEX BN,1115,,,,,,,5.5,,
MAF7-R1-2780-04,909,12.25,EMULTEX BN,1274,,,,,,,5.5,,19,EMULTEX BN,1365,,,,,,,5.5,,
MAF7-R1-2780-04,910,12.25,EMULTEX BN,1274,,,,,,,5.5,,18.8,EMULTEX BN,1345,,,,,,,5.5,,
MAF7-R1-2780-04,911,12.25,EMULTEX BN,1070,,,,,,,5.5,,17.5,EMULTEX BN,1215,,,,,,,5.5,,
MAF7-R1-2780-04,912,12.25,EMULTEX BN,1070,,,,,,,5.5,,19,EMULTEX BN,1365,,,,,,,5.5,,
MAF7-R1-2780-04,913,12.25,EMULTEX BN,1070,,,,,,,5.5,,18.8,EMULTEX BN,1345,,,,,,,5.5,,
