MALLA,ID POZO,DIAMETRO PLG,CARGA FONDO DISENO ,KG FONDO DISENO ,AIRE FONDO DISENO ,CARGA COLUMNA  DISENO,KG COLUMNA DISENO,AIRE INTERMEDIO DISENO ,GRAVILLA INTERMEDIO DISENO ,AIRE SUPERIOR DISENO,TACO GRAVILLA DISENO ,SECUENCIA DETONACION DISENO,PROFUNDIDAD REAL,CARGA FONDO REAL ,KG FONDO REAL ,AIRE FONDO REAL ,CARGA COLUMNA REAL,KG COLUMNA REAL,AIRE INTERMEDIO REAL ,GRAVILLA INTERMEDIO REAL ,AIRE SUPERIOR REAL,TACO GRAVILLA REAL ,SECUENCIA DETONACION REAL,AGUA
MAF11-W-3845-04,135,7.875,BLENDEX 930,198,,,,6.0,,,5.0,,15,BLENDEX 930,121,,,,6,,,5,,
MAF11-W-3845-04,136,7.875,BLENDEX 930,198,,,,6.0,,,5.0,,15,BLENDEX 930,121,,,,6,,,5,,
MAF11-W-3845-04,137,9.875,BLENDEX 930,198,,,,6.0,,,5.0,,15,BLENDEX 930,198,,,,6,,,5,,
MAF11-W-3845-04,138,9.875,BLENDEX 930,198,,,,6.0,,,5.0,,15,BLENDEX 930,198,,,,6,,,5,,
MAF11-W-3845-04,139,9.875,BLENDEX 930,198,,,,6.0,,,5.0,,15,BLENDEX 930,198,,,,6,,,5,,
MAF11-W-3845-04,140,9.875,BLENDEX 930,198,,,,6.0,,,5.0,,15,BLENDEX 930,198,,,,6,,,5,,
MAF11-W-3845-04,141,9.875,BLENDEX 930,198,,,,6.0,,,5.0,,15,BLENDEX 930,198,,,,6,,,5,,
MAF11-W-3845-04,142,9.875,BLENDEX 930,198,,,,6.0,,,5.0,,15,BLENDEX 930,198,,,,6,,,5,,
MAF11-W-3845-04,143,9.875,BLENDEX 930,198,,,,6.0,,,5.0,,15,BLENDEX 930,198,,,,6,,,5,,
MAF11-W-3845-04,144,9.875,BLENDEX 930,198,,,,6.0,,,5.0,,14,BLENDEX 930,198,,,,5,,,5,,
MAF11-W-3845-04,145,9.875,BLENDEX 930,198,,,,6.0,,,5.0,,14,BLENDEX 930,198,,,,5,,,5,,
MAF11-W-3845-04,146,9.875,BLENDEX 930,198,,,,6.0,,,5.0,,15,BLENDEX 930,198,,,,6,,,5,,
MAF11-W-3845-04,147,9.875,BLENDEX 930,198,,,,6.0,,,5.0,,15,BLENDEX 930,198,,,,6,,,5,,
MAF11-W-3845-04,148,9.875,BLENDEX 930,198,,,,6.0,,,5.0,,15,BLENDEX 930,198,,,,6,,,5,,
MAF11-W-3845-04,149,9.875,BLENDEX 930,198,,,,6.0,,,5.0,,15,BLENDEX 930,198,,,,6,,,5,,
MAF11-W-3845-04,150,9.875,BLENDEX 930,198,,,,6.0,,,5.0,,15,BLENDEX 930,198,,,,6,,,5,,
MAF11-W-3845-04,151,9.875,BLENDEX 930,198,,,,6.0,,,5.0,,15,BLENDEX 930,198,,,,6,,,5,,
MAF11-W-3845-04,152,9.875,BLENDEX 930,198,,,,6.0,,,5.0,,15,BLENDEX 930,198,,,,6,,,5,,
MAF11-W-3845-04,153,9.875,BLENDEX 930,198,,,,6.0,,,5.0,,15,BLENDEX 930,198,,,,6,,,5,,
MAF11-W-3845-04,154,9.875,BLENDEX 930,198,,,,6.0,,,5.0,,15,BLENDEX 930,198,,,,6,,,5,,
MAF11-W-3845-04,155,9.875,BLENDEX 930,198,,,,6.0,,,5.0,,15,BLENDEX 930,198,,,,6,,,5,,
MAF11-W-3845-04,156,9.875,BLENDEX 930,198,,,,6.0,,,5.0,,15,BLENDEX 930,198,,,,6,,,5,,
MAF11-W-3845-04,157,9.875,BLENDEX 930,198,,,,6.0,,,5.0,,15,BLENDEX 930,198,,,,6,,,5,,
MAF11-W-3845-04,158,9.875,BLENDEX 930,198,,,,6.0,,,5.0,,15,BLENDEX 930,198,,,,6,,,5,,
MAF11-W-3845-04,161,9.875,BLENDEX 930,198,,,,6.0,,,5.0,,15,BLENDEX 930,198,,,,6,,,5,,
MAF11-W-3845-04,231,7.875,BLENDEX 930,297,,,,4.0,,,5.0,,15,BLENDEX 930,182,,,,4,,,5,,
MAF11-W-3845-04,232,7.875,BLENDEX 930,297,,,,4.0,,,5.0,,15,BLENDEX 930,182,,,,4,,,5,,
MAF11-W-3845-04,233,9.875,BLENDEX 930,297,,,,4.0,,,5.0,,15,BLENDEX 930,297,,,,4,,,5,,
MAF11-W-3845-04,234,9.875,BLENDEX 930,297,,,,4.0,,,5.0,,15,BLENDEX 930,297,,,,4,,,5,,
MAF11-W-3845-04,235,9.875,BLENDEX 930,297,,,,4.0,,,5.0,,15,BLENDEX 930,297,,,,4,,,5,,
MAF11-W-3845-04,236,9.875,BLENDEX 930,297,,,,4.0,,,5.0,,15,BLENDEX 930,297,,,,4,,,5,,
MAF11-W-3845-04,237,9.875,BLENDEX 930,297,,,,4.0,,,5.0,,15,BLENDEX 930,297,,,,4,,,5,,
MAF11-W-3845-04,238,9.875,BLENDEX 930,297,,,,4.0,,,5.0,,15,BLENDEX 930,297,,,,4,,,5,,
MAF11-W-3845-04,239,9.875,BLENDEX 930,297,,,,4.0,,,5.0,,15,BLENDEX 930,297,,,,4,,,5,,
MAF11-W-3845-04,240,9.875,BLENDEX 930,297,,,,4.0,,,5.0,,15,BLENDEX 930,297,,,,4,,,5,,
MAF11-W-3845-04,241,9.875,BLENDEX 930,297,,,,4.0,,,5.0,,15,BLENDEX 930,297,,,,4,,,5,,
MAF11-W-3845-04,242,9.875,BLENDEX 930,297,,,,4.0,,,5.0,,15,BLENDEX 930,297,,,,4,,,5,,
MAF11-W-3845-04,243,9.875,BLENDEX 930,297,,,,4.0,,,5.0,,15,BLENDEX 930,297,,,,4,,,5,,
MAF11-W-3845-04,244,9.875,BLENDEX 930,297,,,,4.0,,,5.0,,15,BLENDEX 930,297,,,,4,,,5,,
MAF11-W-3845-04,245,9.875,BLENDEX 930,297,,,,4.0,,,5.0,,15,BLENDEX 930,297,,,,4,,,5,,
MAF11-W-3845-04,246,9.875,BLENDEX 930,297,,,,4.0,,,5.0,,15,BLENDEX 930,297,,,,4,,,5,,
MAF11-W-3845-04,247,9.875,BLENDEX 930,297,,,,4.0,,,5.0,,15,BLENDEX 930,297,,,,4,,,5,,
MAF11-W-3845-04,248,9.875,BLENDEX 930,297,,,,4.0,,,5.0,,15,BLENDEX 930,297,,,,4,,,5,,
MAF11-W-3845-04,249,9.875,BLENDEX 930,297,,,,4.0,,,5.0,,15,BLENDEX 930,297,,,,4,,,5,,
MAF11-W-3845-04,250,9.875,BLENDEX 930,297,,,,4.0,,,5.0,,15,BLENDEX 930,297,,,,4,,,5,,
MAF11-W-3845-04,252,9.875,BLENDEX 930,297,,,,4.0,,,5.0,,15,BLENDEX 930,297,,,,4,,,5,,
MAF11-W-3845-04,329,7.875,VERTEX 50,464,,,,,,,4.0,,15,VERTEX 50,470,,,,,,,4,,
MAF11-W-3845-04,330,7.875,VERTEX 50,469,,,,,,,4.0,,15,VERTEX 50,470,,,,,,,4,,
MAF11-W-3845-04,331,7.875,VERTEX 50,480,,,,,,,4.0,,15,VERTEX 50,470,,,,,,,4,,
