MALLA,ID POZO,DIAMETRO PLG,CARGA FONDO DISENO ,KG FONDO DISENO ,AIRE FONDO DISENO ,CARGA COLUMNA  DISENO,KG COLUMNA DISENO,AIRE INTERMEDIO DISENO ,GRAVILLA INTERMEDIO DISENO ,AIRE SUPERIOR DISENO,TACO GRAVILLA DISENO ,SECUENCIA DETONACION DISENO,PROFUNDIDAD REAL,CARGA FONDO REAL ,KG FONDO REAL ,AIRE FONDO REAL ,CARGA COLUMNA REAL,KG COLUMNA REAL,AIRE INTERMEDIO REAL ,GRAVILLA INTERMEDIO REAL ,AIRE SUPERIOR REAL,TACO GRAVILLA REAL ,SECUENCIA DETONACION REAL,AGUA
MAF9-SE-3380-03,163,10.625,BLENDEX 950,223,,BLENDEX 950,148.8124219,6.5,,,4.5,,,,,,BLENDEX 950,149,6.5,,,4.5,,
MAF9-SE-3380-03,164,10.625,BLENDEX 950,223,,BLENDEX 950,148.8124219,6.5,,,4.5,,16,BLENDEX 950,223,,BLENDEX 950,149,6.5,,,4.5,,
MAF9-SE-3380-03,165,10.625,BLENDEX 950,223,,BLENDEX 950,148.8124219,6.5,,,4.5,,15.5,BLENDEX 950,223,,BLENDEX 950,149,6.5,,,3.8,,
MAF9-SE-3380-03,248,10.625,BLENDEX 950,558,,,,3.0,,,4.5,,15,BLENDEX 950,558,,,,3,,,4.5,,
MAF9-SE-3380-03,249,10.625,BLENDEX 950,558,,,,3.0,,,4.5,,15,BLENDEX 950,558,,,,3,,,4.5,,
MAF9-SE-3380-03,344,12.25,BLENDEX 950,791,,,,0.0,,,6.0,,14,BLENDEX 950,791,,,,0,,,6,,
MAF9-SE-3380-03,438,12.25,VERTEX 50,854,,,,0.0,,,5.5,,14,VERTEX 50,854,,,,0,,,5.5,,
MAF9-SE-3380-06,516,12.25,VERTEX 50,904,,,,1.0,,,6.0,,16,VERTEX 50,910,,,,1,,,6,,
MAF9-SE-3380-06,618,12.25,VERTEX 50,904,,,,1.0,,,6.0,,16,VERTEX 50,905,,,,1,,,6,,
MAF9-SE-3380-06,719,12.25,VERTEX 50,904,,,,1.0,,,6.0,,16,VERTEX 50,904,,,,1,,,6,,
MAF9-SE-3380-06,822,12.25,VERTEX 50,904,,,,1.0,,,6.0,,16,VERTEX 50,904,,,,1,,,6,,
MAF9-SE-3380-06,922,12.25,VERTEX 50,904,,,,1.0,,,6.0,,16,VERTEX 50,910,,,,1,,,6,,
MAF9-SE-3380-06,1023,12.25,VERTEX 50,904,,,,1.0,,,6.0,,16,VERTEX 50,904,,,,1,,,6,,
MAF9-SE-3380-06,1123,12.25,VERTEX 50,904,,,,1.0,,,6.0,,14,VERTEX 50,702,,,,1,,,6,,
MAF9-SE-3380-06,1224,12.25,VERTEX 50,904,,,,1.0,,,6.0,,14,VERTEX 50,710,,,,1,,,6,,
MAF9-SE-3380-06,1324,12.25,VERTEX 50,904,,,,1.0,,,6.0,,,,,,,,,,,,,
MAF9-SE-3380-07,101,10.625,BLENDEX 950,223,,BLENDEX 950,148.8124219,5.5,,,4.5,,15,BLENDEX 950,223,,,,5.5,,,6.4,,
MAF9-SE-3380-07,102,10.625,BLENDEX 930,286,,,,6.0,,,4.0,,14.8,BLENDEX 930,286,,,,6,,,4,,
MAF9-SE-3380-07,103,10.625,BLENDEX 930,286,,,,6.0,,,4.0,,,,,,,,,,,,,
MAF9-SE-3380-07,104,10.625,BLENDEX 930,286,,,,6.0,,,4.0,,15,BLENDEX 930,286,,,,6,,,4,,
MAF9-SE-3380-07,105,10.625,BLENDEX 930,286,,,,6.0,,,4.0,,15,BLENDEX 930,286,,,,6,,,4,,
MAF9-SE-3380-07,106,10.625,BLENDEX 930,286,,,,6.0,,,4.0,,14.7,BLENDEX 930,286,,,,6,,,3.8,,
MAF9-SE-3380-07,107,10.625,BLENDEX 930,229,,,,8.0,,,4.0,,15.6,BLENDEX 930,229,,,,8,,,3.7,,
MAF9-SE-3380-07,108,10.625,BLENDEX 930,229,,,,8.0,,,4.0,,16,BLENDEX 930,229,,,,8,,,4,,
MAF9-SE-3380-07,109,10.625,BLENDEX 930,229,,,,8.0,,,4.0,,15.8,BLENDEX 930,229,,,,8,,,3.8,,
MAF9-SE-3380-07,110,10.625,BLENDEX 930,229,,,,8.0,,,4.0,,16,BLENDEX 930,229,,,,8,,,4,,
MAF9-SE-3380-07,111,10.625,BLENDEX 930,229,,,,8.0,,,4.0,,15.5,BLENDEX 930,229,,,,8,,,3.5,,
MAF9-SE-3380-07,112,10.625,BLENDEX 930,229,,,,8.0,,,4.0,,16,BLENDEX 930,229,,,,8,,,4,,
MAF9-SE-3380-07,113,10.625,BLENDEX 930,229,,,,8.0,,,4.0,,16,BLENDEX 930,229,,,,8,,,4,,
MAF9-SE-3380-07,114,10.625,BLENDEX 930,229,,,,8.0,,,4.0,,16,BLENDEX 930,229,,,,8,,,4,,
MAF9-SE-3380-07,115,10.625,BLENDEX 930,229,,,,8.0,,,4.0,,16,BLENDEX 930,229,,,,8,,,4,,
MAF9-SE-3380-07,116,10.625,BLENDEX 930,229,,,,8.0,,,4.0,,15,BLENDEX 930,229,,,,8,,,3,,
MAF9-SE-3380-07,117,10.625,BLENDEX 930,229,,,,8.0,,,4.0,,15,BLENDEX 930,229,,,,8,,,3,,
MAF9-SE-3380-07,118,10.625,BLENDEX 930,229,,,,8.0,,,4.0,,15,BLENDEX 930,229,,,,8,,,3,,
MAF9-SE-3380-07,119,10.625,BLENDEX 930,229,,,,8.0,,,4.0,,16,BLENDEX 930,229,,,,8,,,4,,
MAF9-SE-3380-07,120,10.625,BLENDEX 930,229,,,,7.0,,,4.0,,15,BLENDEX 930,229,,,,7,,,4,,
MAF9-SE-3380-07,121,10.625,BLENDEX 930,229,,,,7.0,,,4.0,,15,BLENDEX 930,229,,,,7,,,4,,
MAF9-SE-3380-07,122,10.625,BLENDEX 930,229,,,,7.0,,,4.0,,15,BLENDEX 930,229,,,,7,,,4,,
MAF9-SE-3380-07,123,10.625,BLENDEX 930,229,,,,7.0,,,4.0,,15,BLENDEX 930,229,,,,7,,,4,,
