MALLA,ID POZO,DIAMETRO PLG,CARGA FONDO DISENO ,KG FONDO DISENO ,AIRE FONDO DISENO ,CARGA COLUMNA  DISENO,KG COLUMNA DISENO,AIRE INTERMEDIO DISENO ,GRAVILLA INTERMEDIO DISENO ,AIRE SUPERIOR DISENO,TACO GRAVILLA DISENO ,SECUENCIA DETONACION DISENO,PROFUNDIDAD REAL,CARGA FONDO REAL ,KG FONDO REAL ,AIRE FONDO REAL ,CARGA COLUMNA REAL,KG COLUMNA REAL,AIRE INTERMEDIO REAL ,GRAVILLA INTERMEDIO REAL ,AIRE SUPERIOR REAL,TACO GRAVILLA REAL ,SECUENCIA DETONACION REAL,AGUA
MAF7-R1-2757-02,101,7.875,EMULTEX BN,145,,,,1.5,,,4.0,,9,EMULTEX BN,145,,,,1.5,,,4,,
MAF7-R1-2757-02,102,7.875,EMULTEX BN,145,,,,1.5,,,4.0,,8.5,EMULTEX BN,130,,,,1.5,,,4,,
MAF7-R1-2757-02,103,7.875,EMULTEX BN,145,,,,0.0,,,5.5,,8.5,EMULTEX BN,130,,,,0,,,5.5,,
MAF7-R1-2757-02,104,7.875,EMULTEX BN,145,,,,0.0,,,5.5,,8,EMULTEX BN,110,,,,0,,,5.4,,
MAF7-R1-2757-02,105,7.875,EMULTEX BN,145,,,,1.5,,,4.0,,8,EMULTEX BN,110,,,,1.5,,,3.8,,
MAF7-R1-2757-02,106,7.875,EMULTEX BN,145,,,,1.5,,,4.0,,8,EMULTEX BN,110,,,,1.5,,,3.8,,
MAF7-R1-2757-02,107,7.875,EMULTEX BN,145,,,,1.5,,,4.0,,9,EMULTEX BN,145,,,,1.5,,,4,,
MAF7-R1-2757-02,200,7.875,EMULTEX BN,187,,,,0.0,,,5.0,,9,EMULTEX BN,175,,,,0,,,5,,
MAF7-R1-2757-02,201,7.875,EMULTEX BN,187,,,,0.0,,,5.0,,9.5,EMULTEX BN,190,,,,0,,,5,,
MAF7-R1-2757-02,202,7.875,EMULTEX BN,187,,,,0.0,,,5.0,,9.5,EMULTEX BN,190,,,,0,,,5,,
MAF7-R1-2757-02,203,7.875,EMULTEX BN,187,,,,0.0,,,5.0,,9.5,EMULTEX BN,190,,,,0,,,5,,
MAF7-R1-2757-02,204,7.875,EMULTEX BN,187,,,,0.0,,,5.0,,9.5,EMULTEX BN,190,,,,0,,,5,,
MAF7-R1-2757-02,205,10.625,EMULTEX BN,302,,,,1.0,,,4.5,,9.5,EMULTEX BN,305,,,,1,,,4.5,,
MAF7-R1-2757-02,301,10.625,EMULTEX BN,313,,,,0.0,,,5.0,,9,EMULTEX BN,310,,,,0,,,5,,
MAF7-R1-2757-02,302,10.625,EMULTEX BN,290,,,,0.0,,,5.0,,8,EMULTEX BN,235,,,,0,,,5,,
MAF7-R1-2757-02,303,10.625,EMULTEX BN,288,,,,0.0,,,5.0,,8,EMULTEX BN,235,,,,0,,,5,,
MAF7-R1-2757-02,304,10.625,EMULTEX BN,319,,,,0.0,,,5.0,,8.5,EMULTEX BN,270,,,,0,,,5,,
