MALLA,ID POZO,DIAMETRO PLG,CARGA FONDO DISENO ,KG FONDO DISENO ,AIRE FONDO DISENO ,CARGA COLUMNA  DISENO,KG COLUMNA DISENO,AIRE INTERMEDIO DISENO ,GRAVILLA INTERMEDIO DISENO ,AIRE SUPERIOR DISENO,TACO GRAVILLA DISENO ,SECUENCIA DETONACION DISENO,PROFUNDIDAD REAL,CARGA FONDO REAL ,KG FONDO REAL ,AIRE FONDO REAL ,CARGA COLUMNA REAL,KG COLUMNA REAL,AIRE INTERMEDIO REAL ,GRAVILLA INTERMEDIO REAL ,AIRE SUPERIOR REAL,TACO GRAVILLA REAL ,SECUENCIA DETONACION REAL,AGUA
MAF9-SE-3365-01,936,12.25,VERTEX 50,1004,,,,1.0,,,6.0,,,,,,,,,,,,,
MAF9-SE-3365-01,1036,12.25,VERTEX 50,1004,,,,1.0,,,6.0,,,,,,,,,,,,,
MAF9-SE-3365-01,1136,12.25,VERTEX 50,1004,,,,1.0,,,6.0,,,,,,,,,,,,,
MAF9-SE-3365-01,1236,12.25,VERTEX 50,1004,,,,1.0,,,6.0,,,,,,,,,,,,,
MAF9-SE-3365-01,3041,12.25,VERTEX 50,904,,,,1.0,,,6.0,,,,,,,,,,,,,
MAF9-SE-3365-01,3042,12.25,VERTEX 50,904,,,,1.0,,,6.0,,,,,,,,,,,,,
MAF9-SE-3365-08,901,12.25,VERTEX 50,1004,,,,1.0,,,6.0,,19,VERTEX 50,1204,,,,1,,,6,,
MAF9-SE-3365-08,902,12.25,VERTEX 50,1004,,,,1.0,,,6.0,,17,VERTEX 50,1004,,,,1,,,6,,
MAF9-SE-3365-08,903,12.25,VERTEX 50,1004,,,,1.0,,,6.0,,19,VERTEX 50,1204,,,,1,,,6,,
MAF9-SE-3365-08,904,12.25,VERTEX 50,1004,,,,1.0,,,6.0,,19,VERTEX 50,1204,,,,1,,,6,,
MAF9-SE-3365-08,905,12.25,VERTEX 50,1004,,,,1.0,,,6.0,,19,VERTEX 50,1204,,,,1,,,6,,
MAF9-SE-3365-08,906,12.25,VERTEX 50,1004,,,,1.0,,,6.0,,19,VERTEX 50,1204,,,,1,,,6,,
MAF9-SE-3365-08,907,12.25,VERTEX 50,1004,,,,1.0,,,6.0,,18,VERTEX 50,1104,,,,1,,,6,,
MAF9-SE-3365-08,908,12.25,VERTEX 50,1004,,,,1.0,,,6.0,,18,VERTEX 50,1104,,,,1,,,6,,
MAF9-SE-3365-08,909,12.25,VERTEX 50,1004,,,,1.0,,,6.0,,17,VERTEX 50,1004,,,,1,,,6,,
MAF9-SE-3365-08,910,12.25,VERTEX 50,1004,,,,1.0,,,6.0,,17,VERTEX 50,1004,,,,1,,,6,,
MAF9-SE-3365-08,911,12.25,VERTEX 50,1004,,,,1.0,,,6.0,,17,VERTEX 50,1004,,,,1,,,6,,
MAF9-SE-3365-08,912,12.25,VERTEX 50,1004,,,,1.0,,,6.0,,17,VERTEX 50,1004,,,,1,,,6,,
MAF9-SE-3365-08,913,12.25,VERTEX 50,1004,,,,1.0,,,6.0,,17,VERTEX 50,1004,,,,1,,,6,,
MAF9-SE-3365-08,914,12.25,VERTEX 50,1004,,,,1.0,,,6.0,,17.3,VERTEX 50,1034,,,,1,,,6,,
MAF9-SE-3365-08,915,12.25,VERTEX 50,1004,,,,1.0,,,6.0,,17,VERTEX 50,1004,,,,1,,,6,,
MAF9-SE-3365-08,916,12.25,VERTEX 50,1004,,,,1.0,,,6.0,,17.3,VERTEX 50,1034,,,,1,,,6,,
MAF9-SE-3365-08,917,12.25,VERTEX 50,1004,,,,1.0,,,6.0,,17,VERTEX 50,1004,,,,1,,,6,,
MAF9-SE-3365-08,1001,12.25,VERTEX 50,1004,,,,1.0,,,6.0,,19,VERTEX 50,1204,,,,1,,,6,,
MAF9-SE-3365-08,1002,12.25,VERTEX 50,1004,,,,1.0,,,6.0,,19,VERTEX 50,1204,,,,1,,,6,,
MAF9-SE-3365-08,1003,12.25,VERTEX 50,1004,,,,1.0,,,6.0,,19,VERTEX 50,1204,,,,1,,,6,,
MAF9-SE-3365-08,1004,12.25,VERTEX 50,1004,,,,1.0,,,6.0,,19,VERTEX 50,1204,,,,1,,,6,,
MAF9-SE-3365-08,1005,12.25,VERTEX 50,1004,,,,1.0,,,6.0,,19,VERTEX 50,1204,,,,1,,,6,,
MAF9-SE-3365-08,1006,12.25,VERTEX 50,1004,,,,1.0,,,6.0,,18,VERTEX 50,1104,,,,1,,,6,,
MAF9-SE-3365-08,1007,12.25,VERTEX 50,1004,,,,1.0,,,6.0,,18,VERTEX 50,1104,,,,1,,,6,,
MAF9-SE-3365-08,1008,12.25,VERTEX 50,1004,,,,1.0,,,6.0,,17,VERTEX 50,1004,,,,1,,,6,,
MAF9-SE-3365-08,1009,12.25,VERTEX 50,1004,,,,1.0,,,6.0,,17,VERTEX 50,1004,,,,1,,,6,,
MAF9-SE-3365-08,1010,12.25,VERTEX 50,1004,,,,1.0,,,6.0,,17,VERTEX 50,1004,,,,1,,,6,,
MAF9-SE-3365-08,1011,12.25,VERTEX 50,1004,,,,1.0,,,6.0,,17,VERTEX 50,1004,,,,1,,,6,,
MAF9-SE-3365-08,1012,12.25,VERTEX 50,1004,,,,1.0,,,6.0,,17,VERTEX 50,1004,,,,1,,,6,,
MAF9-SE-3365-08,1013,12.25,VERTEX 50,1004,,,,1.0,,,6.0,,17,VERTEX 50,1004,,,,1,,,6,,
MAF9-SE-3365-08,1014,12.25,VERTEX 50,1004,,,,1.0,,,6.0,,17,VERTEX 50,1004,,,,1,,,6,,
MAF9-SE-3365-08,1015,12.25,VERTEX 50,1004,,,,1.0,,,6.0,,17,VERTEX 50,1004,,,,1,,,6,,
MAF9-SE-3365-08,1016,12.25,VERTEX 50,1004,,,,1.0,,,6.0,,17.5,VERTEX 50,1054,,,,1,,,6,,
MAF9-SE-3365-08,1017,12.25,VERTEX 50,904,,,,2.0,,,6.0,,17,VERTEX 50,910,,,,2,,,6,,
MAF9-SE-3365-08,1101,12.25,VERTEX 50,1004,,,,1.0,,,6.0,,18,VERTEX 50,1100,,,,1,,,6,,
MAF9-SE-3365-08,1102,12.25,VERTEX 50,1004,,,,1.0,,,6.0,,18,VERTEX 50,1100,,,,1,,,6,,
MAF9-SE-3365-08,1103,12.25,VERTEX 50,1004,,,,1.0,,,6.0,,18.5,VERTEX 50,1160,,,,1,,,6,,
MAF9-SE-3365-11,1105,12.25,VERTEX 50,1004,,,,1.0,,,6.0,,18,VERTEX 50,1100,,,,1,,,6,,
MAF9-SE-3365-11,1106,12.25,VERTEX 50,1004,,,,1.0,,,6.0,,17.5,VERTEX 50,1060,,,,1,,,6,,
MAF9-SE-3365-11,1107,12.25,VERTEX 50,1004,,,,1.0,,,6.0,,16,VERTEX 50,903,,,,1,,,6,,
MAF9-SE-3365-11,1108,12.25,VERTEX 50,1004,,,,1.0,,,6.0,,16,VERTEX 50,903,,,,1,,,6,,
MAF9-SE-3365-11,1109,12.25,VERTEX 50,1004,,,,1.0,,,6.0,,16,VERTEX 50,903,,,,1,,,6,,
