MALLA,ID POZO,DIAMETRO PLG,CARGA FONDO DISENO ,KG FONDO DISENO ,AIRE FONDO DISENO ,CARGA COLUMNA  DISENO,KG COLUMNA DISENO,AIRE INTERMEDIO DISENO ,GRAVILLA INTERMEDIO DISENO ,AIRE SUPERIOR DISENO,TACO GRAVILLA DISENO ,SECUENCIA DETONACION DISENO,PROFUNDIDAD REAL,CARGA FONDO REAL ,KG FONDO REAL ,AIRE FONDO REAL ,CARGA COLUMNA REAL,KG COLUMNA REAL,AIRE INTERMEDIO REAL ,GRAVILLA INTERMEDIO REAL ,AIRE SUPERIOR REAL,TACO GRAVILLA REAL ,SECUENCIA DETONACION REAL,AGUA
MAF10-N-08-10-12-13-22,601,12.25,VERTEX 50,803,,,,1.0,,,7.0,,16,VERTEX 50,805,,,,1,,,7,,
MAF10-N-08-10-12-13-22,701,12.25,VERTEX 50,733,,,,1.0,,,7.0,,15.5,VERTEX 50,750,,,,1,,,7,,
MAF10-N-08-10-12-13-22,801,12.25,VERTEX 50,703,,,,1.0,,,7.0,,15.5,VERTEX 50,750,,,,1,,,7,,
MAF10-N-08-10-12-13-22,3033,10.625,VERTEX 50,756,,,,0.0,,,7.0,,17,VERTEX 50,755,,,,0,,,7,,
MAF10-N-08-10-12-13-22,2033,10.625,VERTEX 50,756,,,,0.0,,,7.0,,17,VERTEX 50,755,,,,0,,,7,,
MAF10-N-08-10-12-13-22,501,12.25,VERTEX 50,783,,,,1.0,,,7.0,,16,VERTEX 50,805,,,,1,,,7,,
MAF10-N-08-10-12-13-22,502,12.25,VERTEX 50,803,,,,1.0,,,7.0,,16,VERTEX 50,805,,,,1,,,7,,
MAF10-N-08-10-12-13-22,503,12.25,VERTEX 50,813,,,,1.0,,,7.0,,16,VERTEX 50,805,,,,1,,,7,,
MAF10-N-08-10-12-13-22,504,12.25,VERTEX 50,803,,,,1.0,,,7.0,,16,VERTEX 50,805,,,,1,,,7,,
MAF10-N-08-10-12-13-22,601,12.25,VERTEX 50,813,,,,1.0,,,7.0,,16,VERTEX 50,805,,,,1,,,7,,
MAF10-N-08-10-12-13-22,602,12.25,VERTEX 50,874,,,,1.0,,,7.0,,16.7,VERTEX 50,875,,,,1,,,7,,
MAF10-N-08-10-12-13-22,603,12.25,VERTEX 50,844,,,,1.0,,,7.0,,16.5,VERTEX 50,845,,,,1,,,7,,
MAF10-N-08-10-12-13-22,604,12.25,VERTEX 50,793,,,,1.0,,,7.0,,16,VERTEX 50,805,,,,1,,,7,,
MAF10-N-08-10-12-13-22,701,12.25,VERTEX 50,824,,,,1.0,,,7.0,,16,VERTEX 50,805,,,,1,,,7,,
MAF10-N-08-10-12-13-22,702,12.25,VERTEX 50,834,,,,1.0,,,7.0,,16.3,VERTEX 50,835,,,,1,,,7,,
MAF10-N-08-10-12-13-22,703,12.25,VERTEX 50,844,,,,1.0,,,7.0,,16.5,VERTEX 50,845,,,,1,,,7,,
MAF10-N-08-10-12-13-22,704,12.25,VERTEX 50,834,,,,1.0,,,7.0,,16.3,VERTEX 50,835,,,,1,,,7,,
MAF10-N-08-10-12-13-22,801,12.25,VERTEX 50,834,,,,1.0,,,7.0,,16,VERTEX 50,805,,,,1,,,7,,
MAF10-N-08-10-12-13-22,802,12.25,VERTEX 50,874,,,,1.0,,,7.0,,16.7,VERTEX 50,875,,,,1,,,7,,
MAF10-N-08-10-12-13-22,803,12.25,VERTEX 50,864,,,,1.0,,,7.0,,16.5,VERTEX 50,865,,,,1,,,7,,
MAF10-N-08-10-12-13-22,138,10.625,BLENDEX 930,86,,,,8.0,,,4.0,,13.5,BLENDEX 930,90,,,,8,,,4,,
MAF10-N-08-10-12-13-22,139,10.625,BLENDEX 930,80,,,,8.0,,,4.0,,13.5,BLENDEX 930,90,,,,8,,,4,,
MAF10-N-08-10-12-13-22,140,10.625,BLENDEX 930,80,,,,8.0,,,4.0,,13.5,BLENDEX 930,90,,,,8,,,4,,
MAF10-N-08-10-12-13-22,141,10.625,BLENDEX 930,223,,,,8.0,,,4.0,,16,BLENDEX 930,225,,,,8,,,4,,
MAF10-N-08-10-12-13-22,142,10.625,BLENDEX 930,217,,,,8.0,,,4.0,,16,BLENDEX 930,220,,,,8,,,4,,
MAF10-N-08-10-12-13-22,143,10.625,BLENDEX 930,217,,,,8.0,,,4.0,,16,BLENDEX 930,220,,,,8,,,4,,
MAF10-N-08-10-12-13-22,144,10.625,BLENDEX 930,223,,,,8.0,,,4.0,,16,BLENDEX 930,220,,,,8,,,4,,
MAF10-N-08-10-12-13-22,145,10.625,BLENDEX 930,223,,,,8.0,,,4.0,,16,BLENDEX 930,220,,,,8,,,4,,
MAF10-N-08-10-12-13-22,146,10.625,BLENDEX 930,217,,,,8.0,,,4.0,,15.7,BLENDEX 930,220,,,,8,,,4,,
