MALLA,ID POZO,DIAMETRO PLG,CARGA FONDO DISENO ,KG FONDO DISENO ,AIRE FONDO DISENO ,CARGA COLUMNA  DISENO,KG COLUMNA DISENO,AIRE INTERMEDIO DISENO ,GRAVILLA INTERMEDIO DISENO ,AIRE SUPERIOR DISENO,TACO GRAVILLA DISENO ,SECUENCIA DETONACION DISENO,PROFUNDIDAD REAL,CARGA FONDO REAL ,KG FONDO REAL ,AIRE FONDO REAL ,CARGA COLUMNA REAL,KG COLUMNA REAL,AIRE INTERMEDIO REAL ,GRAVILLA INTERMEDIO REAL ,AIRE SUPERIOR REAL,TACO GRAVILLA REAL ,SECUENCIA DETONACION REAL,AGUA
MAF11-W-3725-04,1.0,12.25,,,,,,,,,,,16.0,VERTEX 50,890.0,,,,,,,7.0,,
MAF11-W-3725-04,2.0,12.25,,,,,,,,,,,16.0,VERTEX 50,890.0,,,,,,,7.0,,
MAF11-W-3725-04,3.0,12.25,,,,,,,,,,,16.0,VERTEX 50,890.0,,,,,,,7.0,,
MAF11-W-3725-04,4.0,12.25,,,,,,,,,,,16.0,VERTEX 50,890.0,,,,,,,7.0,,
MAF11-W-3725-04,5.0,12.25,,,,,,,,,,,16.0,VERTEX 50,890.0,,,,,,,7.0,,
MAF11-W-3725-04,6.0,12.25,,,,,,,,,,,16.0,VERTEX 50,890.0,,,,,,,7.0,,
MAF11-W-3725-04,7.0,12.25,,,,,,,,,,,16.5,VERTEX 50,949.0,,,,,,,7.0,,
MAF11-W-3725-04,8.0,12.25,,,,,,,,,,,16.5,VERTEX 50,949.0,,,,,,,7.0,,
MAF11-W-3725-04,9.0,12.25,,,,,,,,,,,16.0,VERTEX 50,904.0,,,,,,,7.0,,
MAF11-W-3725-04,10.0,6.5,,,,,,,,,,,15.8,VERTEX 50,240.0,,,,,,,7.0,,
MAF11-W-3725-04,11.0,6.5,,,,,,,,,,,15.8,VERTEX 50,240.0,,,,,,,7.0,,
MAF11-W-3725-04,12.0,6.5,,,,,,,,,,,13.7,VERTEX 50,180.0,,,,,,,7.0,,
MAF11-W-3725-04,13.0,6.5,,,,,,,,,,,13.7,VERTEX 50,180.0,,,,,,,7.0,,
MAF11-W-3725-04,14.0,6.5,,,,,,,,,,,13.7,VERTEX 50,180.0,,,,,,,7.0,,
