MALLA,ID POZO,DIAMETRO PLG,CARGA FONDO DISENO ,KG FONDO DISENO ,AIRE FONDO DISENO ,CARGA COLUMNA  DISENO,KG COLUMNA DISENO,AIRE INTERMEDIO DISENO ,GRAVILLA INTERMEDIO DISENO ,AIRE SUPERIOR DISENO,TACO GRAVILLA DISENO ,SECUENCIA DETONACION DISENO,PROFUNDIDAD REAL,CARGA FONDO REAL ,KG FONDO REAL ,AIRE FONDO REAL ,CARGA COLUMNA REAL,KG COLUMNA REAL,AIRE INTERMEDIO REAL ,GRAVILLA INTERMEDIO REAL ,AIRE SUPERIOR REAL,TACO GRAVILLA REAL ,SECUENCIA DETONACION REAL,AGUA
MAF9-SE-3320-04,144,10.625,VERTEX 50,264.0,,VERTEX 50,151.1018438,0.0,,,4.5,,,,,,,,,,,,,
MAF9-SE-3320-04,145,10.625,VERTEX 50,264.0,,VERTEX 50,151.1018438,0.0,,,4.5,,,,,,,,,,,,,
MAF9-SE-3320-04,146,10.625,VERTEX 50,264.0,,VERTEX 50,151.1018438,0.0,,,4.5,,,,,,,,,,,,,
MAF9-SE-3320-04,147,10.625,VERTEX 50,264.0,,VERTEX 50,151.1018438,0.0,,,4.5,,,,,,,,,,,,,
MAF9-SE-3320-04,241,10.625,VERTEX 50,453.0,,,,3.5,,,4.5,,,,,,,,,,,,,
MAF9-SE-3320-04,242,10.625,VERTEX 50,453.0,,,,3.5,,,4.5,,,,,,,,,,,,,
MAF9-SE-3320-04,243,10.625,VERTEX 50,453.0,,,,3.5,,,4.5,,,,,,,,,,,,,
MAF9-SE-3320-04,244,10.625,VERTEX 50,453.0,,,,3.5,,,4.5,,,,,,,,,,,,,
MAF9-SE-3320-04,331,12.25,VERTEX 50,703.0,,,,3.0,,,4.0,,,,,,,,,,,,,
MAF9-SE-3320-04,332,12.25,VERTEX 50,703.0,,,,3.0,,,4.0,,,,,,,,,,,,,
MAF9-SE-3320-04,333,12.25,VERTEX 50,703.0,,,,3.0,,,4.0,,,,,,,,,,,,,
MAF9-SE-3320-04,334,12.25,VERTEX 50,703.0,,,,3.0,,,4.0,,,,,,,,,,,,,
