MALLA,ID POZO,DIAMETRO PLG,CARGA FONDO DISENO ,KG FONDO DISENO ,AIRE FONDO DISENO ,CARGA COLUMNA  DISENO,KG COLUMNA DISENO,AIRE INTERMEDIO DISENO ,GRAVILLA INTERMEDIO DISENO ,AIRE SUPERIOR DISENO,TACO GRAVILLA DISENO ,SECUENCIA DETONACION DISENO,PROFUNDIDAD REAL,CARGA FONDO REAL ,KG FONDO REAL ,AIRE FONDO REAL ,CARGA COLUMNA REAL,KG COLUMNA REAL,AIRE INTERMEDIO REAL ,GRAVILLA INTERMEDIO REAL ,AIRE SUPERIOR REAL,TACO GRAVILLA REAL ,SECUENCIA DETONACION REAL,AGUA
MAF7-R1-2787-06,125.0,7.875,VERTEX 50,83.0,,,,2.5,,,4.0,,,VERTEX 50,,,,,,,,,,
MAF7-R1-2787-06,225.0,7.875,VERTEX 50,208.0,,,,1.0,,,4.0,,,VERTEX 50,,,,,,,,,,
MAF7-R1-2787-06,226.0,7.875,VERTEX 50,208.0,,,,1.0,,,4.0,,,VERTEX 50,,,,,,,,,,
MAF7-R1-2787-06,318.0,10.625,VERTEX 50,385.0,,,,0.0,,,5.0,,,VERTEX 50,,,,,,,,,,
MAF7-R1-2787-06,418.0,12.25,VERTEX 50,542.0,,,,0.0,,,5.0,,,VERTEX 50,,,,,,,,,,
MAF7-R1-2787-06,912.0,12.25,VERTEX 50,542.0,,,,0.0,,,5.0,,,VERTEX 50,,,,,,,,,,
MAF7-R1-2787-06,1211.0,12.25,VERTEX 50,532.0,,,,0.0,,,5.0,,,VERTEX 50,,,,,,,,,,
MAF7-R1-2787-07,132.0,7.875,VERTEX 50,83.0,,,,2.4,,,4.0,,,VERTEX 50,,,,,,,,,,
MAF7-R1-2787-07,133.0,7.875,VERTEX 50,83.0,,,,2.4,,,4.0,,,VERTEX 50,,,,,,,,,,
MAF7-R1-2787-07,134.0,7.875,VERTEX 50,83.0,,,,2.5,,,4.0,,,VERTEX 50,,,,,,,,,,
MAF7-R1-2787-07,135.0,7.875,VERTEX 50,83.0,,,,2.5,,,4.0,,,VERTEX 50,,,,,,,,,,
MAF7-R1-2787-07,136.0,7.875,VERTEX 50,83.0,,,,2.1,,,4.0,,,VERTEX 50,,,,,,,,,,
MAF7-R1-2787-07,137.0,7.875,VERTEX 50,83.0,,,,2.1,,,4.0,,,VERTEX 50,,,,,,,,,,
MAF7-R1-2787-07,138.0,7.875,VERTEX 50,83.0,,,,2.3,,,4.0,,,VERTEX 50,,,,,,,,,,
MAF7-R1-2787-07,139.0,7.875,VERTEX 50,83.0,,,,2.0,,,4.0,,,VERTEX 50,,,,,,,,,,
MAF7-R1-2787-07,140.0,7.875,VERTEX 50,83.0,,,,1.7,,,4.0,,,VERTEX 50,,,,,,,,,,
MAF7-R1-2787-07,141.0,7.875,VERTEX 50,83.0,,,,1.8,,,4.0,,,VERTEX 50,,,,,,,,,,
MAF7-R1-2787-07,142.0,7.875,VERTEX 50,83.0,,,,1.7,,,4.0,,,VERTEX 50,,,,,,,,,,
MAF7-R1-2787-07,143.0,7.875,VERTEX 50,83.0,,,,1.4,,,4.0,,,VERTEX 50,,,,,,,,,,
MAF7-R1-2787-07,144.0,7.875,VERTEX 50,83.0,,,,1.5,,,4.0,,,VERTEX 50,,,,,,,,,,
MAF7-R1-2787-07,145.0,7.875,VERTEX 50,83.0,,,,1.6,,,4.0,,,VERTEX 50,,,,,,,,,,
MAF7-R1-2787-07,146.0,7.875,VERTEX 50,83.0,,,,1.8,,,4.0,,,VERTEX 50,,,,,,,,,,
MAF7-R1-2787-07,147.0,7.875,VERTEX 50,83.0,,,,1.8,,,4.0,,,VERTEX 50,,,,,,,,,,
MAF7-R1-2787-07,148.0,7.875,VERTEX 50,83.0,,,,1.8,,,4.0,,,VERTEX 50,,,,,,,,,,
MAF7-R1-2787-07,149.0,7.875,VERTEX 50,83.0,,,,1.5,,,4.0,,,VERTEX 50,,,,,,,,,,
MAF7-R1-2787-07,150.0,7.875,VERTEX 50,83.0,,,,2.5,,,4.0,,,VERTEX 50,,,,,,,,,,
MAF7-R1-2787-07,151.0,7.875,VERTEX 50,83.0,,,,2.0,,,4.0,,,VERTEX 50,,,,,,,,,,
MAF7-R1-2787-07,152.0,7.875,VERTEX 50,83.0,,,,2.1,,,4.0,,,VERTEX 50,,,,,,,,,,
MAF7-R1-2787-07,153.0,7.875,VERTEX 50,83.0,,,,2.0,,,4.0,,,VERTEX 50,,,,,,,,,,
MAF7-R1-2787-07,205.0,10.625,VERTEX 50,332.0,,,,1.5,,,4.5,,,VERTEX 50,,,,,,,,,,
MAF7-R1-2787-07,206.0,10.625,VERTEX 50,332.0,,,,1.5,,,4.5,,,VERTEX 50,,,,,,,,,,
MAF7-R1-2787-07,207.0,10.625,VERTEX 50,325.0,,,,1.5,,,4.5,,,VERTEX 50,,,,,,,,,,
MAF7-R1-2787-07,208.0,10.625,VERTEX 50,325.0,,,,1.5,,,4.5,,,VERTEX 50,,,,,,,,,,
MAF7-R1-2787-07,209.0,10.625,VERTEX 50,317.0,,,,1.5,,,4.5,,,VERTEX 50,,,,,,,,,,
MAF7-R1-2787-07,210.0,10.625,VERTEX 50,317.0,,,,1.5,,,4.5,,,VERTEX 50,,,,,,,,5.5,,
