MALLA,ID POZO,DIAMETRO PLG,CARGA FONDO DISENO ,KG FONDO DISENO ,AIRE FONDO DISENO ,CARGA COLUMNA  DISENO,KG COLUMNA DISENO,AIRE INTERMEDIO DISENO ,GRAVILLA INTERMEDIO DISENO ,AIRE SUPERIOR DISENO,TACO GRAVILLA DISENO ,SECUENCIA DETONACION DISENO,PROFUNDIDAD REAL,CARGA FONDO REAL ,KG FONDO REAL ,AIRE FONDO REAL ,CARGA COLUMNA REAL,KG COLUMNA REAL,AIRE INTERMEDIO REAL ,GRAVILLA INTERMEDIO REAL ,AIRE SUPERIOR REAL,TACO GRAVILLA REAL ,SECUENCIA DETONACION REAL,AGUA
MAF11-W-3665-04,115,10.625,BLENDEX 930,200.0,,,,10.3,,,4.0,,,,,,,,10.3,,,4.0,,
MAF11-W-3665-04,116,10.625,BLENDEX 930,200.0,,,,10.2,,,4.0,,,,,,,,10.2,,,4.0,,
MAF11-W-3665-04,117,10.625,BLENDEX 930,200.0,,,,10.1,,,4.0,,,,,,,,10.1,,,4.0,,
MAF11-W-3665-04,118,10.625,BLENDEX 930,200.0,,,,10.3,,,4.0,,,,,,,,10.3,,,4.0,,
MAF11-W-3665-04,119,10.625,BLENDEX 930,200.0,,,,10.0,,,4.0,,,,,,,,10.0,,,4.0,,
MAF11-W-3665-04,120,10.625,BLENDEX 930,200.0,,,,10.1,,,4.0,,,,,,,,10.1,,,4.0,,
MAF11-W-3665-04,121,10.625,BLENDEX 930,200.0,,,,10.0,,,4.0,,,,,,,,10.0,,,4.0,,
MAF11-W-3665-04,211,10.625,BLENDEX 930,372.0,,,,6.1,,,4.0,,,,,,,,6.1,,,4.0,,
MAF11-W-3665-04,212,10.625,BLENDEX 930,372.0,,,,6.3,,,4.0,,,,,,,,6.3,,,4.0,,
MAF11-W-3665-04,213,10.625,BLENDEX 930,372.0,,,,6.1,,,4.0,,,,,,,,6.1,,,4.0,,
MAF11-W-3665-04,214,10.625,BLENDEX 930,372.0,,,,6.0,,,4.0,,,,,,,,6.0,,,4.0,,
MAF11-W-3665-04,215,10.625,BLENDEX 930,372.0,,,,6.0,,,4.0,,,,,,,,6.0,,,4.0,,
MAF11-W-3665-04,216,10.625,BLENDEX 930,372.0,,,,6.0,,,4.0,,,,,,,,6.0,,,4.0,,
MAF11-W-3665-04,309,10.625,BLENDEX 930,601.0,,,,1.0,,,5.0,,,,,,,,1.0,,,5.0,,
MAF11-W-3665-04,310,10.625,BLENDEX 930,595.0,,,,1.0,,,5.0,,,,,,,,1.0,,,5.0,,
MAF11-W-3665-04,311,10.625,BLENDEX 930,607.0,,,,1.0,,,5.0,,,,,,,,1.0,,,5.0,,
MAF11-W-3665-04,312,10.625,BLENDEX 930,595.0,,,,1.0,,,5.0,,,,,,,,1.0,,,5.0,,
MAF11-W-3665-04,313,10.625,BLENDEX 930,595.0,,,,1.0,,,5.0,,,,,,,,1.0,,,5.0,,
MAF11-W-3665-04,407,12.25,VERTEX 50,834.0,,,,2.0,,,7.0,,,,,,,,2.0,,,7.0,,
MAF11-W-3665-04,408,12.25,VERTEX 50,834.0,,,,2.0,,,7.0,,,,,,,,2.0,,,7.0,,
MAF11-W-3665-04,409,12.25,VERTEX 50,834.0,,,,2.0,,,7.0,,,,,,,,2.0,,,7.0,,
MAF11-W-3665-04,507,12.25,VERTEX 50,793.0,,,,2.0,,,7.0,,,,,,,,2.0,,,7.0,,
MAF11-W-3665-04,508,12.25,VERTEX 50,813.0,,,,2.0,,,7.0,,,,,,,,2.0,,,7.0,,
MAF11-W-3665-04,509,12.25,VERTEX 50,813.0,,,,2.0,,,7.0,,,,,,,,2.0,,,7.0,,
