MALLA,ID POZO,DIAMETRO PLG,CARGA FONDO DISENO ,KG FONDO DISENO ,AIRE FONDO DISENO ,CARGA COLUMNA  DISENO,KG COLUMNA DISENO,AIRE INTERMEDIO DISENO ,GRAVILLA INTERMEDIO DISENO ,AIRE SUPERIOR DISENO,TACO GRAVILLA DISENO ,SECUENCIA DETONACION DISENO,PROFUNDIDAD REAL,CARGA FONDO REAL ,KG FONDO REAL ,AIRE FONDO REAL ,CARGA COLUMNA REAL,KG COLUMNA REAL,AIRE INTERMEDIO REAL ,GRAVILLA INTERMEDIO REAL ,AIRE SUPERIOR REAL,TACO GRAVILLA REAL ,SECUENCIA DETONACION REAL,AGUA
MAF10-N-3245-03-A,146,7.875,VERTEX 30,173.0,,,,5.5,,,5.0,,,,,,,,,,,,,
MAF10-N-3245-03-A,147,7.875,VERTEX 30,173.0,,,,5.5,,,5.0,,,,,,,,,,,,,
MAF10-N-3245-03-A,148,7.875,VERTEX 30,173.0,,,,5.5,,,5.0,,,,,,,,,,,,,
MAF10-N-3245-03-A,233,10.625,VERTEX 30,372.0,,,,5.5,,,5.0,,,,,,,,,,,,,
MAF10-N-3245-03-A,234,10.625,VERTEX 30,372.0,,,,5.5,,,5.0,,,,,,,,,,,,,
MAF10-N-3245-03-A,329,10.625,VERTEX 50,567.0,,,,4.0,,,5.5,,,,,,,,,,,,,
MAF10-N-3245-03-A,426,10.625,VERTEX 50,869.0,,,,0.0,,,5.5,,,,,,,,0.0,,,5.5,,
MAF10-N-3245-03-A,515,12.25,VERTEX 50,1054.0,,VERTEX 50,100.4278275,0.0,,,4.5,,,,,,,,,,,,,
MAF10-N-3245-03-A,516,12.25,VERTEX 50,1054.0,,VERTEX 50,100.4278275,0.0,,,4.5,,,,,,,,,,,,,
MAF10-N-3245-03-A,606,12.25,VERTEX 50,1054.0,,VERTEX 50,100.4278275,0.0,,,4.5,,,,,,,,,,,,,
MAF10-N-3245-03-A,607,12.25,VERTEX 50,1054.0,,VERTEX 50,100.4278275,0.0,,,4.5,,,,,,,,,,,,,
MAF10-N-3245-03-A,608,12.25,VERTEX 50,1054.0,,VERTEX 50,100.4278275,0.0,,,4.5,,,,,,,,,,,,,
MAF10-N-3245-03-A,609,12.25,VERTEX 50,1054.0,,VERTEX 50,100.4278275,0.0,,,4.5,,,,,,,,,,,,,
MAF10-N-3245-03-A,610,12.25,VERTEX 50,1054.0,,VERTEX 50,100.4278275,0.0,,,4.5,,,,,,,,,,,,,
MAF10-N-3245-03-A,611,12.25,VERTEX 50,1054.0,,VERTEX 50,100.4278275,0.0,,,4.5,,,,,,,,,,,,,
MAF10-N-3245-03-A,612,12.25,VERTEX 50,1054.0,,VERTEX 50,100.4278275,0.0,,,4.5,,,,,,,,,,,,,
MAF10-N-3245-03-A,613,12.25,VERTEX 50,1054.0,,VERTEX 50,100.4278275,0.0,,,4.5,,,,,,,,,,,,,
MAF10-N-3245-03-A,614,12.25,VERTEX 50,1054.0,,VERTEX 50,100.4278275,0.0,,,4.5,,,,,,,,,,,,,
MAF10-N-3245-03-A,615,12.25,VERTEX 50,1054.0,,VERTEX 50,100.4278275,0.0,,,4.5,,,,,,,,,,,,,
MAF10-N-3245-03-A,709,12.25,VERTEX 50,1054.0,,VERTEX 50,100.4278275,0.0,,,4.5,,,,,,,,,,,,,
MAF10-N-3245-03-A,710,12.25,VERTEX 50,1054.0,,VERTEX 50,100.4278275,0.0,,,4.5,,,,,,,,,,,,,
MAF10-N-3245-03-A,711,12.25,VERTEX 50,1054.0,,VERTEX 50,100.4278275,0.0,,,4.5,,,,,,,,,,,,,
MAF10-N-3245-03-A,712,12.25,VERTEX 50,1054.0,,VERTEX 50,100.4278275,0.0,,,4.5,,,,,,,,,,,,,
MAF10-N-3245-03-A,713,12.25,VERTEX 50,1054.0,,VERTEX 50,100.4278275,0.0,,,4.5,,,,,,,,,,,,,
MAF10-N-3245-03-A,714,12.25,VERTEX 50,1054.0,,VERTEX 50,100.4278275,0.0,,,4.5,,,,,,,,,,,,,
MAF10-N-3245-03-A,715,12.25,VERTEX 50,1054.0,,VERTEX 50,100.4278275,0.0,,,4.5,,,,,,,,,,,,,
MAF10-N-3245-03-A,809,12.25,VERTEX 50,1054.492189,,VERTEX 50,100.4278275,0.0,,,4.5,,,,,,,,,,,,,
MAF10-N-3245-03-A,810,12.25,VERTEX 50,1054.492189,,VERTEX 50,100.4278275,0.0,,,4.5,,,,,,,,,,,,,
MAF10-N-3245-03-A,811,12.25,VERTEX 50,1054.492189,,VERTEX 50,100.4278275,0.0,,,4.5,,,,,,,,,,,,,
MAF10-N-3245-03-A,812,12.25,VERTEX 50,1065.53925,,VERTEX 50,100.4278275,0.0,,,4.5,,,,,,,,,,,,,
MAF10-N-3245-03-A,813,12.25,VERTEX 50,1072.5691980000001,,VERTEX 50,100.4278275,0.0,,,4.5,,,,,,,,,,,,,
MAF10-N-3245-03-A,814,12.25,VERTEX 50,1079.599146,,VERTEX 50,100.4278275,0.0,,,4.5,,,,,,,,,,,,,
MAF10-N-3245-03-A,815,12.25,VERTEX 50,1086.629094,,VERTEX 50,100.4278275,0.0,,,4.5,,,,,,,,,,,,,
MAF10-N-3245-03-A,910,12.25,VERTEX 50,1054.492189,,VERTEX 50,100.4278275,0.0,,,4.5,,,,,,,,,,,,,
