MALLA,ID POZO,DIAMETRO PLG,CARGA FONDO DISENO ,KG FONDO DISENO ,AIRE FONDO DISENO ,CARGA COLUMNA  DISENO,KG COLUMNA DISENO,AIRE INTERMEDIO DISENO ,GRAVILLA INTERMEDIO DISENO ,AIRE SUPERIOR DISENO,TACO GRAVILLA DISENO ,SECUENCIA DETONACION DISENO,PROFUNDIDAD REAL,CARGA FONDO REAL ,KG FONDO REAL ,AIRE FONDO REAL ,CARGA COLUMNA REAL,KG COLUMNA REAL,AIRE INTERMEDIO REAL ,GRAVILLA INTERMEDIO REAL ,AIRE SUPERIOR REAL,TACO GRAVILLA REAL ,SECUENCIA DETONACION REAL,AGUA
MAF9-SE-3410-02,164,10.625,BLENDEX 930,229.0,,,,6.3,,,4.0,,,,,,,,,,,,,
MAF9-SE-3410-02,165,10.625,BLENDEX 930,229.0,,,,6.5,,,4.0,,,,,,,,,,,,,
MAF9-SE-3410-02,166,10.625,BLENDEX 930,229.0,,,,6.5,,,4.0,,,,,,,,,,,,,
MAF9-SE-3410-02,167,10.625,BLENDEX 930,229.0,,,,6.6,,,4.0,,,,,,,,,,,,,
MAF9-SE-3410-02,168,10.625,BLENDEX 930,229.0,,,,6.7,,,4.0,,,,,,,,,,,,,
MAF9-SE-3410-02,169,10.625,BLENDEX 930,229.0,,,,6.7,,,4.0,,,,,,,,,,,,,
MAF9-SE-3410-02,170,10.625,BLENDEX 930,229.0,,,,6.5,,,4.0,,,,,,,,,,,,,
MAF9-SE-3410-02,171,10.625,BLENDEX 930,229.0,,,,6.9,,,4.0,,,,,,,,,,,,,
MAF9-SE-3410-02,172,10.625,BLENDEX 930,229.0,,,,6.7,,,4.0,,,,,,,,,,,,,
MAF9-SE-3410-02,173,10.625,BLENDEX 930,229.0,,,,6.8,,,4.0,,,,,,,,,,,,,
MAF9-SE-3410-02,264,10.625,BLENDEX 930,286.0,,,,5.5,,,4.0,,,,,,,,,,,,,
MAF9-SE-3410-02,265,10.625,BLENDEX 930,286.0,,,,5.5,,,4.0,,,,,,,,,,,,,
