MALLA,ID POZO,DIAMETRO PLG,CARGA FONDO DISENO ,KG FONDO DISENO ,AIRE FONDO DISENO ,CARGA COLUMNA  DISENO,KG COLUMNA DISENO,AIRE INTERMEDIO DISENO ,GRAVILLA INTERMEDIO DISENO ,AIRE SUPERIOR DISENO,TACO GRAVILLA DISENO ,SECUENCIA DETONACION DISENO,PROFUNDIDAD REAL,CARGA FONDO REAL ,KG FONDO REAL ,AIRE FONDO REAL ,CARGA COLUMNA REAL,KG COLUMNA REAL,AIRE INTERMEDIO REAL ,GRAVILLA INTERMEDIO REAL ,AIRE SUPERIOR REAL,TACO GRAVILLA REAL ,SECUENCIA DETONACION REAL,AGUA
MAF10-N-3425-01,169,10.625,,,,,,4.5,,,4.5,,15.0,BLENDEX 930,343,,,,4.5,,,4.5,,
MAF10-N-3425-05,440,6.5,,,,,,,,,5.5,,16.0,VERTEX 50,300,,,,,,,5.5,,
MAF10-N-3425-05,441,12.25,,,,,,,,,7.0,,15.5,VERTEX 50,860,,,,,,,7.0,,
MAF10-N-3425-05,444,12.25,,,,,,,,,7.0,,15.5,VERTEX 50,860,,,,,,,7.0,,
MAF10-N-3425-05,Aux,6.5,,,,,,,,,5.5,,16.0,VERTEX 50,300,,,,,,,5.5,,
MAF10-N-3425-06,146,10.625,,,,,,7.0,,,4.0,,15.0,BLENDEX 930,229,,,,,,,4.0,,
MAF10-N-3425-06,147,10.625,,,,,,7.0,,,4.0,,15.0,BLENDEX 930,229,,,,,,,4.0,,
MAF10-N-3425-06,148,10.625,,,,,,7.0,,,4.0,,15.0,BLENDEX 930,229,,,,,,,4.0,,
MAF10-N-3425-06,149,10.625,,,,,,7.0,,,4.0,,15.0,BLENDEX 930,229,,,,,,,4.0,,
MAF10-N-3425-06,150,10.625,,,,,,7.0,,,4.0,,15.0,BLENDEX 930,229,,,,,,,4.0,,
MAF10-N-3425-06,151,10.625,,,,,,7.0,,,4.0,,15.0,BLENDEX 930,229,,,,,,,4.0,,
MAF10-N-3425-06,152,10.625,,,,,,7.0,,,4.0,,15.0,BLENDEX 930,229,,,,,,,4.0,,
MAF10-N-3425-06,235,10.625,,,,,,4.5,,,4.5,,15.0,BLENDEX 930,343,,,,5.0,,,4.0,,
MAF10-N-3425-06,236,10.625,,,,,,4.5,,,4.5,,15.0,BLENDEX 930,343,,,,5.0,,,4.0,,
MAF10-N-3425-06,237,10.625,,,,,,4.5,,,4.5,,15.0,BLENDEX 930,343,,,,5.0,,,4.0,,
MAF10-N-3425-06,238,10.625,,,,,,4.5,,,4.5,,15.0,BLENDEX 930,343,,,,5.0,,,4.0,,
MAF10-N-3425-06,239,10.625,,,,,,4.5,,,4.5,,15.3,BLENDEX 930,343,,,,,,,4.0,,
MAF10-N-3425-06,328,12.25,,,,,,2.5,,,7.0,,15.5,BLENDEX 930,465,,,,,,,7.0,,
MAF10-N-3425-06,329,12.25,,,,,,2.5,,,7.0,,15.9,BLENDEX 930,465,,,,,,,7.0,,
MAF10-N-3425-06,330,12.25,,,,,,2.5,,,7.0,,15.5,BLENDEX 930,465,,,,,,,7.0,,
MAF10-N-3425-06,331,10.625,,,,,,2.39,,,5.0,,15.6,BLENDEX 930,458,,,,,,,5.0,,
MAF10-N-3425-06,419,12.25,,,,,,,,,7.0,,16.0,VERTEX 70,894,,,,,,,7.2,,
MAF10-N-3425-06,420,12.25,,,,,,,,,7.0,,16.0,VERTEX 50,894,,,,,,,7.0,,
MAF10-N-3425-06,421,12.25,,,,,,,,,7.0,,16.0,VERTEX 50,890,,,,,,,7.0,,
MAF10-N-3425-06,437,12.25,,,,,,,,,7.0,,16.0,VERTEX 50,890,,,,,,,7.0,,
MAF10-N-3425-06,438,12.25,,,,,,,,,7.0,,16.2,VERTEX 50,911,,,,,,,7.0,,
MAF10-N-3425-06,439,12.25,,,,,,,,,7.0,,16.5,VERTEX 50,935,,,,,,,7.0,,
MAF10-N-3425-06,475,12.25,,,,,,,,,7.0,,16.0,VERTEX 50,890,,,,,,,7.0,,
MAF10-N-3425-06,476,12.25,,,,,,,,,7.0,,16.0,VERTEX 50,890,,,,,,,7.0,,
MAF10-N-3425-06,477,12.25,,,,,,,,,7.0,,18.0,VERTEX 50,1089,,,,,,,7.0,,
