MALLA,ID POZO,DIAMETRO PLG,CARGA FONDO DISENO ,KG FONDO DISENO ,AIRE FONDO DISENO ,CARGA COLUMNA  DISENO,KG COLUMNA DISENO,AIRE INTERMEDIO DISENO ,GRAVILLA INTERMEDIO DISENO ,AIRE SUPERIOR DISENO,TACO GRAVILLA DISENO ,SECUENCIA DETONACION DISENO,PROFUNDIDAD REAL,CARGA FONDO REAL ,KG FONDO REAL ,AIRE FONDO REAL ,CARGA COLUMNA REAL,KG COLUMNA REAL,AIRE INTERMEDIO REAL ,GRAVILLA INTERMEDIO REAL ,AIRE SUPERIOR REAL,TACO GRAVILLA REAL ,SECUENCIA DETONACION REAL,AGUA
MAF9-SE-3380-06,2210,12.25,VERTEX 50,917.0,,,,1.5,,,5.5,,,,,,,,,,,,,
MAF9-SE-3380-08,4001,10.625,VERTEX 50,680.0,,,,1.0,,,6.0,,,,,,,,,,,,,
MAF9-SE-3380-08,4014,10.625,VERTEX 50,680.0,,,,0.8,,,6.0,,,,,,,,,,,,,
MAF9-SE-3380-08,5001,6.5,VERTEX 50,256.1750334,,,,0.0,,,7.0,,,,,,,,,,,,,
MAF9-SE-3380-08,5002,6.5,VERTEX 50,256.1750334,,,,0.0,,,7.0,,,,,,,,,,,,,
MAF9-SE-3380-08,5003,6.5,VERTEX 50,256.1750334,,,,0.0,,,7.0,,,,,,,,,,,,,
MAF9-SE-3380-08,5005,6.5,VERTEX 50,255.8357287,,,,0.0,,,7.0,,,,,,,,,,,,,
MAF9-SE-3380-08,5006,6.5,VERTEX 50,256.1750334,,,,0.0,,,7.0,,,,,,,,,,,,,
MAF9-SE-3380-08,5007,6.5,VERTEX 50,255.4681486,,,,0.0,,,7.0,,,,,,,,,,,,,
MAF9-SE-3380-08,5011,6.5,VERTEX 50,256.1750334,,,,0.0,,,7.0,,,,,,,,,,,,,
MAF9-SE-3380-08,5018,6.5,VERTEX 50,256.1750334,,,,0.0,,,7.0,,,,,,,,,,,,,
MAF9-SE-3380-08,5023,6.5,VERTEX 50,256.1750334,,,,0.0,,,7.0,,,,,,,,,,,,,
