MALLA,ID POZO,DIAMETRO PLG,CARGA FONDO DISENO ,KG FONDO DISENO ,AIRE FONDO DISENO ,CARGA COLUMNA  DISENO,KG COLUMNA DISENO,AIRE INTERMEDIO DISENO ,GRAVILLA INTERMEDIO DISENO ,AIRE SUPERIOR DISENO,TACO GRAVILLA DISENO ,SECUENCIA DETONACION DISENO,PROFUNDIDAD REAL,CARGA FONDO REAL ,KG FONDO REAL ,AIRE FONDO REAL ,CARGA COLUMNA REAL,KG COLUMNA REAL,AIRE INTERMEDIO REAL ,GRAVILLA INTERMEDIO REAL ,AIRE SUPERIOR REAL,TACO GRAVILLA REAL ,SECUENCIA DETONACION REAL,AGUA
MAF9-SE-3365-16,126,10.625,BLENDEX 930,286,,,,4.812,,,4.0,,,,,,,,,,,,,
MAF9-SE-3365-16,127,10.625,BLENDEX 930,286,,,,4.945,,,4.0,,,,,,,,,,,,,
MAF9-SE-3365-16,128,10.625,BLENDEX 930,286,,,,6.0,,,4.0,,,,,,,,,,,,,
MAF9-SE-3365-16,129,10.625,BLENDEX 930,286,,,,6.0,,,4.0,,,,,,,,,,,,,
MAF9-SE-3365-16,130,10.625,BLENDEX 930,286,,,,6.0,,,4.0,,,,,,,,,,,,,
MAF9-SE-3365-16,219,10.625,BLENDEX 930,401,,,,3.208,,,4.0,,,,,,,,,,,,,
MAF9-SE-3365-16,220,10.625,BLENDEX 930,401,,,,3.253,,,4.0,,,,,,,,,,,,,
MAF9-SE-3365-16,221,10.625,BLENDEX 930,401,,,,4.0,,,4.0,,,,,,,,,,,,,
MAF9-SE-3365-16,222,10.625,BLENDEX 930,401,,,,4.0,,,4.0,,,,,,,,,,,,,
MAF9-SE-3365-16,315,10.625,BLENDEX 930,401,,,,2.548,,,5.0,,,,,,,,,,,,,
MAF9-SE-3365-16,316,10.625,BLENDEX 930,401,,,,3.0,,,5.0,,,,,,,,,,,,,
MAF9-SE-3365-16,317,10.625,BLENDEX 930,401,,,,3.0,,,5.0,,,,,,,,,,,,,
MAF9-SE-3365-16,610,12.25,VERTEX 50,654,,,,3.0,,,7.0,,,,,,,,,,,,,
MAF9-SE-3365-16,612,12.25,VERTEX 50,703,,,,3.0,,,7.0,,,,,,,,,,,,,
MAF9-SE-3365-16,710,12.25,VERTEX 50,681,,,,3.0,,,7.0,,,,,,,,,,,,,
MAF9-SE-3365-16,712,12.25,VERTEX 50,667,,,,3.0,,,7.0,,,,,,,,,,,,,
MAF9-SE-3365-16,713,12.25,VERTEX 50,703,,,,3.0,,,7.0,,,,,,,,,,,,,
MAF9-SE-3365-16,811,12.25,VERTEX 50,639,,,,3.0,,,7.0,,,,,,,,,,,,,
MAF9-SE-3365-16,812,12.25,VERTEX 50,703,,,,3.0,,,7.0,,,,,,,,,,,,,
MAF9-SE-3365-16,910,12.25,VERTEX 50,703,,,,3.0,,,7.0,,,,,,,,,,,,,
MAF9-SE-3365-16,912,12.25,VERTEX 50,410,,,,0.0,,,6.12,,,,,,,,,,,,,
MAF9-SE-3365-16,1011,12.25,VERTEX 50,610,,,,3.0,,,7.0,,,,,,,,,,,,,
MAF9-SE-3365-16,1012,12.25,VERTEX 50,703,,,,3.0,,,7.0,,,,,,,,,,,,,
MAF9-SE-3365-16,1212,12.25,VERTEX 50,703,,,,3.0,,,7.0,,,,,,,,,,,,,
MAF9-SE-3365-16,1807,12.25,VERTEX 50,616,,,,3.0,,,7.0,,,,,,,,,,,,,
