MALLA,ID POZO,DIAMETRO PLG,CARGA FONDO DISENO ,KG FONDO DISENO ,AIRE FONDO DISENO ,CARGA COLUMNA  DISENO,KG COLUMNA DISENO,AIRE INTERMEDIO DISENO ,GRAVILLA INTERMEDIO DISENO ,AIRE SUPERIOR DISENO,TACO GRAVILLA DISENO ,SECUENCIA DETONACION DISENO,PROFUNDIDAD REAL,CARGA FONDO REAL ,KG FONDO REAL ,AIRE FONDO REAL ,CARGA COLUMNA REAL,KG COLUMNA REAL,AIRE INTERMEDIO REAL ,GRAVILLA INTERMEDIO REAL ,AIRE SUPERIOR REAL,TACO GRAVILLA REAL ,SECUENCIA DETONACION REAL,AGUA
MAF11-W-3830-04,1,6.5,VERTEX 50,84.0,,,,,,,4.0,,,,,,,,,,,,,
MAF11-W-3830-04,2,6.5,VERTEX 50,84.0,,,,,,,4.0,,,,,,,,,,,,,
MAF11-W-3830-04,3,6.5,VERTEX 50,84.0,,,,,,,4.0,,,,,,,,,,,,,
MAF11-W-3830-04,4,6.5,VERTEX 50,84.0,,,,,,,4.0,,,,,,,,,,,,,
MAF11-W-3830-04,5,6.5,VERTEX 50,84.0,,,,,,,4.0,,,,,,,,,,,,,
MAF11-W-3830-04,10,6.5,VERTEX 50,153.0,,,,,,,4.0,,,,,,,,,,,,,
MAF11-W-3830-04,17,6.5,VERTEX 50,84.0,,,,,,,4.0,,,,,,,,,,,,,
MAF11-W-3830-04,18,6.5,VERTEX 50,84.0,,,,,,,4.0,,,,,,,,,,,,,
MAF11-W-3830-04,19,6.5,VERTEX 50,84.0,,,,,,,4.0,,,,,,,,,,,,,
MAF11-W-3830-04,20,6.5,VERTEX 50,84.0,,,,,,,4.0,,,,,,,,,,,,,
MAF11-W-3830-04,21,6.5,VERTEX 50,84.0,,,,,,,4.0,,,,,,,,,,,,,
MAF11-W-3830-04,22,6.5,VERTEX 50,84.0,,,,,,,4.0,,,,,,,,,,,,,
MAF11-W-3830-04,23,6.5,VERTEX 50,84.0,,,,,,,4.0,,,,,,,,,,,,,
MAF11-W-3830-04,25,6.5,VERTEX 50,97.0,,,,,,,4.0,,,,,,,,,,,,,
MAF11-W-3830-04,30,6.5,VERTEX 50,167.0,,,,,,,4.0,,,,,,,,,,,,,
MAF11-W-3830-04,31,6.5,VERTEX 50,178.0,,,,,,,4.0,,,,,,,,,,,,,
MAF11-W-3830-04,39,6.5,VERTEX 50,100.0,,,,,,,4.0,,,,,,,,,,,,,
MAF11-W-3830-04,41,6.5,VERTEX 50,84.0,,,,,,,4.0,,,,,,,,,,,,,
MAF11-W-3830-04,42,6.5,VERTEX 50,84.0,,,,,,,4.0,,,,,,,,,,,,,
MAF11-W-3830-04,43,6.5,VERTEX 50,84.0,,,,,,,4.0,,,,,,,,,,,,,
MAF11-W-3830-04,44,6.5,VERTEX 50,84.0,,,,,,,4.0,,,,,,,,,,,,,
MAF11-W-3830-04,45,6.5,VERTEX 50,84.0,,,,,,,4.0,,,,,,,,,,,,,
MAF11-W-3830-04,46,6.5,VERTEX 50,84.0,,,,,,,4.0,,,,,,,,,,,,,
MAF11-W-3830-04,54,6.5,VERTEX 50,156.0,,,,,,,4.0,,,,,,,,,,,,,
MAF11-W-3830-04,68,6.5,VERTEX 50,100.0,,,,,,,4.0,,,,,,,,,,,,,
MAF11-W-3830-04,72,6.5,VERTEX 50,84.0,,,,,,,4.0,,,,,,,,,,,,,
MAF11-W-3830-04,73,6.5,VERTEX 50,84.0,,,,,,,4.0,,,,,,,,,,,,,
MAF11-W-3830-04,Aux,6.5,,,,,,,,,,,14.5,VERTEX 50,295.0,,,,,,,4.0,,
MAF11-W-3830-04,Aux,6.5,,,,,,,,,,,9.0,VERTEX 50,110.0,,,,,,,5.0,,
MAF11-W-3830-05,279,6.5,BLENDEX 930,171.0,,,,3.0,,,4.0,,,,,,,,3.0,,,4.0,,
MAF11-W-3830-05,284,6.5,,,,,,,,,,,14.6,BLENDEX 930,171.0,,,,3.0,,,4.0,,
MAF11-W-3830-05,202,9.875,VERTEX 50,707.0,,,,,,,5.0,,,,,,,,,,,5.0,,
MAF11-W-3830-05,Aux,9.875,,,,,,,,,,,14.0,VERTEX 50,578.0,,,,,,,5.0,,
MAF11-W-3830-05,Aux,6.5,,,,,,,,,,,15.0,VERTEX 50,252.0,,,,,,,6.0,,
MAF11-W-3830-05,Aux,6.5,,,,,,,,,,,13.0,BLENDEX 930,171.0,,,,3.0,,,4.0,,
MAF11-W-3830-05,Aux,6.5,,,,,,,,,,,13.0,VERTEX 50,220.0,,,,,,,5.0,,
MAF11-W-3830-05,Aux,6.5,,,,,,,,,,,16.5,VERTEX 50,322.0,,,,,,,5.0,,
MAF11-W-3830-05,Aux,6.5,,,,,,,,,,,17.0,VERTEX 50,336.0,,,,,,,5.0,,
MAF11-W-3830-05,Aux,6.5,,,,,,,,,,,14.0,VERTEX 50,252.0,,,,,,,5.0,,
MAF11-W-3830-05,Aux,9.875,,,,,,,,,,,16.0,VERTEX 50,705.0,,,,,,,5.0,,
MAF11-W-3830-05,Aux,6.5,,,,,,,,,,,10.0,VERTEX 50,170.0,,,,,,,4.0,,
MAF11-W-3830-05,Aux,6.5,,,,,,,,,,,13.0,VERTEX 50,250.0,,,,,,,4.0,,
MAF11-W-3830-05,Aux,6.5,,,,,,,,,,,17.0,VERTEX 50,365.0,,,,,,,4.0,,
MAF11-W-3830-05,Aux,6.5,,,,,,,,,,,16.5,VERTEX 50,350.0,,,,,,,4.0,,
