MALLA,ID POZO,DIAMETRO PLG,CARGA FONDO DISENO ,KG FONDO DISENO ,AIRE FONDO DISENO ,CARGA COLUMNA  DISENO,KG COLUMNA DISENO,AIRE INTERMEDIO DISENO ,GRAVILLA INTERMEDIO DISENO ,AIRE SUPERIOR DISENO,TACO GRAVILLA DISENO ,SECUENCIA DETONACION DISENO,PROFUNDIDAD REAL,CARGA FONDO REAL ,KG FONDO REAL ,AIRE FONDO REAL ,CARGA COLUMNA REAL,KG COLUMNA REAL,AIRE INTERMEDIO REAL ,GRAVILLA INTERMEDIO REAL ,AIRE SUPERIOR REAL,TACO GRAVILLA REAL ,SECUENCIA DETONACION REAL,AGUA
MAF9-SE-3380-01,128.0,10.625,BLENDEX 930,286.0,,,,7.0,,,4.0,,,,,,,,,,,,,
MAF9-SE-3380-01,129.0,10.625,BLENDEX 930,286.0,,,,7.0,,,4.0,,,,,,,,,,,,,
MAF9-SE-3380-01,130.0,10.625,BLENDEX 930,286.0,,,,7.0,,,4.0,,,,,,,,,,,,,
MAF9-SE-3380-01,131.0,10.625,BLENDEX 930,286.0,,,,7.0,,,4.0,,,,,,,,,,,,,
MAF9-SE-3380-01,221.0,10.625,BLENDEX 930,401.0,,,,4.0,,,4.0,,,,,,,,,,,,,
MAF9-SE-3380-01,222.0,10.625,BLENDEX 930,401.0,,,,4.0,,,4.0,,,,,,,,,,,,,
MAF9-SE-3380-01,223.0,10.625,BLENDEX 930,401.0,,,,4.0,,,4.0,,,,,,,,,,,,,
MAF9-SE-3380-01,317.0,10.625,BLENDEX 930,458.0,,,,1.0,,,5.0,,,,,,,,,,,,,
MAF9-SE-3380-01,318.0,10.625,BLENDEX 930,458.0,,,,1.0,,,5.0,,,,,,,,,,,,,
MAF9-SE-3380-05,729.0,10.625,VERTEX 50,189.0,,,,,,,4.5,,,,,,,,,,,,,
MAF9-SE-3380-05,730.0,10.625,VERTEX 50,189.0,,,,,,,4.5,,,,,,,,,,,,,
