MALLA,ID POZO,DIAMETRO PLG,CARGA FONDO DISENO ,KG FONDO DISENO ,AIRE FONDO DISENO ,CARGA COLUMNA  DISENO,KG COLUMNA DISENO,AIRE INTERMEDIO DISENO ,GRAVILLA INTERMEDIO DISENO ,AIRE SUPERIOR DISENO,TACO GRAVILLA DISENO ,SECUENCIA DETONACION DISENO,PROFUNDIDAD REAL,CARGA FONDO REAL ,KG FONDO REAL ,AIRE FONDO REAL ,CARGA COLUMNA REAL,KG COLUMNA REAL,AIRE INTERMEDIO REAL ,GRAVILLA INTERMEDIO REAL ,AIRE SUPERIOR REAL,TACO GRAVILLA REAL ,SECUENCIA DETONACION REAL,AGUA
MAF7-R1-2772-07,105,7.875,EMULTEX BN,145.0,,,,1.2,,,4.0,,,,,,,,,,,,,
MAF7-R1-2772-07,203,7.875,EMULTEX BN,166.0,,,,0.5,,,5.0,,,,,,,,,,,,,
MAF7-R1-2772-07,221,7.875,EMULTEX BN,187.0,,,,1.0,,,4.0,,,,,,,,,,,,,
MAF7-R1-2772-07,2007,7.875,EMULTEX BN,187.0,,,,0.0,,,5.0,,,,,,,,,,,,,
MAF7-R1-2772-07,315,10.625,EMULTEX BN,340.0,,,,0.0,,,5.0,,,,,,,,,,,,,
MAF7-R1-2772-07,316,10.625,EMULTEX BN,340.0,,,,0.0,,,5.0,,,,,,,,,,,,,
MAF7-R1-2772-07,412,12.25,VERTEX 70,469.0,,,,0.0,,,5.0,,,,,,,,,,,,,
MAF7-R1-2772-07,413,12.25,VERTEX 70,469.0,,,,0.0,,,5.0,,,,,,,,,,,,,
MAF7-R1-2772-07,414,12.25,VERTEX 70,469.0,,,,0.0,,,5.0,,,,,,,,,,,,,
MAF7-R1-2772-07,510,12.25,VERTEX 70,438.0,,,,0.0,,,5.0,,,,,,,,,,,,,
MAF7-R1-2772-07,512,12.25,VERTEX 70,459.0,,,,0.0,,,5.0,,,,,,,,,,,,,
MAF7-R1-2772-07,513,12.25,VERTEX 70,459.0,,,,0.0,,,5.0,,,,,,,,,,,,,
MAF7-R1-2772-07,514,12.25,VERTEX 70,459.0,,,,0.0,,,5.0,,,,,,,,,,,,,
MAF7-R1-2772-07,611,12.25,VERTEX 70,459.0,,,,0.0,,,5.0,,,,,,,,,,,,,
MAF7-R1-2772-07,612,12.25,VERTEX 70,459.0,,,,0.0,,,5.0,,,,,,,,,,,,,
MAF7-R1-2772-07,710,12.25,VERTEX 70,459.0,,,,0.0,,,5.0,,,,,,,,,,,,,
MAF7-R1-2772-07,711,12.25,VERTEX 70,459.0,,,,0.0,,,5.0,,,,,,,,,,,,,
MAF7-R1-2772-07,809,12.25,VERTEX 70,459.0,,,,0.0,,,5.0,,,,,,,,,,,,,
MAF7-R1-2772-04,3,6.5,VERTEX 70,431.0,,,,0.0,,,15.0,,,,,,,,,,,,,
MAF7-R1-2772-04,11,6.5,VERTEX 70,430.557075,,,,0.0,,,15.0,,,,,,,,,,,,,
MAF7-R1-2772-09,17,6.5,VERTEX 70,430.557075,,,,0.0,,,15.0,,,,,,,,,,,,,
MAF7-R1-2772-09,18,6.5,VERTEX 70,430.557075,,,,0.0,,,15.0,,,,,,,,,,,,,
MAF7-R1-2772-09,19,6.5,VERTEX 70,430.557075,,,,0.0,,,15.0,,,,,,,,,,,,,
MAF7-R1-2772-09,24,6.5,VERTEX 70,430.557075,,,,0.0,,,15.0,,,,,,,,,,,,,
MAF7-R1-2772-09,25,6.5,VERTEX 70,430.557075,,,,0.0,,,15.0,,,,,,,,,,,,,
MAF7-R1-2772-09,801,12.25,VERTEX 70,509.7473063,,,,0.0,,,5.0,,,,,,,,,,,,,
MAF7-R1-2772-09,1001,12.25,VERTEX 70,509.7473063,,,,0.0,,,5.0,,,,,,,,,,,,,
