MALLA,ID POZO,DIAMETRO PLG,CARGA FONDO DISENO ,KG FONDO DISENO ,AIRE FONDO DISENO ,CARGA COLUMNA  DISENO,KG COLUMNA DISENO,AIRE INTERMEDIO DISENO ,GRAVILLA INTERMEDIO DISENO ,AIRE SUPERIOR DISENO,TACO GRAVILLA DISENO ,SECUENCIA DETONACION DISENO,PROFUNDIDAD REAL,CARGA FONDO REAL ,KG FONDO REAL ,AIRE FONDO REAL ,CARGA COLUMNA REAL,KG COLUMNA REAL,AIRE INTERMEDIO REAL ,GRAVILLA INTERMEDIO REAL ,AIRE SUPERIOR REAL,TACO GRAVILLA REAL ,SECUENCIA DETONACION REAL,AGUA
MAF7-R1-2787-04,1416,12.25,,,,,,,,,5.0,,,,,,,,,,,,,
MAF7-R1-2787-04,1517,12.25,,,,,,,,,5.0,,,,,,,,,,,,,
MAF7-R1-2787-04,1617,12.25,,,,,,,,,5.0,,,,,,,,,,,,,
MAF7-R1-2787-04,1801,12.25,,,,,,,,,5.0,,,,,,,,,,,,,
MAF7-R1-2787-04,1817,12.25,,,,,,,,,,,,,,,,,,,,,,
MAF7-R1-2787-04,1901,12.25,,,,,,,,,,,,,,,,,,,,,,
MAF7-R1-2787-04,1902,12.25,,,,,,,,,,,,,,,,,,,,,,
MAF7-R1-2787-04,1907,12.25,,,,,,,,,,,,,,,,,,,,,,
MAF7-R1-2787-04,1908,12.25,,,,,,,,,,,,,,,,,,,,,,
MAF7-R1-2787-04,1910,12.25,,,,,,,,,,,,,,,,,,,,,,
MAF7-R1-2787-04,1911,12.25,,,,,,,,,,,,,,,,,,,,,,
MAF7-R1-2787-04,1912,12.25,,,,,,,,,,,,,,,,,,,,,,
MAF7-R1-2787-04,1913,12.25,,,,,,,,,,,,,,,,,,,,,,
MAF7-R1-2787-04,1914,12.25,,,,,,,,,,,,,,,,,,,,,,
MAF7-R1-2787-04,1915,12.25,,,,,,,,,,,,,,,,,,,,,,
MAF7-R1-2787-04,2001,12.25,,,,,,,,,,,,,,,,,,,,,,
MAF7-R1-2787-04,2002,12.25,,,,,,,,,,,,,,,,,,,,,,
MAF7-R1-2787-04,2003,12.25,,,,,,,,,,,,,,,,,,,,,,
MAF7-R1-2787-04,2004,12.25,,,,,,,,,,,,,,,,,,,,,,
