MALLA,ID POZO,DIAMETRO PLG,CARGA FONDO DISENO ,KG FONDO DISENO ,AIRE FONDO DISENO ,CARGA COLUMNA  DISENO,KG COLUMNA DISENO,AIRE INTERMEDIO DISENO ,GRAVILLA INTERMEDIO DISENO ,AIRE SUPERIOR DISENO,TACO GRAVILLA DISENO ,SECUENCIA DETONACION DISENO,PROFUNDIDAD REAL,CARGA FONDO REAL ,KG FONDO REAL ,AIRE FONDO REAL ,CARGA COLUMNA REAL,KG COLUMNA REAL,AIRE INTERMEDIO REAL ,GRAVILLA INTERMEDIO REAL ,AIRE SUPERIOR REAL,TACO GRAVILLA REAL ,SECUENCIA DETONACION REAL,AGUA
MAF10-N-3245-06,1449.0,12.25,VERTEX 50,1004.0,,VERTEX 50,100.4278275,,,,4.5,,,,,,,,,,,,,
MAF10-N-3245-06,1450.0,12.25,VERTEX 50,1004.0,,VERTEX 50,100.4278275,,,,4.5,,,,,,,,,,,,,
MAF10-N-3245-06,1451.0,12.25,VERTEX 50,1004.0,,VERTEX 50,100.4278275,,,,4.5,,,,,,,,,,,,,
MAF10-N-3245-06,1452.0,12.25,VERTEX 50,1004.0,,VERTEX 50,100.4278275,,,,4.5,,,,,,,,,,,,,
MAF10-N-3245-06,1453.0,12.25,VERTEX 50,1004.0,,VERTEX 50,100.4278275,,,,4.5,,,,,,,,,,,,,
MAF10-N-3245-06,1454.0,12.25,VERTEX 50,1004.0,,VERTEX 50,100.4278275,,,,4.5,,,,,,,,,,,,,
MAF10-N-3245-06,1455.0,12.25,VERTEX 50,1004.0,,VERTEX 50,100.4278275,,,,4.5,,,,,,,,,,,,,
MAF10-N-3245-06,1456.0,12.25,VERTEX 50,1004.0,,VERTEX 50,100.4278275,,,,4.5,,,,,,,,,,,,,
MAF10-N-3245-06,1457.0,12.25,VERTEX 50,1004.0,,VERTEX 50,100.4278275,,,,4.5,,,,,,,,,,,,,
MAF10-N-3245-06,1550.0,12.25,VERTEX 50,1004.0,,VERTEX 50,100.4278275,,,,4.5,,,,,,,,,,,,,
MAF10-N-3245-06,1551.0,12.25,VERTEX 50,1004.0,,VERTEX 50,100.4278275,,,,4.5,,,,,,,,,,,,,
MAF10-N-3245-06,1552.0,12.25,VERTEX 50,1004.0,,VERTEX 50,100.4278275,,,,4.5,,,,,,,,,,,,,
MAF10-N-3245-06,1553.0,12.25,VERTEX 50,1004.0,,VERTEX 50,100.4278275,,,,4.5,,,,,,,,,,,,,
MAF10-N-3245-06,1554.0,12.25,VERTEX 50,1004.0,,VERTEX 50,100.4278275,,,,4.5,,,,,,,,,,,,,
MAF10-N-3245-06,1555.0,12.25,VERTEX 50,1004.0,,VERTEX 50,100.4278275,,,,4.5,,,,,,,,,,,,,
MAF10-N-3245-06,1556.0,12.25,VERTEX 50,1004.0,,VERTEX 50,100.4278275,,,,4.5,,,,,,,,,,,,,
MAF10-N-3245-06,1650.0,12.25,VERTEX 50,1004.0,,VERTEX 50,100.4278275,,,,4.5,,,,,,,,,,,,,
MAF10-N-3245-06,1651.0,12.25,VERTEX 50,1004.0,,VERTEX 50,100.4278275,,,,4.5,,,,,,,,,,,,,
MAF10-N-3245-06,1652.0,12.25,VERTEX 50,1004.0,,VERTEX 50,100.4278275,,,,4.5,,,,,,,,,,,,,
MAF10-N-3245-06,1653.0,12.25,VERTEX 50,1004.0,,VERTEX 50,100.4278275,,,,4.5,,,,,,,,,,,,,
MAF10-N-3245-06,1654.0,12.25,VERTEX 50,1004.0,,VERTEX 50,100.4278275,,,,4.5,,,,,,,,,,,,,
MAF10-N-3245-06,1655.0,12.25,VERTEX 50,1004.0,,VERTEX 50,100.4278275,,,,4.5,,,,,,,,,,,,,
MAF10-N-3245-06,1656.0,12.25,VERTEX 50,1004.0,,VERTEX 50,100.4278275,,,,4.5,,,,,,,,,,,,,
MAF10-N-3245-06,1657.0,12.25,VERTEX 50,1004.0,,VERTEX 50,100.4278275,,,,4.5,,,,,,,,,,,,,
MAF10-N-3245-06,1751.0,12.25,VERTEX 50,1004.0,,VERTEX 50,100.4278275,,,,4.5,,,,,,,,,,,,,
MAF10-N-3245-06,1752.0,12.25,VERTEX 50,1004.0,,VERTEX 50,100.4278275,,,,4.5,,,,,,,,,,,,,
MAF10-N-3245-06,1753.0,12.25,VERTEX 50,1004.0,,VERTEX 50,100.4278275,,,,4.5,,,,,,,,,,,,,
MAF10-N-3245-06,1754.0,12.25,VERTEX 50,1004.0,,VERTEX 50,100.4278275,,,,4.5,,,,,,,,,,,,,
MAF10-N-3245-06,1755.0,12.25,VERTEX 50,1004.0,,VERTEX 50,100.4278275,,,,4.5,,,,,,,,,,,,,
MAF10-N-3245-06,1756.0,12.25,VERTEX 50,1004.0,,VERTEX 50,100.4278275,,,,4.5,,,,,,,,,,,,,
MAF10-N-3245-06,1757.0,12.25,VERTEX 50,1004.0,,VERTEX 50,100.4278275,,,,4.5,,,,,,,,,,,,,
MAF10-N-3245-06,1758.0,12.25,VERTEX 50,1004.0,,VERTEX 50,100.4278275,,,,4.5,,,,,,,,,,,,,
MAF10-N-3245-06,1851.0,12.25,VERTEX 50,1004.0,,VERTEX 50,100.4278275,,,,4.5,,,,,,,,,,,,,
MAF10-N-3245-06,1852.0,12.25,VERTEX 50,1004.0,,VERTEX 50,100.4278275,,,,4.5,,,,,,,,,,,,,
MAF10-N-3245-06,1853.0,12.25,VERTEX 50,1004.0,,VERTEX 50,100.4278275,,,,4.5,,,,,,,,,,,,,
MAF10-N-3245-06,1854.0,12.25,VERTEX 50,1004.0,,VERTEX 50,100.4278275,,,,4.5,,,,,,,,,,,,,
MAF10-N-3245-06,1855.0,12.25,VERTEX 50,1004.0,,VERTEX 50,100.4278275,,,,4.5,,,,,,,,,,,,,
MAF10-N-3245-06,1856.0,12.25,VERTEX 50,1004.0,,VERTEX 50,100.4278275,,,,4.5,,,,,,,,,,,,,
MAF10-N-3245-06,1857.0,12.25,VERTEX 50,1004.0,,VERTEX 50,100.4278275,,,,4.5,,,,,,,,,,,,,
MAF10-N-3245-06,1858.0,12.25,VERTEX 50,1004.0,,VERTEX 50,100.4278275,,,,4.5,,,,,,,,,,,,,
MAF10-N-3245-06,1951.0,12.25,VERTEX 50,1004.0,,VERTEX 50,100.4278275,,,,4.5,,,,,,,,,,,,,
MAF10-N-3245-06,1952.0,12.25,VERTEX 50,1004.0,,VERTEX 50,100.4278275,,,,4.5,,,,,,,,,,,,,
MAF10-N-3245-06,1953.0,12.25,VERTEX 50,1004.0,,VERTEX 50,100.4278275,,,,4.5,,,,,,,,,,,,,
MAF10-N-3245-06,1954.0,12.25,VERTEX 50,1004.0,,VERTEX 50,100.4278275,,,,4.5,,,,,,,,,,,,,
MAF10-N-3245-06,1955.0,12.25,VERTEX 50,1004.0,,VERTEX 50,100.4278275,,,,4.5,,,,,,,,,,,,,
MAF10-N-3245-06,1956.0,12.25,VERTEX 50,1004.0,,VERTEX 50,100.4278275,,,,4.5,,,,,,,,,,,,,
MAF10-N-3245-06,1957.0,12.25,VERTEX 50,1004.0,,VERTEX 50,100.4278275,,,,4.5,,,,,,,,,,,,,
MAF10-N-3245-06,1958.0,12.25,VERTEX 50,1004.0,,VERTEX 50,100.4278275,,,,4.5,,,,,,,,,,,,,
MAF10-N-3245-06,2052.0,12.25,VERTEX 50,1004.0,,VERTEX 50,100.4278275,,,,4.5,,,,,,,,,,,,,
MAF10-N-3245-06,2053.0,12.25,VERTEX 50,1004.0,,VERTEX 50,100.4278275,,,,4.5,,,,,,,,,,,,,
MAF10-N-3245-06,2054.0,12.25,VERTEX 50,1004.0,,VERTEX 50,100.4278275,,,,4.5,,,,,,,,,,,,,
MAF10-N-3245-06,2055.0,12.25,VERTEX 50,1004.0,,VERTEX 50,100.4278275,,,,4.5,,,,,,,,,,,,,
MAF10-N-3245-06,2056.0,12.25,VERTEX 50,1004.0,,VERTEX 50,100.4278275,,,,4.5,,,,,,,,,,,,,
MAF10-N-3245-06,2057.0,12.25,VERTEX 50,1004.0,,VERTEX 50,100.4278275,,,,4.5,,,,,,,,,,,,,
MAF10-N-3245-06,2058.0,12.25,VERTEX 50,1004.0,,VERTEX 50,100.4278275,,,,4.5,,,,,,,,,,,,,
MAF10-N-3245-06,2059.0,12.25,VERTEX 50,1004.0,,VERTEX 50,100.4278275,,,,4.5,,,,,,,,,,,,,
MAF10-N-3245-06,2152.0,12.25,VERTEX 50,1004.0,,VERTEX 50,100.4278275,,,,4.5,,,,,,,,,,,,,
MAF10-N-3245-06,2153.0,12.25,VERTEX 50,1004.0,,VERTEX 50,100.4278275,,,,4.5,,,,,,,,,,,,,
MAF10-N-3245-06,2154.0,12.25,VERTEX 50,1004.0,,VERTEX 50,100.4278275,,,,4.5,,,,,,,,,,,,,
MAF10-N-3245-06,2155.0,12.25,VERTEX 50,1004.0,,VERTEX 50,100.4278275,,,,4.5,,,,,,,,,,,,,
MAF10-N-3245-06,2156.0,12.25,VERTEX 50,1004.0,,VERTEX 50,100.4278275,,,,4.5,,,,,,,,,,,,,
MAF10-N-3245-06,2157.0,12.25,VERTEX 50,1004.0,,VERTEX 50,100.4278275,,,,4.5,,,,,,,,,,,,,
MAF10-N-3245-06,2158.0,12.25,VERTEX 50,1004.0,,VERTEX 50,100.4278275,,,,4.5,,,,,,,,,,,,,
MAF10-N-3245-06,2159.0,12.25,VERTEX 50,1004.0,,VERTEX 50,100.4278275,,,,4.5,,,,,,,,,,,,,
MAF10-N-3245-06,2253.0,12.25,VERTEX 50,1004.0,,VERTEX 50,100.4278275,,,,4.5,,,,,,,,,,,,,
MAF10-N-3245-06,2254.0,12.25,VERTEX 50,1004.0,,VERTEX 50,100.4278275,,,,4.5,,,,,,,,,,,,,
MAF10-N-3245-06,2255.0,12.25,VERTEX 50,1004.0,,VERTEX 50,100.4278275,,,,4.5,,,,,,,,,,,,,
MAF10-N-3245-06,2256.0,12.25,VERTEX 50,1004.0,,VERTEX 50,100.4278275,,,,4.5,,,,,,,,,,,,,
MAF10-N-3245-06,2257.0,12.25,VERTEX 50,1004.0,,VERTEX 50,100.4278275,,,,4.5,,,,,,,,,,,,,
MAF10-N-3245-06,2258.0,12.25,VERTEX 50,1004.0,,VERTEX 50,100.4278275,,,,4.5,,,,,,,,,,,,,
MAF10-N-3245-06,2259.0,12.25,VERTEX 50,1004.0,,VERTEX 50,100.4278275,,,,4.5,,,,,,,,,,,,,
MAF10-N-3245-06,2260.0,12.25,VERTEX 50,1004.0,,VERTEX 50,100.4278275,,,,4.5,,,,,,,,,,,,,
