MALLA,ID POZO,DIAMETRO PLG,CARGA FONDO DISENO ,KG FONDO DISENO ,AIRE FONDO DISENO ,CARGA COLUMNA  DISENO,KG COLUMNA DISENO,AIRE INTERMEDIO DISENO ,GRAVILLA INTERMEDIO DISENO ,AIRE SUPERIOR DISENO,TACO GRAVILLA DISENO ,SECUENCIA DETONACION DISENO,PROFUNDIDAD REAL,CARGA FONDO REAL ,KG FONDO REAL ,AIRE FONDO REAL ,CARGA COLUMNA REAL,KG COLUMNA REAL,AIRE INTERMEDIO REAL ,GRAVILLA INTERMEDIO REAL ,AIRE SUPERIOR REAL,TACO GRAVILLA REAL ,SECUENCIA DETONACION REAL,AGUA
MAF10-N-3290-02,126.0,7.875,BLENDEX 930,110.0,,0,0.0,7.3,,,5.0,,,,,,,,,,,,,
MAF10-N-3290-02,404.0,10.625,VERTEX 50,831.0601406000001,,0,0.0,,,,6.0,,,,,,,,,,,,,
MAF10-N-3290-02,405.0,10.625,VERTEX 50,831.0601406000001,,0,0.0,,,,6.0,,,,,,,,,,,,,
MAF10-N-3290-02,406.0,10.625,VERTEX 50,831.0601406000001,,0,0.0,,,,6.0,,,,,,,,,,,,,
MAF10-N-3290-02,407.0,10.625,VERTEX 50,831.0601406000001,,0,0.0,,,,6.0,,,,,,,,,,,,,
MAF10-N-3290-02,408.0,10.625,VERTEX 50,831.0601406000001,,0,0.0,,,,6.0,,,,,,,,,,,,,
MAF10-N-3290-02,409.0,10.625,VERTEX 50,604.407375,,0,0.0,,,,6.0,,,,,,,,,,,,,
MAF10-N-3290-02,410.0,10.625,VERTEX 50,528.8564531000001,,0,0.0,,,,6.0,,,,,,,,,,,,,
MAF10-N-3290-02,411.0,10.625,VERTEX 50,831.0601406000001,,0,0.0,,,,6.0,,,,,,,,,,,,,
MAF10-N-3290-02,412.0,10.625,VERTEX 50,831.0601406000001,,0,0.0,,,,6.0,,,,,,,,,,,,,
MAF10-N-3290-02,413.0,10.625,VERTEX 50,831.0601406000001,,0,0.0,,,,6.0,,,,,,,,,,,,,
MAF10-N-3290-02,414.0,10.625,VERTEX 50,831.0601406000001,,0,0.0,,,,6.0,,,,,,,,,,,,,
MAF10-N-3290-02,415.0,10.625,VERTEX 50,831.0601406000001,,0,0.0,,,,6.0,,,,,,,,,,,,,
