MALLA,ID POZO,DIAMETRO PLG,CARGA FONDO DISENO ,KG FONDO DISENO ,AIRE FONDO DISENO ,CARGA COLUMNA  DISENO,KG COLUMNA DISENO,AIRE INTERMEDIO DISENO ,GRAVILLA INTERMEDIO DISENO ,AIRE SUPERIOR DISENO,TACO GRAVILLA DISENO ,SECUENCIA DETONACION DISENO,PROFUNDIDAD REAL,CARGA FONDO REAL ,KG FONDO REAL ,AIRE FONDO REAL ,CARGA COLUMNA REAL,KG COLUMNA REAL,AIRE INTERMEDIO REAL ,GRAVILLA INTERMEDIO REAL ,AIRE SUPERIOR REAL,TACO GRAVILLA REAL ,SECUENCIA DETONACION REAL,AGUA
MAF11-W-3845-01,526,7.875,,,,,,,,,5.0,,16.6,VERTEX 50,473,,,,,,,5.2,,
MAF11-W-3845-01,Aux,7.875,,,,,,,,,5.0,,16.0,VERTEX 50,450,,,,,,,5.1,,
MAF11-W-3845-01,Aux,7.875,,,,,,,,,8.2,,20.0,VERTEX 50,492,,,,,,,8.2,,
MAF11-W-3845-01,Aux,7.875,,,,,,,,,7.2,,17.0,VERTEX 50,410,,,,,,,7.2,,
MAF11-W-3845-01,Aux,7.875,,,,,,,,,6.2,,15.0,VERTEX 50,369,,,,,,,6.2,,
MAF11-W-3845-03,123,7.875,,,,,,,,,3.0,,7.0,VERTEX 50,163,,,,,,,3.0,,
MAF11-W-3845-03,128,7.875,,,,,,,,,3.0,,4.3,VERTEX 50,56,,,,,,,3.0,,
MAF11-W-3845-03,129,9.875,,,,,,,,,4.0,,7.0,VERTEX 50,193,,,,,,,4.0,,
MAF11-W-3845-03,130,9.875,,,,,,,,,4.0,,7.0,VERTEX 50,193,,,,,,,4.0,,
MAF11-W-3845-03,226,7.875,,,,,,,,,3.5,,4.5,VERTEX 50,46,,,,,,,3.3,,
MAF11-W-3845-03,227,9.875,,,,,,,,,4.0,,7.0,VERTEX 50,193,,,,,,,4.0,,
MAF11-W-3845-03,228,9.875,,,,,,,,,4.0,,7.0,VERTEX 50,193,,,,,,,4.0,,
MAF11-W-3845-03,326,7.875,,,,,,,,,3.0,,7.0,VERTEX 50,165,,,,,,,3.0,,
MAF11-W-3845-03,601,7.875,,,,,,,,,3.0,,7.0,VERTEX 50,165,,,,,,,3.0,,
MAF11-W-3845-03,901,7.875,,,,,,,,,3.0,,7.0,VERTEX 50,163,,,,,,,,,
MAF11-W-3845-03,902,7.875,,,,,,,,,3.0,,7.0,VERTEX 50,163,,,,,,,,,
MAF11-W-3845-03,Aux,7.875,,,,,,,,,3.0,,7.0,VERTEX 50,163,,,,,,,3.2,,
MAF11-W-3845-03,Aux,7.875,,,,,,,,,3.0,,6.0,VERTEX 50,125,,,,,,,3.0,,
MAF11-W-3845-03,Aux,7.875,,,,,,,,,3.0,,7.0,VERTEX 50,163,,,,,,,3.1,,
MAF11-W-3845-03,Aux,7.875,,,,,,,,,3.0,,7.0,VERTEX 50,163,,,,,,,3.0,,
