MALLA,ID POZO,DIAMETRO PLG,CARGA FONDO DISENO ,KG FONDO DISENO ,AIRE FONDO DISENO ,CARGA COLUMNA  DISENO,KG COLUMNA DISENO,AIRE INTERMEDIO DISENO ,GRAVILLA INTERMEDIO DISENO ,AIRE SUPERIOR DISENO,TACO GRAVILLA DISENO ,SECUENCIA DETONACION DISENO,PROFUNDIDAD REAL,CARGA FONDO REAL ,KG FONDO REAL ,AIRE FONDO REAL ,CARGA COLUMNA REAL,KG COLUMNA REAL,AIRE INTERMEDIO REAL ,GRAVILLA INTERMEDIO REAL ,AIRE SUPERIOR REAL,TACO GRAVILLA REAL ,SECUENCIA DETONACION REAL,AGUA
MAF10-N-3245-05,2036,12.25,VERTEX 50,1004.0,,VERTEX 50,100.4278275,1.0,,,4.5,,,,,,,,,,,,,
MAF10-N-3245-05,2436,12.25,VERTEX 50,1004.0,,VERTEX 50,100.4278275,1.0,,,4.5,,,,,,,,,,,,,
MAF10-N-3245-05,2536,12.25,VERTEX 50,1004.0,,VERTEX 50,100.4278275,1.0,,,4.5,,,,,,,,,,,,,
MAF10-N-3245-05,3536,12.25,VERTEX 50,1004.0,,VERTEX 50,100.4278275,1.0,,,4.5,,,,,,,,,,,,,
MAF10-N-3245-05,3635,12.25,VERTEX 50,1004.0,,VERTEX 50,100.4278275,1.0,,,4.5,,,,,,,,,,,,,
MAF10-N-3245-06,1131,12.25,VERTEX 50,1004.0,,VERTEX 50,100.4278275,1.0,,,4.5,,,,,,,,,,,,,
MAF10-N-3245-06,1231,12.25,VERTEX 50,1004.0,,VERTEX 50,100.4278275,1.0,,,4.5,,,,,,,,,,,,,
MAF10-N-3245-06,1332,12.25,VERTEX 50,1004.0,,VERTEX 50,100.4278275,1.0,,,4.5,,,,,,,,,,,,,
MAF10-N-3245-06,1432,12.25,VERTEX 50,1004.0,,VERTEX 50,100.4278275,1.0,,,4.5,,,,,,,,,,,,,
MAF10-N-3245-06,1533,12.25,VERTEX 50,1004.0,,VERTEX 50,100.4278275,1.0,,,4.5,,,,,,,,,,,,,
MAF10-N-3245-06,1630,12.25,VERTEX 50,1004.0,,VERTEX 50,100.4278275,1.0,,,4.5,,,,,,,,,,,,,
MAF10-N-3245-06,1631,12.25,VERTEX 50,1004.0,,VERTEX 50,100.4278275,1.0,,,4.5,,,,,,,,,,,,,
MAF10-N-3245-06,1632,12.25,VERTEX 50,1004.0,,VERTEX 50,100.4278275,1.0,,,4.5,,,,,,,,,,,,,
MAF10-N-3245-06,1633,12.25,VERTEX 50,1004.0,,VERTEX 50,100.4278275,1.0,,,4.5,,,,,,,,,,,,,
MAF10-N-3245-06,1730,12.25,VERTEX 50,1004.0,,VERTEX 50,100.4278275,1.0,,,4.5,,,,,,,,,,,,,
MAF10-N-3245-06,1731,12.25,VERTEX 50,1004.0,,VERTEX 50,100.4278275,1.0,,,4.5,,,,,,,,,,,,,
MAF10-N-3245-06,1732,12.25,VERTEX 50,1004.0,,VERTEX 50,100.4278275,1.0,,,4.5,,,,,,,,,,,,,
MAF10-N-3245-06,1733,12.25,VERTEX 50,1004.0,,VERTEX 50,100.4278275,1.0,,,4.5,,,,,,,,,,,,,
MAF10-N-3245-06,1734,12.25,VERTEX 50,1004.0,,VERTEX 50,100.4278275,1.0,,,4.5,,,,,,,,,,,,,
MAF10-N-3245-06,1830,12.25,VERTEX 50,1004.0,,VERTEX 50,100.4278275,1.0,,,4.5,,,,,,,,,,,,,
MAF10-N-3245-06,1831,12.25,VERTEX 50,1004.0,,VERTEX 50,100.4278275,1.0,,,4.5,,,,,,,,,,,,,
MAF10-N-3245-06,1832,12.25,VERTEX 50,1004.0,,VERTEX 50,100.4278275,1.0,,,4.5,,,,,,,,,,,,,
MAF10-N-3245-06,1833,12.25,VERTEX 50,1004.0,,VERTEX 50,100.4278275,1.0,,,4.5,,,,,,,,,,,,,
MAF10-N-3245-06,1834,12.25,VERTEX 50,1004.0,,VERTEX 50,100.4278275,1.0,,,4.5,,,,,,,,,,,,,
MAF10-N-3245-06,1930,12.25,VERTEX 50,1004.0,,VERTEX 50,100.4278275,1.0,,,4.5,,,,,,,,,,,,,
MAF10-N-3245-06,1931,12.25,VERTEX 50,1004.0,,VERTEX 50,100.4278275,1.0,,,4.5,,,,,,,,,,,,,
MAF10-N-3245-06,1932,12.25,VERTEX 50,1004.0,,VERTEX 50,100.4278275,1.0,,,4.5,,,,,,,,,,,,,
MAF10-N-3245-06,1933,12.25,VERTEX 50,1004.0,,VERTEX 50,100.4278275,1.0,,,4.5,,,,,,,,,,,,,
MAF10-N-3245-06,1934,12.25,VERTEX 50,1004.0,,VERTEX 50,100.4278275,1.0,,,4.5,,,,,,,,,,,,,
MAF10-N-3245-06,2030,12.25,VERTEX 50,1004.0,,VERTEX 50,100.4278275,1.0,,,4.5,,,,,,,,,,,,,
MAF10-N-3245-06,2031,12.25,VERTEX 50,1004.0,,VERTEX 50,100.4278275,1.0,,,4.5,,,,,,,,,,,,,
MAF10-N-3245-06,2032,12.25,VERTEX 50,1004.0,,VERTEX 50,100.4278275,1.0,,,4.5,,,,,,,,,,,,,
MAF10-N-3245-06,2033,12.25,VERTEX 50,1004.0,,VERTEX 50,100.4278275,1.0,,,4.5,,,,,,,,,,,,,
MAF10-N-3245-06,2034,12.25,VERTEX 50,1004.0,,VERTEX 50,100.4278275,1.0,,,4.5,,,,,,,,,,,,,
MAF10-N-3245-06,2035,12.25,VERTEX 50,1004.0,,VERTEX 50,100.4278275,1.0,,,4.5,,,,,,,,,,,,,
MAF10-N-3245-06,2130,12.25,VERTEX 50,1004.0,,VERTEX 50,100.4278275,1.0,,,4.5,,,,,,,,,,,,,
MAF10-N-3245-06,2131,12.25,VERTEX 50,1004.0,,VERTEX 50,100.4278275,1.0,,,4.5,,,,,,,,,,,,,
MAF10-N-3245-06,2132,12.25,VERTEX 50,1004.0,,VERTEX 50,100.4278275,1.0,,,4.5,,,,,,,,,,,,,
MAF10-N-3245-06,2133,12.25,VERTEX 50,1004.0,,VERTEX 50,100.4278275,1.0,,,4.5,,,,,,,,,,,,,
MAF10-N-3245-06,2134,12.25,VERTEX 50,1004.0,,VERTEX 50,100.4278275,1.0,,,4.5,,,,,,,,,,,,,
MAF10-N-3245-06,2135,12.25,VERTEX 50,1004.0,,VERTEX 50,100.4278275,1.0,,,4.5,,,,,,,,,,,,,
MAF10-N-3245-06,2230,12.25,VERTEX 50,1004.0,,VERTEX 50,100.4278275,1.0,,,4.5,,,,,,,,,,,,,
MAF10-N-3245-06,2231,12.25,VERTEX 50,1004.0,,VERTEX 50,100.4278275,1.0,,,4.5,,,,,,,,,,,,,
MAF10-N-3245-06,2232,12.25,VERTEX 50,1004.0,,VERTEX 50,100.4278275,1.0,,,4.5,,,,,,,,,,,,,
MAF10-N-3245-06,2233,12.25,VERTEX 50,1004.0,,VERTEX 50,100.4278275,1.0,,,4.5,,,,,,,,,,,,,
MAF10-N-3245-06,2234,12.25,VERTEX 50,1004.0,,VERTEX 50,100.4278275,1.0,,,4.5,,,,,,,,,,,,,
MAF10-N-3245-06,2235,12.25,VERTEX 50,1004.0,,VERTEX 50,100.4278275,1.0,,,4.5,,,,,,,,,,,,,
MAF10-N-3245-06,2236,12.25,VERTEX 50,1004.0,,VERTEX 50,100.4278275,1.0,,,4.5,,,,,,,,,,,,,
