MALLA,ID POZO,DIAMETRO PLG,CARGA FONDO DISENO ,KG FONDO DISENO ,AIRE FONDO DISENO ,CARGA COLUMNA  DISENO,KG COLUMNA DISENO,AIRE INTERMEDIO DISENO ,GRAVILLA INTERMEDIO DISENO ,AIRE SUPERIOR DISENO,TACO GRAVILLA DISENO ,SECUENCIA DETONACION DISENO,PROFUNDIDAD REAL,CARGA FONDO REAL ,KG FONDO REAL ,AIRE FONDO REAL ,CARGA COLUMNA REAL,KG COLUMNA REAL,AIRE INTERMEDIO REAL ,GRAVILLA INTERMEDIO REAL ,AIRE SUPERIOR REAL,TACO GRAVILLA REAL ,SECUENCIA DETONACION REAL,AGUA
MAF7-R1-2765-03,1309,12.25,VERTEX 70,510,,,,0.0,,,5.0,,,,,,,,,,,,,
MAF7-R1-2765-03,1310,12.25,VERTEX 70,510,,,,0.0,,,5.0,,,,,,,,,,,,,
MAF7-R1-2765-03,1409,12.25,VERTEX 70,510,,,,0.0,,,5.0,,,,,,,,,,,,,
MAF7-R1-2765-03,1508,12.25,VERTEX 70,540,,,,0.0,,,5.0,,,,,,,,,,,,,
MAF7-R1-2765-03,1509,12.25,VERTEX 70,510,,,,0.0,,,5.0,,,,,,,,,,,,,
MAF7-R1-2765-03,1608,12.25,VERTEX 70,500,,,,0.0,,,5.0,,,,,,,,,,,,,
MAF7-R1-2765-03,1709,12.25,VERTEX 70,479,,,,0.0,,,5.0,,,,,,,,,,,,,
MAF7-R1-2765-03,1806,12.25,VERTEX 70,530,,,,0.0,,,5.0,,,,,,,,0.0,,,5.0,,
MAF7-R1-2765-03,1810,12.25,VERTEX 70,418,,,,0.0,,,5.0,,,,,,,,,,,,,
MAF7-R1-2765-03,1906,12.25,VERTEX 70,469,,,,0.0,,,5.0,,,,,,,,,,,,,
MAF7-R1-2765-03,1909,12.25,VERTEX 70,408,,,,0.0,,,5.0,,,,,,,,,,,,,
MAF7-R1-2765-03,2009,12.25,VERTEX 70,398,,,,0.0,,,5.0,,,,,,,,,,,,,
MAF7-R1-2765-05,704,12.25,VERTEX 70,459,,,,0.0,,,5.0,,,,,,,,,,,,,
MAF7-R1-2765-05,705,12.25,VERTEX 70,316,,,,0.0,,,5.0,,,,,,,,,,,,,
MAF7-R1-2765-05,802,12.25,VERTEX 70,459,,,,0.0,,,5.0,,,,,,,,,,,,,
MAF7-R1-2765-05,806,12.25,VERTEX 70,459,,,,0.0,,,5.0,,,,,,,,,,,,,
MAF7-R1-2765-05,808,12.25,VERTEX 70,459,,,,0.0,,,5.0,,,,,,,,,,,,,
MAF7-R1-2765-05,901,12.25,VERTEX 70,449,,,,0.0,,,5.0,,,,,,,,,,,,,
MAF7-R1-2765-05,905,12.25,VERTEX 70,459,,,,0.0,,,5.0,,,,,,,,,,,,,
MAF7-R1-2765-05,1004,12.25,VERTEX 70,459,,,,0.0,,,5.0,,,,,,,,,,,,,
MAF7-R1-2765-05,1013,12.25,VERTEX 70,459,,,,0.0,,,5.0,,,,,,,,,,,,,
